lat,long,commonID,samplingProgram
49.35977,-89.01858,Circle_1,BsM
50.04611,-93.48572,Clay_1,BsM
45.44131,-77.1955,Clear_1,BsM
46.09839,-79.78115,Clear_2,BsM
44.51481,-78.19302,Clear_3,BsM
49.00747,-91.98602,Clearwater West_1,BsM
50.16879,-93.29998,Cliff_1,BsM
49.04188,-88.77821,Cliff_2,BsM
49.89458,-93.61903,Cobble_1,BsM
46.63533,-82.79405,Cobre_1,BsM
51.31536,-93.59007,Coli_1,BsM
47.91648,-83.5157,Como_1,BsM
51.11521,-92.67556,Confederation_1,BsM
50.65108,-94.17888,Confusion_1,BsM
50.5674,-94.03211,Conifer_1,BsM
46.42866,-83.22546,Constance_1,BsM
44.57529,-77.82487,Cordova_1,BsM
44.66428,-79.3763,Couchiching_1,BsM
48.68673,-90.6148,Crayfish_1,BsM
49.86587,-89.37235,Crevasse_1,BsM
45.5596,-79.00745,Cripple_1,BsM
49.05957,-92.13549,Crook_1,BsM
48.7846,-91.09824,Crooked Pine_1,BsM
46.8721,-79.96696,Cross_1,BsM
49.96489,-94.23609,Cross_2,BsM
44.91255,-76.80939,Crotch_1,BsM
48.97243,-91.79738,Crowrock_1,BsM
49.92643,-89.01587,Cry_1,BsM
49.72882,-91.1675,Crystal_1,BsM
48.7076,-91.27802,Crystal_2,BsM
45.12017,-77.4598,Crystal_3,BsM
46.472,-83.35656,Cummings_1,BsM
49.99142,-94.88562,Cygnet_1,BsM
45.23131,-81.53198,Cyprus_1,BsM
44.9656,-76.56939,Dalhousie_1,BsM
44.64052,-79.11093,Dalrymple_1,BsM
49.92424,-93.85166,Daniels_1,BsM
50.14869,-90.97855,Davies_1,BsM
48.78119,-85.02995,Dayohessarah_1,BsM
50.70008,-90.70631,De Lesseps_1,BsM
46.48181,-80.21786,Deer_1,BsM
52.63469,-94.20479,Deer_2,BsM
50.09299,-94.048,Delaney_1,BsM
46.91451,-81.90151,Dennie_1,BsM
47.84019,-82.78009,Denyes_1,BsM
46.57699,-82.43105,Deschamp_1,BsM
46.77811,-83.94464,Devils_1,BsM
47.20455,-80.24759,Diamond_1,BsM
49.19884,-92.02659,Dibble_1,BsM
