commonID,lat,long,samplingProgram,secchiDepth,maxDepth,yearSample,DOC,TDP,scaled_yearSample,scaled_secchi,scaled_maxDepth
Victoria_2,49.62381,-91.54686,BsM,4,28.1,2019,6.03,8.529,18.9328125,0.447702753,-1.458489583
Wabaskang_1,50.38864,-93.22539,BsM,2.8,28.7,2019,7.4,18.699,18.9328125,-0.752297247,-0.858489583
Wapesi_1,50.54216,-92.33631,BsM,1.1,9.2,2019,15.4,23.2,18.9328125,-2.452297247,-20.35848958
Wavell_1,51.5779,-92.69876,BsM,2,23,2022,14.4,16.199,21.9328125,-1.552297247,-6.558489583
Whitemud_1,50.8448,-92.73259,BsM,1,15.6,2021,18.899,16.899,20.9328125,-2.552297247,-13.95848958
Cross_2,49.96489,-94.23609,BsM,3.5,26.2,2022,7.419,7.714,21.9328125,-0.052297247,-3.358489583
Daniels_1,49.92424,-93.85166,BsM,6.5,78.6,2022,3.859,4.344,21.9328125,2.947702753,49.04151042
Dinorwic_1,49.62051,-92.56305,BsM,2,10,2021,11.699,18.05,20.9328125,-1.552297247,-19.55848958
Edward_1,49.9464,-93.55602,BsM,2,7.9,2022,8.5,26.05,21.9328125,-1.552297247,-21.65848958
Godson_1,49.60903,-92.76425,BsM,1.5,6.1,2021,12.9,20,20.9328125,-2.052297247,-23.45848958
Lawrence_1,49.27504,-93.36566,BsM,4,76.2,2023,8.24,6.695,22.9328125,0.447702753,46.64151042
Lower Manitou_1,49.27811,-92.94807,BsM,7,81,2023,5.059,6.644,22.9328125,3.447702753,51.44151042
Old Man_1,50.03672,-94.22218,BsM,3.5,23,2023,6.37,8.394,22.9328125,-0.052297247,-6.558489583
Rugby_1,49.95675,-92.95825,BsM,1,7.6,2023,11.3,26.75,22.9328125,-2.552297247,-21.95848958
Rugby_1,49.95675,-92.95825,BsM,1,7.6,2019,11.3,26.75,18.9328125,-2.552297247,-21.95848958
Shrub_1,49.97099,-93.89782,BsM,3,26,2023,6.929,7.86,22.9328125,-0.552297247,-3.558489583
Thunder_1,49.77882,-92.66332,BsM,4,23.5,2023,6.4,12.699,22.9328125,0.447702753,-6.058489583
Upper Manitou_1,49.40161,-92.77724,BsM,6,56,2023,3.91,6.7,22.9328125,2.447702753,26.44151042
Vista_1,49.06245,-93.08016,BsM,4.5,68.9,2023,5.219,7.98,22.9328125,0.947702753,39.34151042
Wabigoon_2,49.73222,-92.72928,BsM,1,15,2021,9.47,24.199,20.9328125,-2.552297247,-14.55848958
Wapageisi_1,49.32443,-92.35219,BsM,5.5,46,2022,4.9,7.86,21.9328125,1.947702753,16.44151042
Arrow_1,48.15855,-90.26498,BsM,6.6,54.9,2018,3,4.9,17.9328125,3.047702753,25.34151042
Athelstane_1,48.77457,-90.20796,BsM,4,32.9,2018,6.799,9.5,17.9328125,0.447702753,3.341510417
Batwing_1,48.44209,-90.17355,BsM,2.5,14.9,2018,11.3,8.9,17.9328125,-1.052297247,-14.65848958
Beatty_1,49.71792,-87.60467,BsM,3.7,27.5,2018,4.299,13.4,17.9328125,0.147702753,-2.058489583
Bedivere_1,48.86818,-90.84937,BsM,1.7,12.5,2018,10.3,16.399,17.9328125,-1.852297247,-17.05848958
Black Sturgeon_1,49.35824,-88.87211,BsM,4.5,52.4,2018,9.099,4.9,17.9328125,0.947702753,22.84151042
Blunder_1,48.42444,-90.26943,BsM,1.6,6.7,2018,13.4,20.6,17.9328125,-1.952297247,-22.85848958
Burchell_1,48.58834,-90.62706,BsM,5,74.7,2018,5.2,2.899,17.9328125,1.447702753,45.14151042
Castle_2,50.1269,-88.87219,BsM,3.4,36,2018,5.2,10.199,17.9328125,-0.152297247,6.441510417
Circle_1,49.35977,-89.01858,BsM,2,15,2018,10,18.1,17.9328125,-1.552297247,-14.55848958
Cry_1,49.92643,-89.01587,BsM,9.8,47.6,2018,2.1,5.4,17.9328125,6.247702753,18.04151042
Lac des Mille Lacs_1,48.87653,-90.51282,BsM,1.5,24.4,2018,13.6,39.899,17.9328125,-2.052297247,-5.158489583
Dog_1,48.77812,-89.51281,BsM,3.2,117,2018,11.8,7.099,17.9328125,-0.352297247,87.44151042
Elbow_1,50.1298,-87.7934,BsM,2,38.4,2018,15.699,14.699,17.9328125,-1.552297247,8.841510417
Empire_1,49.71999,-90.24726,BsM,2,23.5,2018,8.199,11.5,17.9328125,-1.552297247,-6.058489583
Greenwater_1,48.57454,-90.42999,BsM,6.8,54.9,2018,4.5,5.5,17.9328125,3.247702753,25.34151042
Grouse_1,48.54321,-90.54489,BsM,5,38.4,2018,4,7.799,17.9328125,1.447702753,8.841510417
Holinshead_1,49.65403,-89.68153,BsM,1.6,16.8,2018,11.3,12.8,17.9328125,-1.952297247,-12.75848958
