FMZ,lakeName,lakeID,lat,long,bsmCycle,pelagicPrey,mysis,sampleGroup,lakeClass,area,maxDepth,speciesPresent,otherPelagicPredator,comments
6,Dog,16-3132-54041,48.7781,-89.5128,2,P,P,BsM,3,NA,NA,NA,NA,
5,Dore,15-5124-54968,49.6158,-92.8307,2,P,P,BsM,3,NA,NA,NA,NA,
,Dotty,17-6571-50360,45.46152,-78.99156,,P,A,Ridgeway,2,,,,,
15,Eels,17-7269-49741,44.89,-78.13,1,A,A,Ras,2,NA,NA,NA,NA,"has smelt, otherwise would be class 1"
11,Emerald,17-5515-51958,46.9159,-80.3231,2,P,A,Ras,2,NA,NA,NA,NA,
5,Eva,15-6340-53970,48.7174,-91.1597,2,P,P,Ras,3,NA,NA,NA,NA,
15,Fletcher,17-6738-50244,45.35,-78.78,1,A,A,Ras,1,NA,NA,NA,NA,
6,Frazer,16-3884-54562,49.2488,-88.5288,2,A,P,BsM,1.5,NA,NA,NA,NA,
,Goodwin,17-6844-50137,45.25505,-78.64918,,A,A,Ridgeway,1,,,,,
6,Grouse,15-6812-53794,48.5432,-90.5449,2,A,P,BsM,1.5,NA,NA,NA,NA,
4,Indian,15-5965-54891,49.5483,-91.6663,2,P,P,BsM,3,NA,NA,NA,NA,
15,Joseph,17-5998-50031,45.1743,-79.7239,2,P,P,Ras,3,NA,NA,NA,NA,
,Kamaniskeg,18-2891-50334,45.41755,-77.68981,,P,A,Ridgeway,2,,,,,
6,Kashabowie,15-6913-53983,48.7189,-90.3942,2,P,P,BsM,3,NA,NA,NA,NA,
15,Kawagama,17-6767-50182,45.2987,-78.7525,2,A,A,Ridgeway,2,,,,,Rasmussen paper previously said class 1 lake but algonquin survey says class 2 and fish Online says cisco and whitefish there
,Kennisis,17-6858-50095,45.21362,-78.63637,,A,A,Ridgeway,1,,,,,
,Kimball,17-6818-50232,45.34172,-78.67605,,P,A,Ridgeway,2,,,,,
8,Larder,17-6010-53265,48.0854,-79.6422,2,P,P,Ras,3,NA,NA,NA,NA,
16,Long,17-6191-49604,44.79,-79.49,1,A,A,Ras,1,NA,NA,NA,NA,
7,Long,16-5079-54800,49.4751,-86.8906,2,P,P,BsM,3,NA,NA,NA,NA,
4,Longlegged,15-4172-56262,50.784,-94.1745,2,P,P,BsM,3,NA,NA,NA,NA,
5,Lower Manitou,15-5023-54567,49.2781,-92.9481,2,P,P,BsM,3,NA,NA,NA,NA,
4,Mameigwess,15-5853-54894,49.5507,-91.8255,2,P,P,BsM,3,NA,NA,NA,NA,
10,Manitou,17-4235-50696,45.7776,-81.9835,2,P,P,Ras,3,NA,NA,NA,NA,
4,McCrea,15-6908-56374,50.8587,-90.2896,2,P,P,BsM,3,NA,NA,NA,NA,
15,McKenzie,17-7331-50275,45.3646,-78.0195,2,A,A,Ras,2,NA,NA,NA,NA,"has smelt, otherwise would be class 1"
4,Miniss,15-6523-56318,50.8213,-90.8733,2,P,P,BsM,3,NA,NA,NA,NA,
15,Muskoka,17-6201-49898,45.0237,-79.4773,2,P,P,Ras,3,NA,NA,NA,NA,
15,Muskrat,18-3511-50603,45.6746,-76.9085,2,P,P,Ras,3,NA,NA,NA,NA,
6,North,15-6844-53328,48.117,-90.544,,A,P,LU,1.5,1054,36,,pike|walleye,
6,Northern Light,15-6723-53466,48.2445,-90.6759,2,P,P,BsM,3,NA,NA,NA,NA,
5,Nym,15-6136-53934,48.69,-91.46,1,P,P,Ras,3,NA,NA,NA,NA,
6,Obonga,16-3346-55390,49.9741,-89.3113,2,P,P,BsM,3,NA,NA,NA,NA,
15,Opeongo,17-7048-50649,45.756,-78.353,,P,A,Algonquin,2,,,,,
5,Pickerel,15-6146-53867,48.6338,-91.3718,2,P,P,BsM,3,NA,NA,NA,NA,
,Red Pine,17-6806-50080,45.20439,-78.70184,,A,A,Ridgeway,1,,,,,
,Redstone,17-6934-50060,45.18369,-78.53568,,P,A,Ridgeway,2,,,,,
15,Rosseau,17-6112-50030,45.1741,-79.5976,2,P,P,Ras,3,NA,NA,NA,NA,
15,Round,18-3030-50572,45.6407,-77.5289,2,P,P,Ras,3,NA,NA,NA,NA,
6,Sandstone,15-7053-53459,48.2318,-90.2403,2,P,P,BsM,3,NA,NA,NA,NA,
4,Savant,15-6825-55952,50.4823,-90.4274,2,P,P,BsM,3,NA,NA,NA,NA,
6,Shebandowans,15-6988-53913,48.643,-90.3016,2,P,P,BsM,3,NA,NA,NA,NA,
15,Skeleton,17-6216-50117,45.2512,-79.4533,2,P,P,Ras,3,NA,NA,NA,NA,
15,Smoke,17-6811-50426,45.518,-78.681,,P,A,Algonquin,2,,,,,
6,Squeers,15-6804-53764,48.516,-90.558,,A,P,MNRF - CNFER,1.5,,33.6,,,
4,Sturgeon,15-6600-55380,49.9273,-90.8969,2,P,P,BsM,3,NA,NA,NA,NA,
11,Temagami,17-5700-52061,46.989,-80.0705,2,P,P,Ras,3,NA,NA,NA,NA,
6,Titmarsh,15-6832-53585,48.3554,-90.53,,P,P,LU,3,968.3,49.4,,pike|walleye,
4,Trout,15-4784-56717,51.1987,-93.3095,2,P,P,BsM,3,NA,NA,NA,NA,
11,Trout,17-6290-51301,46.3193,-79.3367,2,P,P,Ras,3,NA,NA,NA,NA,
15,Twelve Mile,17-6807-49881,45.0251,-78.7047,2,P,P,Ras,3,NA,NA,NA,NA,
6,Twinhouse,15-6587-53594,48.3689,-90.8567,2,A,P,BsM,1.5,NA,NA,NA,NA,
6,Walotka,16-3483-54344,49.0448,-89.0744,,A,P,LU,1.5,93.9,23,,,
8,Watabeag,17-5314-53425,48.2471,-80.5558,2,A,A,Ras,1,NA,NA,NA,NA,
