lakeName,latARU_conv,latBsM,longARU_conv,longBsM,latD_aru,latM1_aru,latM2_aru,latD_BsM,latM1_BsM,latM2_BsM,longD_aru,longM1_aru,longM2_aru,longD_BsM,longM1_BsM,longM2_BsM,ARU_LID,bsmWaterbodyID,latARU,longARU,latM_aru,latS_aru,latDirection,lonD_aru,lonM_aru,lonS_aru,lonDirection
Argo,48.25694444444444,48.25397,-91.80388888888889,-91.80679,48,1,5,48,2,5,91,4,8,91,8,0,15-5888-53453,15-5888-53453,481525,914814,15,25,N,91,48,14,W
Armstrong,45.51222222222222,45.51245,-79.91722222222222,-79.91693,45,3,0,45,5,1,79,5,5,79,9,1,17-5846-50402,17-5846-50402,453044,795502,30,44,N,79,55,2,W
Armstrong,46.03111111111111,45.51245,-79.20166666666667,-79.91693,46,0,1,45,5,1,79,1,2,79,9,1,17-6392-50989,17-5846-50402,460152,791206,1,52,N,79,12,6,W
Armstrong,46.530833333333334,45.51245,-81.57333333333332,-79.91693,46,3,1,45,5,1,81,3,4,79,9,1,17-4560-51530,17-5846-50402,463151,813424,31,51,N,81,34,24,W
Armstrong,48.08833333333334,45.51245,-82.20833333333334,-79.91693,48,0,5,45,5,1,82,1,2,79,9,1,17-4100-53266,17-5846-50402,480518,821230,5,18,N,82,12,30,W
Armstrong,49.966944444444444,45.51245,-94.37805555555555,-79.91693,49,5,8,45,5,1,94,2,2,79,9,1,15-4012-55356,17-5846-50402,495801,942241,58,1,N,94,22,41,W
Arnott,49.599444444444444,49.09594,-84.6061111111111,-88.95538,49,3,5,49,0,9,84,3,6,88,9,5,16-6730-54966,16-3577-54402,493558,843622,35,58,N,84,36,22,W
Arrow,46.18277777777777,48.15855,-78.4738888888889,-90.26498,46,1,0,48,1,5,78,2,8,90,2,6,17-6950-51172,15-7025-53379,461058,782826,10,58,N,78,28,26,W
Arrow,48.16416666666667,48.15855,-90.2761111111111,-90.26498,48,0,9,48,1,5,90,1,6,90,2,6,15-7025-53379,15-7025-53379,480951,901634,9,51,N,90,16,34,W
Arrow,48.38972222222222,48.15855,-80.77944444444444,-90.26498,48,2,3,48,1,5,80,4,6,90,2,6,17-5163-53594,15-7025-53379,482323,804646,23,23,N,80,46,46,W
Arrow,49.31527777777777,48.15855,-94.42805555555556,-90.26498,49,1,8,48,1,5,94,2,5,90,2,6,15-3962-54633,15-7025-53379,491855,942541,18,55,N,94,25,41,W
Arrow,50.052499999999995,48.15855,-90.03916666666666,-90.26498,50,0,3,48,1,5,90,0,2,90,2,6,15-7119-55485,15-7025-53379,500309,900221,3,9,N,90,2,21,W
Arthur,46.598333333333336,48.27894,-83.37472222222222,-80.45989,46,3,5,48,2,7,83,2,2,80,4,5,17-3181-51630,17-5396-53477,463554,832229,35,54,N,83,22,29,W
Astonish,46.564166666666665,46.56531,-82.85055555555554,-82.85482,46,3,3,46,5,6,82,5,1,82,8,5,17-3582-51582,17-3582-51582,463351,825102,33,51,N,82,51,2,W
Athelstane,48.77305555555555,48.77457,-90.20972222222223,-90.20796,48,4,6,48,7,7,90,1,2,90,2,0,15-7050-54058,15-7050-54058,484623,901235,46,23,N,90,12,35,W
Atik,48.21083333333333,48.21094,-90.17722222222223,-90.17813,48,1,2,48,2,1,90,1,0,90,1,7,15-7097-53434,15-7097-53434,481239,901038,12,39,N,90,10,38,W
Atikwa,49.46472222222223,49.49768,-93.54861111111111,-93.53348,49,2,7,49,4,9,93,3,2,93,5,3,15-4603-54790,15-4602-54790,492753,933255,27,53,N,93,32,55,W
Aubrey,45.49333333333333,46.90546,-78.34277777777777,-83.18616,45,2,9,46,9,0,78,2,0,83,1,8,17-7076-50410,17-3340-51953,452936,782034,29,36,N,78,20,34,W
Aubrey,46.89277777777778,46.90546,-83.17888888888889,-83.18616,46,5,3,46,9,0,83,1,0,83,1,8,17-3340-51953,17-3340-51953,465334,831044,53,34,N,83,10,44,W
Aubrey,49.765,46.90546,-92.99138888888889,-83.18616,49,4,5,46,9,0,92,5,9,83,1,8,15-5006-55123,17-3340-51953,494554,925929,45,54,N,92,59,29,W
Augite,49.863055555555555,49.8623,-93.71416666666667,-93.71668,49,5,1,49,8,6,93,4,2,93,7,1,15-4487-55234,15-4487-55234,495147,934251,51,47,N,93,42,51,W
Avery,45.195277777777775,47.14395,-78.81277777777777,-81.23287,45,1,1,47,1,4,78,4,8,81,2,3,17-6718-50068,17-4823-52210,451143,784846,11,43,N,78,48,46,W
Avery,47.14388888888889,47.14395,-81.23305555555555,-81.23287,47,0,8,47,1,4,81,1,3,81,2,3,17-4823-52210,17-4823-52210,470838,811359,8,38,N,81,13,59,W
Avery,49.683055555555555,47.14395,-92.37972222222221,-81.23287,49,4,0,47,1,4,92,2,2,81,2,3,15-5448-55034,17-4823-52210,494059,922247,40,59,N,92,22,47,W
Aylen,45.61333333333334,45.61836,-77.84861111111111,-77.85586,45,3,6,45,6,1,77,5,0,77,8,5,18-2779-50548,18-2779-50548,453648,775055,36,48,N,77,50,55,W
Bad Vermilion,48.735,48.72571,-92.67972222222222,-92.68243,48,4,4,48,7,2,92,4,0,92,6,8,15-5235-53978,15-5236-53978,484406,924047,44,6,N,92,40,47,W
Bain,46.47277777777778,46.47284,-80.01222222222222,-80.01199,46,2,8,46,4,7,80,0,0,80,0,1,17-5758-51468,17-5758-51468,462822,800044,28,22,N,80,0,44,W
Bain,46.47277777777778,50.47745,-80.01222222222222,-95.05374,46,2,8,50,4,7,80,0,0,95,0,5,17-5758-51468,15-3545-55924,462822,800044,28,22,N,80,0,44,W
Balsam,44.58361111111111,45.9177,-78.84388888888888,-80.14503,44,3,5,45,9,1,78,5,0,80,1,4,17-6712-49388,17-5664-50851,443501,785038,35,1,N,78,50,38,W
Balsam,44.58361111111111,44.58044,-78.84388888888888,-78.84168,44,3,5,44,5,8,78,5,0,78,8,4,17-6712-49388,17-6712-49387,443501,785038,35,1,N,78,50,38,W
Balsam,45.91833333333333,45.9177,-80.1438888888889,-80.14503,45,5,5,45,9,1,80,0,8,80,1,4,17-5664-50851,17-5664-50851,455506,800838,55,6,N,80,8,38,W
Balsam,45.91833333333333,44.58044,-80.1438888888889,-78.84168,45,5,5,44,5,8,80,0,8,78,8,4,17-5664-50851,17-6712-49387,455506,800838,55,6,N,80,8,38,W
Banner,45.029444444444444,47.79376,-77.87583333333333,-81.00072,45,0,1,47,7,9,77,5,2,81,0,0,18-2735-49900,17-4999-52930,450146,775233,1,46,N,77,52,33,W
Banner,47.7925,47.79376,-81.00138888888888,-81.00072,47,4,7,47,7,9,81,0,0,81,0,0,17-4999-52930,17-4999-52930,474733,810005,47,33,N,81,0,5,W
Baptiste,45.09916666666667,45.11648,-77.99638888888889,-78.00344,45,0,5,45,1,1,77,5,9,78,0,0,18-2642-49981,18-2642-49981,450557,775947,5,57,N,77,59,47,W
Barbara,47.27444444444444,49.34384,-84.33277777777778,-87.80103,47,1,6,49,3,4,84,1,9,87,8,0,16-7017-52389,16-4420-54651,471628,841958,16,28,N,84,19,58,W
Barbara,48.77916666666667,49.34384,-85.8611111111111,-87.80103,48,4,6,49,3,4,85,5,1,87,8,0,16-5837-54033,16-4420-54651,484645,855140,46,45,N,85,51,40,W
Barbara,49.338055555555556,49.34384,-87.79833333333333,-87.80103,49,2,0,49,3,4,87,4,7,87,8,0,16-4420-54651,16-4420-54651,492017,874754,20,17,N,87,47,54,W
Baril,48.74916666666667,48.75029,-90.755,-90.75708,48,4,4,48,7,5,90,4,5,90,7,5,15-6650-54018,15-6650-54018,484457,904518,44,57,N,90,45,18,W
Bark,44.931666666666665,46.91066,-78.46666666666667,-82.46795,44,5,5,46,9,1,78,2,8,82,4,6,17-6999-49783,17-3874-51976,445554,782800,55,54,N,78,28,0,W
Bark,44.931666666666665,45.4552,-78.46666666666667,-77.84943,44,5,5,45,4,5,78,2,8,77,8,4,17-6999-49783,18-2782-50364,445554,782800,55,54,N,78,28,0,W
Bark,45.44777777777777,46.91066,-77.83611111111111,-82.46795,45,2,6,46,9,1,77,5,0,82,4,6,18-2782-50364,17-3874-51976,452652,775010,26,52,N,77,50,10,W
Bark,45.44777777777777,45.4552,-77.83611111111111,-77.84943,45,2,6,45,4,5,77,5,0,77,8,4,18-2782-50364,18-2782-50364,452652,775010,26,52,N,77,50,10,W
Bark,46.92472222222222,46.91066,-82.4786111111111,-82.46795,46,5,5,46,9,1,82,2,8,82,4,6,17-3874-51977,17-3874-51976,465529,822843,55,29,N,82,28,43,W
Bark,46.92472222222222,45.4552,-82.4786111111111,-77.84943,46,5,5,45,4,5,82,2,8,77,8,4,17-3874-51977,18-2782-50364,465529,822843,55,29,N,82,28,43,W
Barrel,49.65361111111111,49.65928,-91.52416666666666,-91.53454,49,3,9,49,6,5,91,3,1,91,5,3,15-6065-55009,15-6065-55009,493913,913127,39,13,N,91,31,27,W
Bass,44.87166666666667,45.89079,-79.20805555555556,-81.94665,44,5,2,45,8,9,79,1,2,81,9,4,17-6416-49700,17-4263-50813,445218,791229,52,18,N,79,12,29,W
Bass,44.87166666666667,44.60345,-79.20805555555556,-79.50664,44,5,2,44,6,0,79,1,2,79,5,0,17-6416-49700,17-6187-49397,445218,791229,52,18,N,79,12,29,W
Bass,44.67472222222222,45.89079,-78.53583333333333,-81.94665,44,4,0,45,8,9,78,3,2,81,9,4,17-6953-49496,17-4263-50813,444029,783209,40,29,N,78,32,9,W
Bass,44.67472222222222,44.60345,-78.53583333333333,-79.50664,44,4,0,44,6,0,78,3,2,79,5,0,17-6953-49496,17-6187-49397,444029,783209,40,29,N,78,32,9,W
Bass,44.57,45.89079,-76.06916666666666,-81.94665,44,3,4,45,8,9,76,0,4,81,9,4,18-4151-49355,17-4263-50813,443412,760409,34,12,N,76,4,9,W
Bass,44.57,44.60345,-76.06916666666666,-79.50664,44,3,4,44,6,0,76,0,4,79,5,0,18-4151-49355,17-6187-49397,443412,760409,34,12,N,76,4,9,W
Bass,44.81805555555556,45.89079,-76.14361111111111,-81.94665,44,4,9,45,8,9,76,0,8,81,9,4,18-4096-49632,17-4263-50813,444905,760837,49,5,N,76,8,37,W
Bass,44.81805555555556,44.60345,-76.14361111111111,-79.50664,44,4,9,44,6,0,76,0,8,79,5,0,18-4096-49632,17-6187-49397,444905,760837,49,5,N,76,8,37,W
Bass,44.51305555555555,45.89079,-76.66083333333334,-81.94665,44,3,0,45,8,9,76,3,9,81,9,4,18-3680-49300,17-4263-50813,443047,763939,30,47,N,76,39,39,W
Bass,44.51305555555555,44.60345,-76.66083333333334,-79.50664,44,3,0,44,6,0,76,3,9,79,5,0,18-3680-49300,17-6187-49397,443047,763939,30,47,N,76,39,39,W
Bass,44.6025,45.89079,-79.50444444444445,-81.94665,44,3,6,45,8,9,79,3,0,81,9,4,17-6187-49397,17-4263-50813,443609,793016,36,9,N,79,30,16,W
Bass,44.6025,44.60345,-79.50444444444445,-79.50664,44,3,6,44,6,0,79,3,0,79,5,0,17-6187-49397,17-6187-49397,443609,793016,36,9,N,79,30,16,W
Bass,44.70888888888889,45.89079,-80.99833333333333,-81.94665,44,4,2,45,8,9,80,5,9,81,9,4,17-5001-49504,17-4263-50813,444232,805954,42,32,N,80,59,54,W
Bass,44.70888888888889,44.60345,-80.99833333333333,-79.50664,44,4,2,44,6,0,80,5,9,79,5,0,17-5001-49504,17-6187-49397,444232,805954,42,32,N,80,59,54,W
Bass,45.10805555555556,45.89079,-79.69833333333334,-81.94665,45,0,6,45,8,9,79,4,1,81,9,4,17-6024-49956,17-4263-50813,450629,794154,6,29,N,79,41,54,W
