lakeName,latARU_conv,latBsM,longARU_conv,longBsM,latD_aru,latM1_aru,latM2_aru,latD_BsM,latM1_BsM,latM2_BsM,longD_aru,longM1_aru,longM2_aru,longD_BsM,longM1_BsM,longM2_BsM,ARU_LID,bsmWaterbodyID,latARU,longARU,latM_aru,latS_aru,latDirection,lonD_aru,lonM_aru,lonS_aru,lonDirection
Buck,48.64138888888889,45.29311,-85.38861111111112,-77.74,48,3,8,45,2,9,85,2,3,77,7,4,16-6187-53886,18-2851-50189,483829,852319,38,29,N,85,23,19,W
Buck,48.64138888888889,45.42025,-85.38861111111112,-79.39479,48,3,8,45,4,2,85,2,3,79,3,9,16-6187-53886,17-6254-50307,483829,852319,38,29,N,85,23,19,W
Buck,49.1425,46.98422,-89.99277777777777,-83.8841,49,0,8,46,9,8,89,5,9,83,8,8,16-2817-54474,17-2807-52072,490833,895934,8,33,N,89,59,34,W
Buck,49.1425,45.29311,-89.99277777777777,-77.74,49,0,8,45,2,9,89,5,9,77,7,4,16-2817-54474,18-2851-50189,490833,895934,8,33,N,89,59,34,W
Buck,49.1425,45.42025,-89.99277777777777,-79.39479,49,0,8,45,4,2,89,5,9,79,3,9,16-2817-54474,17-6254-50307,490833,895934,8,33,N,89,59,34,W
Buckaday,48.98111111111111,48.98064,-87.75166666666667,-87.75228,48,5,8,48,9,8,87,4,5,87,7,5,16-4450-54254,16-4450-54254,485852,874506,58,52,N,87,45,6,W
Buckhorn,44.48888888888889,44.4856,-78.39166666666668,-78.39118,44,2,9,44,4,8,78,2,3,78,3,9,17-7074-49293,17-7074-49293,442920,782330,29,20,N,78,23,30,W
Buckshot,44.9975,47.55979,-77.06916666666666,-84.91051,44,5,9,47,5,5,77,0,4,84,9,1,18-3369-49845,16-6572-52693,445951,770409,59,51,N,77,4,9,W
Buckshot,44.9975,44.99564,-77.06916666666666,-77.06938,44,5,9,44,9,9,77,0,4,77,0,6,18-3369-49845,18-3369-49845,445951,770409,59,51,N,77,4,9,W
Buckshot,47.55972222222222,47.55979,-84.91055555555556,-84.91051,47,3,3,47,5,5,84,5,4,84,9,1,16-6572-52693,16-6572-52693,473335,845438,33,35,N,84,54,38,W
Buckshot,47.55972222222222,44.99564,-84.91055555555556,-77.06938,47,3,3,44,9,9,84,5,4,77,0,6,16-6572-52693,18-3369-49845,473335,845438,33,35,N,84,54,38,W
Bukemiga,50.11083333333333,50.11444,-89.22194444444445,-89.2204,50,0,6,50,1,1,89,1,3,89,2,2,16-3411-55531,16-3411-55531,500639,891319,6,39,N,89,13,19,W
Bulging,50.94361111111111,50.94425,-94.94388888888889,-94.94722,50,5,6,50,9,4,94,5,6,94,9,4,15-3634-56451,15-3634-56451,505637,945638,56,37,N,94,56,38,W
Bull,44.68722222222222,44.68776,-76.97611111111111,-76.97467,44,4,1,44,6,8,76,5,8,76,9,7,18-3434-49499,18-3434-49499,444114,765834,41,14,N,76,58,34,W
Bull,46.433055555555555,44.68776,-82.19055555555556,-76.97467,46,2,5,44,6,8,82,1,1,76,9,7,17-4085-51426,18-3434-49499,462559,821126,25,59,N,82,11,26,W
Bull,46.89805555555556,44.68776,-80.55638888888889,-76.97467,46,5,3,44,6,8,80,3,3,76,9,7,17-5338-51937,18-3434-49499,465353,803323,53,53,N,80,33,23,W
Bull,47.10333333333333,44.68776,-80.58277777777778,-76.97467,47,0,6,44,6,8,80,3,4,76,9,7,17-5317-52165,18-3434-49499,470612,803458,6,12,N,80,34,58,W
Burchell,48.58888888888889,48.58834,-90.63027777777778,-90.62706,48,3,5,48,5,8,90,3,7,90,6,2,15-6748-53842,15-6747-53842,483520,903749,35,20,N,90,37,49,W
Burditt,48.95111111111111,48.96059,-93.77833333333334,-93.77003,48,5,7,48,9,6,93,4,6,93,7,7,15-4430-54221,15-4430-54221,485704,934642,57,4,N,93,46,42,W
Burns,45.316944444444445,45.5871,-77.0925,-77.67143,45,1,9,45,5,8,77,0,5,77,6,7,18-3360-50201,18-2916-50515,451901,770533,19,1,N,77,5,33,W
Burns,45.587500000000006,45.5871,-77.67166666666667,-77.67143,45,3,5,45,5,8,77,4,0,77,6,7,18-2916-50515,18-2916-50515,453515,774018,35,15,N,77,40,18,W
Burns,46.594166666666666,45.5871,-83.11277777777777,-77.67143,46,3,5,45,5,8,83,0,6,77,6,7,17-3382-51620,18-2916-50515,463539,830646,35,39,N,83,6,46,W
Burns,NA,45.5871,NA,-77.67143,NA,NA,NA,45,5,8,NA,NA,NA,77,6,7,17-6580-50250,18-2916-50515,NA,NA,NA,NA,N,NA,NA,NA,W
Burnt Island,45.649166666666666,48.79053,-78.63861111111112,-90.841309999999993,45,3,8,48,7,9,78,3,8,90,8,4,17-6840-50576,15-6584-54061,453857,783819,38,57,N,78,38,19,W
Burnt Island,48.78972222222222,48.79053,-90.84305555555555,-90.841309999999993,48,4,7,48,7,9,90,5,0,90,8,4,15-6584-54061,15-6584-54061,484723,905035,47,23,N,90,50,35,W
Burridge,44.66416666666667,44.66433,-76.55499999999999,-76.55461,44,3,9,44,6,6,76,3,3,76,5,5,18-3767-49466,18-3767-49466,443951,763318,39,51,N,76,33,18,W
Burrows,44.83916666666667,49.9523,-79.66111111111111,-86.73837,44,5,0,49,9,5,79,3,9,86,7,3,17-6058-49658,16-5188-55331,445021,793940,50,21,N,79,39,40,W
Burrows,46.43805555555555,49.9523,-83.48138888888889,-86.73837,46,2,6,49,9,5,83,2,8,86,7,3,17-3094-51455,16-5188-55331,462617,832853,26,17,N,83,28,53,W
Burrows,49.952222222222225,49.9523,-86.73833333333333,-86.73837,49,5,7,49,9,5,86,4,4,86,7,3,16-5188-55331,16-5188-55331,495708,864418,57,8,N,86,44,18,W
Burt,48.07666666666667,48.29252,-80.36305555555555,-91.56278,48,0,4,48,2,9,80,2,1,91,5,6,17-5474-53248,15-6075-53504,480436,802147,4,36,N,80,21,47,W
Bury,50.439166666666665,50.43634,-91.39055555555557,-91.3911,50,2,6,50,4,3,91,2,3,91,3,9,15-6143-55885,15-6143-55885,502621,912326,26,21,N,91,23,26,W
Butler,46.51138888888889,49.67307,-79.12277777777777,-92.6663,46,3,0,49,6,7,79,0,7,92,6,6,17-6440-51524,15-5246-55025,463041,790722,30,41,N,79,7,22,W
Butler,48.434999999999995,49.67307,-83.88944444444445,-92.6663,48,2,6,49,6,7,83,5,3,92,6,6,17-2863-53685,15-5246-55025,482606,835322,26,6,N,83,53,22,W
Butler,49.67611111111111,49.67307,-92.65972222222223,-92.6663,49,4,0,49,6,7,92,3,9,92,6,6,15-5246-55025,15-5246-55025,494034,923935,40,34,N,92,39,35,W
Butler,NA,49.67307,NA,-92.6663,NA,NA,NA,49,6,7,NA,NA,NA,92,6,6,15-5844-54820,15-5246-55025,NA,NA,NA,NA,N,NA,NA,NA,W
Cairngorm,48.98916666666667,48.99187,-86.94194444444445,-86.93716,48,5,9,48,9,9,86,5,6,86,9,3,16-5043-54260,16-5042-54260,485921,865631,59,21,N,86,56,31,W
Calabogie,45.27833333333333,45.27732,-76.74194444444444,-76.74264,45,1,6,45,2,7,76,4,4,76,7,4,18-3634-50151,18-3634-50151,451642,764431,16,42,N,76,44,31,W
Calder,49.23861111111111,48.94489,-93.10694444444444,-93.5328,49,1,4,48,9,4,93,0,6,93,5,3,15-4922-54538,15-4610-54218,491419,930625,14,19,N,93,6,25,W
Callahan,47.52333333333333,47.5234,-84.51972222222223,-84.51967,47,3,1,47,5,2,84,3,1,84,5,1,16-6867-52661,16-6867-52661,473124,843111,31,24,N,84,31,11,W
Calm,48.774166666666666,48.78402,-92.08055555555555,-92.08944,48,4,6,48,7,8,92,0,4,92,0,8,15-5676-54025,15-5676-54025,484627,920450,46,27,N,92,4,50,W
Camel,45.159444444444446,48.40578,-79.42222222222223,-91.51269,45,0,9,48,4,0,79,2,5,91,5,1,17-6240-50017,15-6098-53616,450934,792520,9,34,N,79,25,20,W
Camel,NA,48.40578,NA,-91.51269,NA,NA,NA,48,4,0,NA,NA,NA,91,5,1,18-3813-49318,15-6098-53616,NA,NA,NA,NA,N,NA,NA,NA,W
Cameron,44.55222222222222,49.0175,-78.76138888888889,-84.27477,44,3,3,49,0,1,78,4,5,84,2,7,17-6778-49354,16-6991-54320,443308,784541,33,8,N,78,45,41,W
Cameron,44.55222222222222,48.16948,-78.76138888888889,-90.0888,44,3,3,48,1,6,78,4,5,90,0,8,17-6778-49354,15-7164-53390,443308,784541,33,8,N,78,45,41,W
Cameron,44.55222222222222,45.217,-78.76138888888889,-81.55793,44,3,3,45,2,1,78,4,5,81,5,5,17-6778-49354,17-4561-50068,443308,784541,33,8,N,78,45,41,W
Cameron,44.55222222222222,44.55177,-78.76138888888889,-78.76076,44,3,3,44,5,5,78,4,5,78,7,6,17-6778-49354,17-6778-49354,443308,784541,33,8,N,78,45,41,W
Cameron,45.306666666666665,49.0175,-77.4025,-84.27477,45,1,8,49,0,1,77,2,4,84,2,7,18-3116-50196,16-6991-54320,451824,772409,18,24,N,77,24,9,W
Cameron,45.306666666666665,48.16948,-77.4025,-90.0888,45,1,8,48,1,6,77,2,4,90,0,8,18-3116-50196,15-7164-53390,451824,772409,18,24,N,77,24,9,W
Cameron,45.306666666666665,45.217,-77.4025,-81.55793,45,1,8,45,2,1,77,2,4,81,5,5,18-3116-50196,17-4561-50068,451824,772409,18,24,N,77,24,9,W
Cameron,45.306666666666665,44.55177,-77.4025,-78.76076,45,1,8,44,5,5,77,2,4,78,7,6,18-3116-50196,17-6778-49354,451824,772409,18,24,N,77,24,9,W
Cameron,45.21555555555556,49.0175,-81.5586111111111,-84.27477,45,1,2,49,0,1,81,3,3,84,2,7,17-4561-50068,16-6991-54320,451256,813331,12,56,N,81,33,31,W
Cameron,45.21555555555556,48.16948,-81.5586111111111,-90.0888,45,1,2,48,1,6,81,3,3,90,0,8,17-4561-50068,15-7164-53390,451256,813331,12,56,N,81,33,31,W
Cameron,45.21555555555556,45.217,-81.5586111111111,-81.55793,45,1,2,45,2,1,81,3,3,81,5,5,17-4561-50068,17-4561-50068,451256,813331,12,56,N,81,33,31,W
Cameron,45.21555555555556,44.55177,-81.5586111111111,-78.76076,45,1,2,44,5,5,81,3,3,78,7,6,17-4561-50068,17-6778-49354,451256,813331,12,56,N,81,33,31,W
Cameron,46.48416666666667,49.0175,-79.88611111111112,-84.27477,46,2,9,49,0,1,79,5,3,84,2,7,17-5855-51482,16-6991-54320,462903,795310,29,3,N,79,53,10,W
Cameron,46.48416666666667,48.16948,-79.88611111111112,-90.0888,46,2,9,48,1,6,79,5,3,90,0,8,17-5855-51482,15-7164-53390,462903,795310,29,3,N,79,53,10,W
Cameron,46.48416666666667,45.217,-79.88611111111112,-81.55793,46,2,9,45,2,1,79,5,3,81,5,5,17-5855-51482,17-4561-50068,462903,795310,29,3,N,79,53,10,W
Cameron,46.48416666666667,44.55177,-79.88611111111112,-78.76076,46,2,9,44,5,5,79,5,3,78,7,6,17-5855-51482,17-6778-49354,462903,795310,29,3,N,79,53,10,W
Cameron,48.16972222222222,49.0175,-90.08972222222222,-84.27477,48,1,0,49,0,1,90,0,5,84,2,7,15-7164-53391,16-6991-54320,481011,900523,10,11,N,90,5,23,W
Cameron,48.16972222222222,48.16948,-90.08972222222222,-90.0888,48,1,0,48,1,6,90,0,5,90,0,8,15-7164-53391,15-7164-53390,481011,900523,10,11,N,90,5,23,W
Cameron,48.16972222222222,45.217,-90.08972222222222,-81.55793,48,1,0,45,2,1,90,0,5,81,5,5,15-7164-53391,17-4561-50068,481011,900523,10,11,N,90,5,23,W
Cameron,48.16972222222222,44.55177,-90.08972222222222,-78.76076,48,1,0,44,5,5,90,0,5,78,7,6,15-7164-53391,17-6778-49354,481011,900523,10,11,N,90,5,23,W
Cameron,49.27055555555555,49.0175,-93.68916666666667,-84.27477,49,1,6,49,0,1,93,4,1,84,2,7,15-4499-54575,16-6991-54320,491614,934121,16,14,N,93,41,21,W
Cameron,49.27055555555555,48.16948,-93.68916666666667,-90.0888,49,1,6,48,1,6,93,4,1,90,0,8,15-4499-54575,15-7164-53390,491614,934121,16,14,N,93,41,21,W
Cameron,49.27055555555555,45.217,-93.68916666666667,-81.55793,49,1,6,45,2,1,93,4,1,81,5,5,15-4499-54575,17-4561-50068,491614,934121,16,14,N,93,41,21,W
Cameron,49.27055555555555,44.55177,-93.68916666666667,-78.76076,49,1,6,44,5,5,93,4,1,78,7,6,15-4499-54575,17-6778-49354,491614,934121,16,14,N,93,41,21,W
Cameron,49.01083333333333,49.0175,-84.27722222222222,-84.27477,49,0,0,49,0,1,84,1,6,84,2,7,16-6991-54320,16-6991-54320,490039,841638,0,39,N,84,16,38,W
Cameron,49.01083333333333,48.16948,-84.27722222222222,-90.0888,49,0,0,48,1,6,84,1,6,90,0,8,16-6991-54320,15-7164-53390,490039,841638,0,39,N,84,16,38,W
Cameron,49.01083333333333,45.217,-84.27722222222222,-81.55793,49,0,0,45,2,1,84,1,6,81,5,5,16-6991-54320,17-4561-50068,490039,841638,0,39,N,84,16,38,W
Cameron,49.01083333333333,44.55177,-84.27722222222222,-78.76076,49,0,0,44,5,5,84,1,6,78,7,6,16-6991-54320,17-6778-49354,490039,841638,0,39,N,84,16,38,W
Camp,45.39,47.58799,-78.33583333333333,-82.10443,45,2,3,47,5,8,78,2,0,82,1,0,17-7085-50295,17-4160-52704,452324,782009,23,24,N,78,20,9,W
Camp,45.39,48.74852,-78.33583333333333,-90.42086,45,2,3,48,7,4,78,2,0,90,4,2,17-7085-50295,15-6896-54026,452324,782009,23,24,N,78,20,9,W
Camp,45.439166666666665,47.58799,-78.9075,-82.10443,45,2,6,47,5,8,78,5,4,82,1,0,17-6637-50337,17-4160-52704,452621,785427,26,21,N,78,54,27,W
Camp,45.439166666666665,48.74852,-78.9075,-90.42086,45,2,6,48,7,4,78,5,4,90,4,2,17-6637-50337,15-6896-54026,452621,785427,26,21,N,78,54,27,W
Camp,45.08166666666667,47.58799,-76.96111111111111,-82.10443,45,0,4,47,5,8,76,5,7,82,1,0,18-3457-49937,17-4160-52704,450454,765740,4,54,N,76,57,40,W
Camp,45.08166666666667,48.74852,-76.96111111111111,-90.42086,45,0,4,48,7,4,76,5,7,90,4,2,18-3457-49937,15-6896-54026,450454,765740,4,54,N,76,57,40,W
Camp,46.756388888888885,47.58799,-79.28777777777778,-82.10443,46,4,5,47,5,8,79,1,7,82,1,0,17-6308-51793,17-4160-52704,464523,791716,45,23,N,79,17,16,W
Camp,46.756388888888885,48.74852,-79.28777777777778,-90.42086,46,4,5,48,7,4,79,1,7,90,4,2,17-6308-51793,15-6896-54026,464523,791716,45,23,N,79,17,16,W
Camp,47.11638888888889,47.58799,-81.29583333333333,-82.10443,47,0,6,47,5,8,81,1,7,82,1,0,17-4776-52179,17-4160-52704,470659,811745,6,59,N,81,17,45,W
Camp,47.11638888888889,48.74852,-81.29583333333333,-90.42086,47,0,6,48,7,4,81,1,7,90,4,2,17-4776-52179,15-6896-54026,470659,811745,6,59,N,81,17,45,W
Camp,48.12388888888889,47.58799,-90.23916666666666,-82.10443,48,0,7,47,5,8,90,1,4,82,1,0,15-7055-53336,17-4160-52704,480726,901421,7,26,N,90,14,21,W
Camp,48.12388888888889,48.74852,-90.23916666666666,-90.42086,48,0,7,48,7,4,90,1,4,90,4,2,15-7055-53336,15-6896-54026,480726,901421,7,26,N,90,14,21,W
Camp,48.74916666666667,47.58799,-90.42027777777778,-82.10443,48,4,4,47,5,8,90,2,5,82,1,0,15-6896-54026,17-4160-52704,484457,902513,44,57,N,90,25,13,W
Camp,48.74916666666667,48.74852,-90.42027777777778,-90.42086,48,4,4,48,7,4,90,2,5,90,4,2,15-6896-54026,15-6896-54026,484457,902513,44,57,N,90,25,13,W
Camp,48.849722222222226,47.58799,-82.52555555555556,-82.10443,48,5,0,47,5,8,82,3,1,82,1,0,17-3881-54116,17-4160-52704,485059,823132,50,59,N,82,31,32,W
Camp,48.849722222222226,48.74852,-82.52555555555556,-90.42086,48,5,0,48,7,4,82,3,1,90,4,2,17-3881-54116,15-6896-54026,485059,823132,50,59,N,82,31,32,W
Camp,49.46138888888889,47.58799,-91.72194444444445,-82.10443,49,2,7,47,5,8,91,4,3,82,1,0,15-5926-54793,17-4160-52704,492741,914319,27,41,N,91,43,19,W
Camp,49.46138888888889,48.74852,-91.72194444444445,-90.42086,49,2,7,48,7,4,91,4,3,90,4,2,15-5926-54793,15-6896-54026,492741,914319,27,41,N,91,43,19,W
Canal,44.57027777777778,44.56744,-79.05,-79.04366,44,3,4,44,5,6,79,0,3,79,0,4,17-6548-49368,17-6548-49368,443413,790300,34,13,N,79,3,0,W
Canyon,46.409444444444446,49.9888,-82.57222222222222,-93.68699,46,2,4,49,9,8,82,3,4,93,6,8,17-3792-51405,15-4470-55367,462434,823420,24,34,N,82,34,20,W
Canyon,48.17472222222222,49.9888,-82.49638888888889,-93.68699,48,1,0,49,9,8,82,2,9,93,6,8,17-3888-53366,15-4470-55367,481029,822947,10,29,N,82,29,47,W
Canyon,49.981944444444444,49.9888,-93.73916666666666,-93.68699,49,5,8,49,9,8,93,4,4,93,6,8,15-4470-55367,15-4470-55367,495855,934421,58,55,N,93,44,21,W
Captain Tom,48.47833333333333,48.47819,-92.31888888888888,-92.31846,48,2,8,48,4,7,92,1,9,92,3,1,15-5503-53695,15-5503-53695,482842,921908,28,42,N,92,19,8,W
Carling,50.62222222222222,50.6223,-91.28,-91.28022,50,3,7,50,6,2,91,1,6,91,2,8,15-6217-56090,15-6217-56090,503720,911648,37,20,N,91,16,48,W
Carmen,45.672777777777775,47.48696,-79.56083333333333,-80.58688,45,4,0,47,4,8,79,3,3,80,5,8,17-6121-50585,17-5312-52592,454022,793339,40,22,N,79,33,39,W
Carmen,47.48722222222222,47.48696,-80.58611111111111,-80.58688,47,2,9,47,4,8,80,3,5,80,5,8,17-5312-52592,17-5312-52592,472914,803510,29,14,N,80,35,10,W
Carty,48.16722222222222,48.16538,-82.69944444444445,-82.70049,48,1,0,48,1,6,82,4,1,82,7,0,17-3736-53360,17-3736-53361,481002,824158,10,2,N,82,41,58,W
Cassels,47.07166666666667,47.06939,-79.7225,-79.71594,47,0,4,47,0,6,79,4,3,79,7,1,17-5970-52137,17-5970-52137,470418,794321,4,18,N,79,43,21,W
Castle,48.19416666666666,48.19412,-90.07166666666666,-90.07267,48,1,1,48,1,9,90,0,4,90,0,7,15-7176-53418,15-7176-53418,481139,900418,11,39,N,90,4,18,W
Castle,48.19416666666666,50.1269,-90.07166666666666,-88.87219,48,1,1,50,1,2,90,0,4,88,8,7,15-7176-53418,16-3663-55543,481139,900418,11,39,N,90,4,18,W
Castle,50.1275,48.19412,-88.87027777777777,-90.07267,50,0,7,48,1,9,88,5,2,90,0,7,16-3663-55542,15-7176-53418,500739,885213,7,39,N,88,52,13,W
Castle,50.1275,50.1269,-88.87027777777777,-88.87219,50,0,7,50,1,2,88,5,2,88,8,7,16-3663-55542,16-3663-55543,500739,885213,7,39,N,88,52,13,W
Castra,46.57416666666667,46.57422,-83.1888888888889,-83.18879,46,3,4,46,5,7,83,1,1,83,1,8,17-3323-51599,17-3323-51600,463427,831120,34,27,N,83,11,20,W
Caswell,47.24305555555556,46.86244,-79.56388888888888,-80.70741,47,1,4,46,8,6,79,3,3,80,7,0,17-6087-52330,17-5229-51902,471435,793350,14,35,N,79,33,50,W
Cataract,46.259166666666665,46.25956,-83.00222222222222,-83.00214,46,1,5,46,2,5,83,0,0,83,0,0,17-3457-51246,17-3457-51246,461533,830008,15,33,N,83,0,8,W
Catchacoma,44.75083333333333,44.75058,-78.32694444444444,-78.32526,44,4,5,44,7,5,78,1,9,78,3,2,17-7116-49585,17-7116-49585,444503,781937,45,3,N,78,19,37,W
Catlonite,49.17833333333333,49.17841,-87.00694444444444,-87.00698,49,1,0,49,1,7,87,0,0,87,0,0,16-4995-54471,16-4995-54471,491042,870025,10,42,N,87,0,25,W
Cavell,47.45861111111111,50.14754,-82.41277777777778,-87.15817,47,2,7,50,1,4,82,2,4,87,1,5,17-3935-52569,16-4881-55533,472731,822446,27,31,N,82,24,46,W
Cavern,48.8325,48.8321,-88.66444444444446,-88.66491,48,4,9,48,8,3,88,3,9,88,6,6,16-3779-54099,16-3778-54100,484957,883952,49,57,N,88,39,52,W
Caviar,49.36833333333333,49.37469,-93.78361111111111,-93.77506,49,2,2,49,3,7,93,4,7,93,7,7,15-4431-54685,15-4431-54685,492206,934701,22,6,N,93,47,1,W
Cecebe,45.641666666666666,45.64268,-79.57388888888889,-79.58059,45,3,8,45,6,4,79,3,4,79,5,8,17-6111-50550,17-6111-50550,453830,793426,38,30,N,79,34,26,W
Cecil,49.53944444444444,49.54021,-91.3913888888889,-91.40065,49,3,2,49,5,4,91,2,3,91,4,0,15-6164-54884,15-6164-54885,493222,912329,32,22,N,91,23,29,W
Cecil,50.37777777777778,49.54021,-87.46861111111112,-91.40065,50,2,2,49,5,4,87,2,8,91,4,0,16-4667-55805,15-6164-54885,502240,872807,22,40,N,87,28,7,W
Cedartree,49.309444444444445,49.30386,-93.85944444444443,-93.86676,49,1,8,49,3,0,93,5,1,93,8,6,15-4375-54620,15-4375-54620,491834,935134,18,34,N,93,51,34,W
Chant Plain,46.31361111111111,46.31366,-78.775,-78.773,46,1,8,46,3,1,78,4,6,78,7,7,17-6713-51311,17-6713-51311,461849,784630,18,49,N,78,46,30,W
Charleston,44.53611111111111,44.5346,-76.01194444444444,-76.01579,44,3,2,44,5,3,76,0,0,76,0,1,18-4196-49317,18-4196-49317,443210,760043,32,10,N,76,0,43,W
Chemong,44.38861111111111,44.38846,-78.39305555555556,-78.39205,44,2,3,44,3,8,78,2,3,78,3,9,17-7077-49181,17-7076-49181,442319,782335,23,19,N,78,23,35,W
Chesley,44.55333333333333,44.55287,-81.22472222222223,-81.22414,44,3,3,44,5,5,81,1,3,81,2,2,17-4822-49331,17-4822-49331,443312,811329,33,12,N,81,13,29,W
Chiblow,46.343611111111116,46.3472,-83.04916666666666,-83.05073,46,2,0,46,3,4,83,0,2,83,0,5,17-3423-51340,17-3423-51340,462037,830257,20,37,N,83,2,57,W
Chiniguchi,NA,46.93198,NA,-80.68185,NA,NA,NA,46,9,3,NA,NA,NA,80,6,8,17-5240-51985,17-5240-51985,NA,NA,NA,NA,N,NA,NA,NA,W
Chipman,46.54388888888889,49.98361,-83.7775,-86.23982,46,3,2,49,9,8,83,4,6,86,2,3,17-2870-51580,16-5538-55350,463238,834639,32,38,N,83,46,39,W
Christie,44.80444444444444,44.80311,-76.4388888888889,-76.43918,44,4,8,44,8,0,76,2,6,76,4,3,18-3862-49620,18-3862-49620,444816,762620,48,16,N,76,26,20,W
Christie,44.60305555555556,44.80311,-76.47305555555556,-76.43918,44,3,6,44,8,0,76,2,8,76,4,3,18-3831-49397,18-3862-49620,443611,762823,36,11,N,76,28,23,W
Christie,46.29472222222222,44.80311,-82.61083333333333,-76.43918,46,1,7,44,8,0,82,3,6,76,4,3,17-3759-51278,18-3862-49620,461741,823639,17,41,N,82,36,39,W
Chrysler,47.471111111111114,47.47118,-81.10777777777777,-81.10758,47,2,8,47,4,7,81,0,6,81,1,0,17-4919-52573,17-4919-52573,472816,810628,28,16,N,81,6,28,W
Chub,45.21361111111111,46.51091,-78.98277777777778,-83.38389,45,1,2,46,5,1,78,5,8,83,3,8,17-6584-50084,17-3172-51540,451249,785858,12,49,N,78,58,58,W
Chub,48.740833333333335,46.51091,-91.91833333333334,-83.38389,48,4,4,46,5,1,91,5,5,83,3,8,15-5795-53990,17-3172-51540,484427,915506,44,27,N,91,55,6,W
Church,48.527499999999996,48.52654,-90.56888888888888,-90.56936,48,3,1,48,5,2,90,3,4,90,5,6,15-6795-53776,15-6795-53776,483139,903408,31,39,N,90,34,8,W
Church,49.49055555555556,48.52654,-92.32583333333334,-90.56936,49,2,9,48,5,2,92,1,9,90,5,6,15-5488-54820,15-6795-53776,492926,921933,29,26,N,92,19,33,W
Churchill,50.79416666666666,50.79425,-91.17555555555556,-91.17578,50,4,7,50,7,9,91,1,0,91,1,7,15-6286-56283,15-6286-56283,504739,911032,47,39,N,91,10,32,W
Circle,49.359722222222224,49.35977,-89.01861111111111,-89.01858,49,2,1,49,3,5,89,0,1,89,0,1,16-3534-54692,16-3534-54692,492135,890107,21,35,N,89,1,7,W
Cirrus,48.5925,48.62465,-91.9875,-91.91309,48,3,5,48,6,2,91,5,9,91,9,1,15-5747-53824,15-5747-53824,483533,915915,35,33,N,91,59,15,W
Cirrus,48.9125,48.62465,-86.15333333333334,-91.91309,48,5,4,48,6,2,86,0,9,91,9,1,16-5620-54178,15-5747-53824,485445,860912,54,45,N,86,9,12,W
Clay,45.21555555555556,50.04611,-76.62277777777777,-93.48572,45,1,2,50,0,4,76,3,7,93,4,8,18-3726-50080,15-4653-55440,451256,763722,12,56,N,76,37,22,W
Clay,48.45527777777778,50.04611,-90.93388888888889,-93.48572,48,2,7,50,0,4,90,5,6,93,4,8,15-6528-53688,15-4653-55440,482719,905602,27,19,N,90,56,2,W
Clay,49.77916666666667,50.04611,-81.92361111111111,-93.48572,49,4,6,50,0,4,81,5,5,93,4,8,17-4335-55143,15-4653-55440,494645,815525,46,45,N,81,55,25,W
Clay,50.049166666666665,50.04611,-93.48527777777778,-93.48572,50,0,2,50,0,4,93,2,9,93,4,8,15-4653-55440,15-4653-55440,500257,932907,2,57,N,93,29,7,W
Clear,44.98361111111111,45.44131,-79.55416666666666,-77.1955,44,5,9,45,4,4,79,3,3,77,1,9,17-6140-49819,18-3287-50341,445901,793315,59,1,N,79,33,15,W
Clear,44.98361111111111,46.09839,-79.55416666666666,-79.78115,44,5,9,46,0,9,79,3,3,79,7,8,17-6140-49819,17-5942-51055,445901,793315,59,1,N,79,33,15,W
Clear,44.98361111111111,44.51481,-79.55416666666666,-78.19302,44,5,9,44,5,1,79,3,3,78,1,9,17-6140-49819,17-7230-49327,445901,793315,59,1,N,79,33,15,W
Clear,44.808055555555555,45.44131,-78.76277777777777,-77.1955,44,4,8,45,4,4,78,4,5,77,1,9,17-6769-49638,18-3287-50341,444829,784546,48,29,N,78,45,46,W
Clear,44.808055555555555,46.09839,-78.76277777777777,-79.78115,44,4,8,46,0,9,78,4,5,79,7,8,17-6769-49638,17-5942-51055,444829,784546,48,29,N,78,45,46,W
Clear,44.808055555555555,44.51481,-78.76277777777777,-78.19302,44,4,8,44,5,1,78,4,5,78,1,9,17-6769-49638,17-7230-49327,444829,784546,48,29,N,78,45,46,W
Clear,44.81444444444444,45.44131,-76.57944444444443,-77.1955,44,4,8,45,4,4,76,3,4,77,1,9,18-3751-49633,18-3287-50341,444852,763446,48,52,N,76,34,46,W
Clear,44.81444444444444,46.09839,-76.57944444444443,-79.78115,44,4,8,46,0,9,76,3,4,79,7,8,18-3751-49633,17-5942-51055,444852,763446,48,52,N,76,34,46,W
Clear,44.81444444444444,44.51481,-76.57944444444443,-78.19302,44,4,8,44,5,1,76,3,4,78,1,9,18-3751-49633,17-7230-49327,444852,763446,48,52,N,76,34,46,W
Clear,44.515277777777776,45.44131,-78.19444444444444,-77.1955,44,3,0,45,4,4,78,1,1,77,1,9,17-7230-49327,18-3287-50341,443055,781140,30,55,N,78,11,40,W
Clear,44.515277777777776,46.09839,-78.19444444444444,-79.78115,44,3,0,46,0,9,78,1,1,79,7,8,17-7230-49327,17-5942-51055,443055,781140,30,55,N,78,11,40,W
Clear,44.515277777777776,44.51481,-78.19444444444444,-78.19302,44,3,0,44,5,1,78,1,1,78,1,9,17-7230-49327,17-7230-49327,443055,781140,30,55,N,78,11,40,W
