BsM_Cycle,FMZ,lakeName,waterbodyID,secchiDepth,surfaceArea,lakeVolume,maxDepth,meanDepth,lat,long,yearSample,COLTR (TCU),pH,cond,alk,Ca,MGUT (mg/L),Na,KKUT (mg/L),CLIDUR (mg/L),SSO4UR (mg/L),SIO3UR (mg/L),FEUT,DIC,DOC,NNHTUR (mg/L),NNOTUR (ug/L),TKN,TDP,dateSample,NtoPratio,commonID,F0,FOFWBY,WBY,WBY2,ARU,ARU_NM,ARU_LID,LATITUDE,LONGITUDE,WSHED,GEOTWP,GEOTWP_NM,SRFAREA,PERIM,ISL,DEPMN,LIT_PC,ELEV,GDD,TDS,MEI,CROWN_PC,RSRT_CNT,COTT_CNT,FCT,SPECIES,SPC_080,SPC_081,SPC_091,SPC_093,SPC_131,SPC_132,SPC_316,SPC_331,SPC_332,SPC_334,latDirection,lonDirection,logTP,TP,lakeTrophicStatus,scaled_yearSample,scaled_secchi,scaled_maxDepth,samplingProgram,secchi_fit,secchi_fitWRand,rowID,updatedDOC,DOC_fit,DOC_fitWRandom
3,4,Botsford L.,15-5970-55554,2.5,1472.6,99070208.44,24,6.7,50.13856,-91.6591,2022,88,7.25,68.599,29.3,9.98,2.169,0.855,0.617,0.334,2.62,1.76,176,6.58,11.8,10,88.7,420,14.5,NA,NA,Botsford_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.919228764981654,-0.9416001637757527,-5.565919749869725,BsM,3.071106888042308,2.409465214309592,11,11.8,6.552792211132021,10.946618013235872
3,4,Bury L.,15-6143-55885,1.5,473.8,33271801.3,17,6.9,50.43634,-91.3911,2019,65.099,7.519,78.299,36.2,10.8,2.64,0.785,0.67,0.24,1.149,2,70,7.66,10.8,36,48,343,10.199,NA,NA,Bury_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.919228764981654,-1.9416001637757527,-12.565919749869725,BsM,3.077620449528686,2.055109805217513,12,10.8,6.550932609740408,12.098041364769273
3,4,Cecil L.,15-6164-54885,3.4,1560.8,195266138.4,24.4,12.4,49.54021,-91.40065,2019,6.16,7.509,91.599,36.899,11.199,2.629,2.31,0.7,2.62,2.399,1.399,400,8.039,3.6,26,2,203,10.399,NA,NA,Cecil_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.919228764981654,-0.04160016377575282,-5.165919749869726,BsM,3.077620449528686,3.5979302115019727,13,3.6,6.550932609740408,3.7943406074516344
3,4,Clay L.,15-4653-55440,0.9,2755.4,243936206.8,21.9,7.9,50.04611,-93.48572,2019,79.599,7.54,116,41.7,12.6,3.08,6.879,1.26,4.839,4.75,1.2,310,9.859,10.699,104,14,499,48.599,NA,NA,Clay_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.919228764981654,-2.541600163775753,-7.665919749869726,BsM,3.077620449528686,0.8686248093168687,14,10.699,6.550932609740408,11.375491915201044
3,4,Cliff L.,15-4785-55574,3.3,2236.3,245032785.9,34.1,9.2,50.16879,-93.29998,2019,16.8,7.54,80.7,34.299,9.64,2.5,2.45,0.76,2.49,1.649,0.78,20,8.599,6.2,26,2,285,10.199,NA,NA,Cliff_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.919228764981654,-0.1416001637757529,4.534080250130277,BsM,3.077620449528686,3.5600053758808277,15,6.2,6.550932609740408,6.562093174875268
3,4,Confederation L.,15-5210-56629,5.5,2606.2,346466891.8,32.3,8.3,51.11521,-92.67556,2021,19.6,7.11,51.799,21.1,7.87,1.05,0.586,0.549,0.149,1.24,0.44,33,5.549,6.519,10,46.299,280,9.025,NA,NA,Confederation_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.919228764981654,2.0583998362242473,2.7340802501302726,BsM,3.073276542041572,4.556591131576874,16,6.519,6.552172285355361,6.648230818805758
3,4,Crystal L.,15-6321-55100,1.5,115.8,2260999.97,4.6,1.9,49.72882,-91.1675,2022,128,7.059,43,16.8,6.799,1.34,0.836,0.518,0.291,0.896,2.08,171,4.2,14.6,12,30,440,11.15,NA,NA,Crystal_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.919228764981654,-1.9416001637757527,-24.965919749869727,BsM,3.071106888042308,1.784503716579898,17,14.6,6.552792211132021,15.145532489842086
3,4,Delaney L.,15-4250-55493,5,1278.1,292250401.4,81.4,22.8,50.09299,-94.048,2021,6.99,6.96,36.799,12.8,3.85,1.189,0.999,0.526,0.423,2.399,0.23,30,3.419,3.399,11.3,5,240,8.769,NA,NA,Delaney_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.919228764981654,1.5583998362242473,51.834080250130285,BsM,3.073276542041572,4.527182256703118,18,3.399,6.552172285355361,3.2667314151088913
3,4,Fitchie L.,15-6742-56100,1.8,1147.7,50397597.83,19.2,4.6,50.61813,-90.53714,2019,72.2,7.44,60.299,25.5,8.619,1.78,0.81,0.495,0.78,0.75,1.24,130,5.32,11.1,32,8,358,10.3,NA,NA,Fitchie_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.919228764981654,-1.6416001637757527,-10.365919749869725,BsM,3.077620449528686,2.0276138055286443,19,11.1,6.550932609740408,12.509022130570404
3,4,Gibraltar L.,15-6378-55460,2,109.3,2223999.94,3,2,50.0521,-91.07599,2019,95.099,6.969,36.6,14.8,6,0.772,0.536,0.275,0.087,0.796,1.629,128,3.64,12.5,11.4,59.899,410,10.85,NA,NA,Gibraltar_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.919228764981654,-1.4416001637757527,-26.565919749869725,BsM,3.077620449528686,1.8824019787444022,20,12.5,6.550932609740408,13.44610789047092
