BsM_Cycle,FMZ,waterbodyID,lakeName,dateSample,yearSample,secchiDepth,alk,Ca,CLIDUR (mg/L),COLTR (TCU),cond,DIC,DOC,KKUT (mg/L),MGUT (mg/L),Na,NNHTUR (mg/L),NNOTUR (ug/L),TKN,pH,TDP,SIO3UR (mg/L),SSO4UR (mg/L),FEUT,lat,long,maxDepth,meanDepth.,surfaceArea,lakeVolume
1,18,18-3453-49652,Big Gull,2010-04-19,2010,4,24.5,9.22,1.8,18.4,62.4,6,5.4,0.525,1.57,1.12,20,2,297,7.41,6.9,0.6,3.45,NA,44.82693,-76.96878,24.4,6,2417.8,146062362.7
1,18,18-4040-49580,Big Rideau,2009-04-29,2009,8,86.7,28.9,9.46,9.6,219,NA,5.3,1.39,7.79,5.46,10,38,332,7.92,6.1,0.94,8.1,44,44.75128,-76.21379,100,12.3,4583.9,796917012.4
1,18,18-3782-49339,Birch,2010-04-13,2010,4.1,67.4,21.2,5.42,11.2,161,NA,3.5,0.825,5.63,3.48,6,6,299,7.79,10.3,1.44,7.6,NA,44.54788,-76.54165,39.6,14.3,196.2,27957235.65
1,18,18-3741-49489,Bobs,2008-05-13,2008,3.4,50.7,16.4,4.04,17.2,128,12.8,4.8,0.885,4,2.59,26,2,376,7.72,10.4,1.32,5.65,NA,44.68123,-76.58765,25.6,7.5,2875.7,183689996.3
1,18,18-3388-49903,Brule,2010-04-19,2010,6,45.4,17.1,0.68,7.4,109,10.9,3,0.96,2.56,0.83,6,28,179,7.5,7.4,2.2,7.75,NA,45.05076,-77.04841,56.4,22.2,582.2,126673198.9
1,18,18-3369-49845,Buckshot,2008-05-06,2008,5.8,23.5,NA,1.86,22.6,69.4,6.2,5.5,NA,NA,NA,12,74,263,7.26,8.1,1.88,5.6,NA,44.99564,-77.06938,33.5,9.1,441.3,40117341.41
1,18,18-3767-49466,Burridge,2010-04-13,2010,3.3,105,33.6,4.46,18,234,NA,NA,1.23,6.8,2.42,8,2,419,8.02,12.3,1.46,9.7,NA,44.66433,-76.55461,16.2,7.3,95.1,5898400.38
1,18,18-3862-49620,Christie,2010-04-20,2010,7.7,59,19.4,4.94,12.2,141,14.5,4.4,0.895,4.69,2.97,12,10,299,7.66,7.3,1.14,5.05,NA,44.80311,-76.43918,18.3,8.5,647.4,54901502.08
1,18,18-3571-49746,Crotch,2010-08-04,2010,4.8,32.3,12.2,2.18,13.8,81.2,8.92,5.6,0.615,2.03,1.45,24,46,304,7.72,8,0.84,4.05,NA,44.91255,-76.80939,24.4,8.7,1453.5,126392423.8
1,18,18-3762-49801,Dalhousie,2009-04-28,2009,3,NA,19.4,3.17,23.8,125,13.6,6,0.82,3.46,2.03,6,16,309,NA,9.2,1.56,5.15,79,44.9656,-76.56939,11,4.5,614.8,26550000
1,18,18-3814-49569,Farren,2010-04-20,2010,6.3,87.4,30.5,10.8,7.4,214,21.1,3.9,1.12,5.71,5.62,20,16,392,7.91,7.9,0.48,6.5,NA,44.7584,-76.49769,21.3,8.4,175.2,14707890.67
1,18,18-3661-49250,Hambly,2010-04-21,2010,4.4,160,50.9,23.1,25.2,379,NA,7.3,1.78,12.1,14.1,36,42,528,8.04,8.1,1.88,6.85,NA,44.46818,-76.68347,14.6,4,96.1,3580000
1,18,18-3389-49691,Kashwakamak,2008-05-06,2008,5.7,37.5,NA,4.71,15.6,106,9.4,4.6,NA,NA,NA,14,116,256,7.56,7.1,1.76,6.15,45,44.8566,-77.0385,24,5.2,1150.6,63403600.21
1,18,18-3264-50044,Leatherroot,2010-04-15,2010,7,12.7,4.88,0.38,6,38.4,3.56,2.8,0.225,1.08,0.76,108,38,296,6.87,5.2,0.64,4.45,NA,45.17317,-77.20911,14.3,6.9,21,1393800.07
1,18,18-3640-49528,Leggat,2008-05-13,2008,6.3,30.2,10.4,0.91,9.2,65,6.42,3.2,0.525,1.95,1.1,30,42,337,NA,11.4,0.02,4.25,NA,44.71318,-76.72398,18,6.3,181.9,11438376.3
1,18,18-3267-49749,Mazinaw,2008-05-06,2008,7.5,19.8,NA,5.14,17.4,74,5.3,4.6,NA,NA,NA,6,194,210,7.16,4.8,2.06,6.15,NA,44.91805,-77.19745,134.1,40.1,1604.1,643459207.3
1,18,18-3050-49285,Moira,2010-04-16,2010,4.5,126,45.8,9.08,20.8,277,NA,5.4,1.19,5.6,5.7,12,64,302,8.03,8.6,2.48,7.55,77,44.4871,-77.45373,9.1,3.6,852.6,30820506.96
1,18,18-3998-49356,Sand,2010-04-29,2010,6,81.9,26.7,8.4,9.8,194,20.5,4.4,1.17,6.08,5.13,8,2,314,7.96,11.6,1.14,7.75,NA,44.56822,-76.26322,13.7,4.2,891.3,37488870.83
1,18,18-3668-49582,Sharbot,2010-04-22,2010,6,78.6,25.1,12.4,13,203,4.9,4.5,1.11,5.7,7.7,10,10,341,7.85,8,2.02,6.65,NA,44.76738,-76.69336,30.5,7,1498.9,104520761.2
1,18,18-4028-49206,South,2010-04-29,2010,1.5,131,40.7,15.6,31.8,315,30.7,6.2,1.84,12.3,9.76,112,2,795,8.53,44.4,1.6,12,NA,44.43422,-76.22132,13.7,4.9,237.6,11669211.69
1,18,18-3760-49200,Sydenham,2010-04-12,2010,5.7,122,37.5,14.5,11.6,289,NA,4.6,1.45,10.2,9.18,20,64,409,8.15,11.1,1.68,9.45,NA,44.43074,-76.55674,36.6,7.2,660.5,50522399.54
1,18,18-3085-49890,Weslemkoon,2009-05-07,2009,4.5,73.5,26.3,1.67,10,168,18.1,3.5,1.04,4.21,1.15,12,24,234,7.2,6,1.58,7.2,NA,45.02704,-77.4237,51.8,8.3,1973.3,163013121.3
2,7,16-6447-54048,Dayohessarah,2017-05-12,2017,5.8,61.6,25.3,0.17,12.1,126,14.8,4.099,0.53,6.179,0.73,16,78,209,7.83,6.4,0.28,1.95,NA,48.78119,-85.02995,26.6,10.1,1170.7,112473600
2,7,16-6727-53244,Lena,2017-05-13,2017,5.3,31.699,12.3,0.15,12.4,80.799,8.06,3,0.235,1.99,0.4,16,70,208,7.389,6.9,1.02,6.15,NA,48.05118,-84.683,38.1,11,92.4,10065000
2,7,16-6222-53262,Mishi,2015-05-13,2015,5.5,10.699,4.299,0.25,14.8,32,3.08,4.2,0.2,0.67,0.47,8,146,179,6.929,3.899,0.78,2.95,NA,48.07953,-85.35913,67,27,217.4,58611829.16
2,7,16-6697-54829,Nagagamisis,2016-06-12,2016,3,119,34.899,0.98,21.199,234,28,6.599,0.8,7.73,1.29,26,46,297,7.94,12.6,2.24,2,NA,49.47731,-84.65717,8.2,3.8,2480.9,88581802.6
2,7,16-6699-53200,Wawa,2017-05-13,2017,6,49.2,19.1,6.41,10.8,175,11.4,2.899,0.475,6.139,4.57,10,94,147,7.679,4.799,1.2,25.1,NA,48.01285,-84.72161,32.9,15.6,668.3,105674400
2,8,17-5271-54228,Maloney,2017-05-14,2017,NA,55.7,17.699,0.4,99.099,113,13,11,0.765,3.48,0.93,48,54,505,7.62,22.8,1.32,0.8,320,48.9598,-80.6298,3,1.5,68.8,1041119.16
2,8,17-6036-54931,Poulos,2016-05-12,2016,2.5,1.48,1.139,0.06,90.099,9.31,0.68,9.699,0.15,0.316,0.2,4,6,227,5.82,8.4,0.28,0.15,150,49.57521,-79.57016,NA,NA,NA,NA
2,10,16-7134-51997,Achigan,2013-06-06,2013,3.9,3.379,2.08,0.17,17.6,20.399,1.1,3.799,0.255,0.475,0.69,12,198,197,6.799,4.299,2,2.299,NA,46.91679,-84.19601,44.2,12.4,290.1,34670399.69
2,10,16-7046-52151,Adelaide,2015-05-14,2015,5.5,7.059,2.919,0.13,13.6,24.5,2.399,2.6,0.18,0.42,0.5,4,272,146,6.79,4.099,1.6,2.25,NA,47.05965,-84.31112,47.2,12.2,128.9,16750600.11
2,10,16-6809-53004,Anjigami,2013-06-06,2013,3.2,5.309,2.259,0.22,58.2,23.199,1.78,8.199,0.305,0.565,0.725,16,100,281,6.799,7.7,2.08,2.5,NA,47.851,-84.58297,44.7,12.3,1133.6,138802588.6
2,10,17-3094-52159,Anvil,2013-06-06,2013,5.4,7.49,2.759,0.13,22,28.199,2.2,5.4,0.155,0.71,0.735,14,26,209,7.15,4.099,1.36,3.1,NA,47.07089,-83.51018,18.3,6.8,90.2,6310400.38
2,10,17-3164-51328,Basswood,2013-06-06,2013,6.2,4.889,3.359,1.409,0.2,35.6,1.56,0.9,0.26,0.83,1.439,6,244,104,7.009,2.1,0.12,5.75,NA,46.33314,-83.39658,73.2,38.7,2689.3,1048228258
2,10,17-3525-51431,Bay,2016-05-08,2016,10,5.5,2.759,0.27,8.099,25.8,1.84,1.399,0.165,0.56,0.645,4,28,135,6.5,2.899,0.2,4.45,NA,46.42728,-82.9196,48.8,22.1,359.4,79263587.38
2,10,17-4652-51149,Bear,2017-05-08,2017,4.7,11.199,4.74,1.96,12.1,47.7,2.899,2.799,0.53,1.21,1.84,14,4,216,7.049,7.299,0.56,6.2,NA,46.18806,-81.44897,54,14,687.7,96149271.65
2,10,17-3423-51340,Chiblow,2013-06-06,2013,5.9,4.759,2.62,0.25,2.6,26,1.639,2.7,0.23,0.69,0.875,8,54,150,7.019,2.399,1,3.649,NA,46.3472,-83.05073,66.9,24.1,1996,481330525.8
2,10,17-4919-52573,Chrysler,2015-05-13,2015,3.5,49.399,14.4,0.28,4.62,104,12.199,1.8,0.245,2.629,0.885,10,2,196,7.639,10.699,1.56,3.899,NA,47.47118,-81.10758,27.5,9.5,85.7,7001499.71
2,10,17-3191-51490,Cummings,2017-05-09,2017,3.8,6.059,2.399,1.26,14.4,28,NA,3,0.235,0.612,1.419,10,122,162,6.74,3.6,2.12,3.5,NA,46.472,-83.35656,39,17.1,522.7,89293835.36
2,10,17-2752-51845,Devils,2015-05-14,2015,4,6.179,2.48,0.09,14.3,24.5,1.919,3.799,0.335,0.578,0.705,4,78,215,6.809,4.2,1.28,3.299,NA,46.77811,-83.94464,42.1,11.4,196,22765798.89
2,10,16-7004-52204,Dick,2013-06-06,2013,3.6,7.04,4.04,0.1,29,26.8,2.259,5.2,0.19,0.43,0.585,10,116,220,7.08,4.5,1.34,2.399,NA,47.10866,-84.358,27.4,9,100.1,8983870.84
2,10,17-3053-52211,Dunkerley,2017-05-13,2017,2.2,6.94,3.08,0.13,57.299,24.899,2.24,7.299,0.195,0.684,0.705,18,62,247,6.719,5.7,3,2.549,100,47.11642,-83.56414,NA,NA,NA,NA
2,10,17-4672-51457,Fairbank,2016-05-09,2016,9,15.5,6.7,1.7,8.109,61.399,4.12,1.5,0.43,1.61,1.459,2,44,137,6.91,5,1.76,8.4,NA,46.46577,-81.42763,42.7,15.9,718.9,114034909.4
2,10,17-2792-52332,Galloway,2013-06-27,2013,2.5,4.37,2.6,0.28,58.399,20.8,1.399,7.9,0.165,0.575,0.725,18,2,350,6.66,11.4,1.8,2.45,NA,47.21974,-83.91641,20.8,5,25.6,1312449.74
2,10,16-6678-52804,Gamitagama,2013-06-06,2013,6.9,3.25,1.5,0.16,9.599,16.8,1.32,2.799,0.17,0.315,0.52,20,78,151,6.769,4.2,0.6,2.399,NA,47.65757,-84.76551,27.5,8,194.1,12845278.79
2,10,17-3074-52158,Gong,2013-06-06,2013,3.6,6.15,2.759,0.17,51.2,26.8,1.98,8.199,0.175,0.785,0.75,16,34,275,6.94,5,2.56,2.7,NA,47.07006,-83.53602,24,6.7,376.8,24304455.09
2,10,16-6971-52177,Griffin,2013-06-06,2013,6.9,6.37,3.5,0.14,12.4,25.8,1.96,3.299,0.21,0.47,0.635,6,242,148,7.07,2.7,1.679,2.149,NA,47.08604,-84.40354,45.7,20.3,160.3,29861300.12
2,10,17-2809-52215,Hanes,2013-06-06,2013,2.4,5.849,3.94,0.19,51.799,27.6,1.82,9,0.17,0.705,0.675,10,54,306,6.96,6.299,2.2,2.5,NA,47.11457,-83.88482,18.3,4.6,137.3,6260254.78
2,10,17-5310-52621,Island,2013-07-10,2013,2.8,16.3,6.099,0.21,31.199,46.6,4,6.5,0.25,1.34,0.87,22,2,282,7.37,6.099,2.24,4.95,NA,47.51388,-80.5893,18.6,6,30.6,6924000.09
2,10,17-3986-50757,"Kagawong,",2017-05-08,2017,5.2,121,29.399,3.72,6.71,277,29,3.7,0.71,15.5,1.75,8,4,279,8.14,5.299,1.48,16.5,NA,45.82922,-82.30542,34,11.2,5633.6,628433871.2
2,10,16-6823-52566,Kwagama,2013-06-06,2013,7.5,2.569,1.139,0.13,13,15.4,1.1,2.7,0.21,0.3,0.63,28,80,181,6.629,3.2,0.56,2.6,NA,47.44016,-84.58345,38,12.5,210,27637500.76
2,10,17-3592-51192,Lauzon,2013-06-06,2013,4.8,6.759,3.52,1.429,6.2,37.799,2.06,2.7,0.37,1.02,1.32,10,72,178,7.15,3.1,0.68,5,NA,46.21199,-82.82266,82.3,23.8,2198.4,533595982.9
2,10,17-3360-51357,Little Chiblow,2013-06-06,2013,4.8,5.44,2.52,0.41,4.2,26.199,1.58,2.799,0.24,0.69,0.89,10,22,171,7.03,7.299,0.64,4.099,NA,46.357,-83.13157,38.1,17.3,641.9,110270199.4
2,10,16-7260-52296,Logan,2017-05-13,2017,2.7,12.199,5.12,0.15,46.799,32.1,3.2,6.9,0.165,0.48,0.47,24,72,336,7.04,9.5,1.139,1.5,90,47.19047,-84.00983,NA,NA,NA,NA
2,10,17-5184-52500,Lulu,2017-05-08,2017,2.3,1.159,1.159,0.17,24.399,15.1,NA,4.4,0.2,0.416,0.645,16,42,75,5.75,4.799,2,3.6,140,47.40481,-80.75706,21,6.8,73.3,4999761.35
2,10,16-6811-52113,Mamainse,2013-06-06,2013,7.1,3.5,1.78,0.17,6.4,19,1.26,2.6,0.225,0.36,0.555,26,154,143,6.839,2.6,1.24,2.45,NA,47.03048,-84.61844,36.6,12,147.7,17664346.28
2,10,17-4235-50696,"Manitou,",2016-05-09,2016,6.1,117,31,3,9.589,266,28.899,4.299,0.735,14.4,0.875,2,2,240,8.009,5.2,1.399,13.9,NA,45.77755,-81.98346,49.1,14.6,10588.4,1542707699
2,10,17-3678-51289,McGiverin,2013-06-06,2013,3.6,4.32,2.439,0.23,24.199,24.199,1.34,5.299,0.285,0.665,0.935,14,56,246,6.94,5.099,1.919,3.299,NA,46.30329,-82.73474,36,11.7,275,35790298.7
2,10,17-5179-52567,Okiniada,2013-05-29,2013,6.1,1.23,1.34,0.24,19.399,17.199,0.84,4.5,0.2,0.45,0.74,6,10,158,6.16,8.4,2.259,4.099,NA,47.46489,-80.76159,32.9,13,93.6,12727000.2
2,10,16-6710-52766,Old Woman,2013-06-06,2013,4,2.319,1.379,0.1,22.199,16,1.159,4.099,0.195,0.315,0.535,16,160,190,6.509,5.2,1.24,2.35,NA,47.62155,-84.72187,45.8,15.9,266.1,41546697.06
2,10,17-3091-51898,Penelope,2016-05-08,2016,4.7,26.3,7.66,0.22,14.3,64.799,6.879,2.399,0.365,2.25,1.1,6,66,172,6.98,7.4,3.359,4,NA,46.83672,-83.50296,36.6,11.6,175.8,20416000.67
2,10,17-2857-52221,Point,2013-06-06,2013,1.6,3.66,2.64,0.07,67.4,21.199,1.159,9.599,0.135,0.645,0.655,16,38,320,6.719,6.799,2.06,2.35,NA,47.11663,-83.82459,28.7,5.7,77.2,4297799.94
2,10,16-6806-52259,Queminico,2014-08-21,2014,2.6,19.132,5.719,0.19,20.529,47.899,4.559,4.5,0.465,1.58,1.11,10,2,306,7.543,7.2,1.639,3.049,NA,47.16395,-84.61718,7.3,4.3,111.3,4712800.14
2,10,16-6806-52259,Queminico,2013-06-06,2013,3.9,18.5,5.36,0.16,11.4,50.799,5.16,4,0.465,1.85,1.06,14,40,223,7.559,5.799,1.48,2.6,NA,47.16395,-84.61718,7.3,4.3,111.3,4712800.14
2,10,17-3053-51969,Ranger,2013-06-06,2013,6.9,7.419,3.439,0.54,5.2,31.8,2.259,3.399,0.22,0.98,0.74,4,38,233,7.179,2.299,1,3.049,NA,46.90502,-83.56707,73.2,21.7,2318.7,489139738.4
2,10,17-3764-51679,Rawhide,2015-05-20,2015,8.3,8.939,3.1,0.25,3.21,32.5,2.259,1.5,0.295,0.898,0.735,8,2,164,6.759,3.6,0.36,5.549,NA,46.65506,-82.61487,61,23,952.6,222732005.6
2,10,17-2880-52035,Saddle,2013-06-06,2013,2.6,4.41,2.52,0.14,27.8,22.399,1.379,6.299,0.275,0.53,0.745,16,94,304,6.889,5.7,1.1,2.25,NA,46.95281,-83.78813,15.2,3.8,112.1,4260264.32
2,10,17-3014-51622,Shelden,2013-06-06,2013,5,7.379,3.6,0.36,11.4,30.399,2.04,3.799,0.27,0.75,0.875,10,128,173,7.15,2.2,1.679,3.25,NA,46.58666,-83.59021,21.3,9.9,144.8,14300279.43
2,10,16-7100-51834,Sill,2013-06-06,2013,5.9,8.31,3.14,0.28,8.199,28.8,2.48,3.799,0.3,0.68,0.64,18,70,246,7.24,5.299,0.36,2.6,NA,46.77338,-84.24994,18.3,6.8,42,2838486.23
2,10,17-2976-52164,South Branch,2013-06-06,2013,2.6,4.45,2.359,0.14,50.6,23.199,1.54,8.4,0.145,0.66,0.67,12,54,282,6.78,8.199,1.96,2.6,NA,47.06961,-83.67101,12.2,2.9,199.7,5790976.81
2,10,17-3943-51700,Spinweb,2013-06-06,2013,4.5,6.48,3.299,0.26,11,28.8,2.04,3.899,0.34,0.665,0.885,18,76,217,7.08,3.899,1.32,3.399,NA,46.67548,-82.38285,12.5,3.6,96,5839199.74
2,10,17-3849-51482,Teasdale,2017-05-08,2017,5.1,20.6,8.699,0.21,4.419,56.1,NA,1.5,0.205,0.646,0.535,12,6,163,7.219,4,0.4,5.599,NA,46.4795,-82.49876,52,21.2,136.4,28939837.08
2,10,17-3629-51531,Ten Mile,2015-05-20,2015,10,6.11,2.899,0.18,3.029,25,1.86,1.399,0.17,0.366,0.53,6,40,134,6.679,2.399,0.3,3.95,NA,46.51978,-82.78766,116.2,30.1,1030.7,316276150.2
2,10,16-6806-52194,Upper Pancake,2013-06-06,2013,3.6,3.91,1.96,0.24,24.8,19.6,1.34,4.9,0.215,0.39,0.64,24,118,239,6.82,4.9,1.52,1.7,NA,47.10561,-84.61995,16.8,4,101.5,3687999.88
2,10,16-6746-52826,Wabigoon,2017-05-12,2017,2.1,3.419,2.08,0.12,64.2,16.3,1.419,6.799,0.195,0.346,0.555,18,126,274,6.389,7,2.04,1.55,110,47.67774,-84.67689,NA,NA,NA,NA
2,10,17-3191-51595,Wakomata,2013-06-06,2013,6.3,6.849,3.379,0.56,2,31.399,2.02,1.899,0.23,0.78,0.92,8,94,136,7.16,5,1.2,3.649,NA,46.57189,-83.36057,73.2,28.3,2479.2,698642067.4
2,10,17-2880-52069,Ward,2013-06-06,2013,3.2,3.39,2.54,0.18,27.8,22.199,1.139,6.5,0.265,0.52,0.685,14,170,266,6.73,3.799,1.439,3.2,NA,46.98394,-83.78715,19,7,50,3514000.05
2,10,16-7186-51904,Weckstrom,2014-07-18,2014,6.5,8.23,3.12,0.32,9.669,28.699,2.1,2.7,0.48,0.718,0.92,8,136,180,7.04,3.7,2.54,2.85,NA,46.82679,-84.15028,20.4,7.3,28.9,1501086.09
2,2,17-4127-58673,Attawapiskat R.,2016-07-23,2016,NA,47.150000000000006,14.850000000000001,0.44999999999999996,106.85,98.5,10.7595,14.6995,0.20500000000000002,2.649,0.8225,14,5,400.5,7.3695,15.5,1.24,0.275,335,52.77776,-84.81436,NA,NA,NA,NA
2,2,16-3769-56381,Whiteclay,2016-05-23,2016,2,15.4,5.48,0.16,66.099,38.1,NA,9.5,0.37,1.24,0.59,8,24,307,6.879,7,1.8,0.7,110,50.91328,-88.71851,62,3.7,4820.6,179959860.8
2,4,15-4674-55871,Anishinabi,2014-05-25,2014,7,40.399,11.4,0.2,9.8,88.599,10,3.399,0.935,2.899,1.389,4,26,559,7.71,6.7,0.56,2.6,NA,50.43988,-93.44327,88.8,32,3295.5,1054920946
2,4,15-4525-57350,Berens,2015-05-21,2015,1.1,26.6,7.639,0.16,118,53.399,5.5,15.9,0.54,1.85,0.765,8,42,424,7.23,19.1,2.279,0.4,NA,51.75814,-93.71456,11.6,4.7,2661.7,131148790.1
2,4,15-5556-55428,Big Vermilion,2017-05-09,2017,3.6,60.5,18.899,0.39,12,125,14.699,4.9,0.885,3.47,1.389,12,1,245,7.719,7.599,1.34,2.299,NA,50.04484,-92.20826,41,12.6,6900.5,871168593.9
2,4,15-5244-55839,Broadcast,2017-05-23,2017,3.8,104,32.2,0.19,7.799,200,23.6,5.099,1.52,6.11,1.389,10,2,352,8.039,9.8,1.04,1.899,NA,50.40992,-92.65663,16,7.3,667,48720217.84
2,4,15-4250-55493,Delaney,2015-05-13,2015,4.6,14.4,3.58,0.37,5.95,37.6,3.859,3.1,0.565,1.159,1.05,8,2,208,7.049,9.8,0.16,2.149,NA,50.09299,-94.048,81.4,22.8,1278.1,292250401.4
2,4,15-5581-55389,Little Vermilion,2015-05-14,2015,2.4,79.5,20.6,0.23,16.1,154,19.6,7.4,1.139,4.549,1.59,10,2,341,7.87,13.1,0.96,1.85,NA,50.00179,-92.15509,NA,NA,2243,NA
2,4,15-6908-56374,McCrea,2014-05-24,2014,2.8,19.694,6.719,0.13,72.4,43.2,5,11.1,0.48,1.37,0.515,10,100,349,7.049,7.4,1.24,0.85,NA,50.85869,-90.28963,49.7,6.5,4013.9,260875724.9
2,4,15-6600-55380,Sturgeon,2014-05-23,2014,6.4,26.5,14.5,0.45,20.199,100,6.679,5.799,0.575,2.279,1.09,6,64,231,7.429,6.799,0.92,18.399,NA,49.92729,-90.89686,93,13.6,24047.8,2912127175
2,4,15-4238-55430,Tom,2014-08-10,2014,NA,6.69,2.259,0.24,27.5,21.8,1.28,7.599,0.29,0.664,0.795,8,2,404,6.889,5.799,1.48,1.95,50,50.03637,-94.06278,36,12.1,57.1,6800200.31
2,4,15-4784-56717,Trout,2014-05-25,2014,5,25.8,8.66,0.15,15.9,56.399,6.32,4.599,0.66,1.679,0.895,12,4,209,7.549,5.599,0.88,1.8,NA,51.19868,-93.30949,47.3,13.7,34518.2,4768545020
2,5,15-6228-53450,Agnes,2017-05-08,2017,5,6.7,2.419,0.22,12.1,24.6,2,4.299,0.34,0.72,0.805,8,54,206,6.78,3.5,0.6,2.7,NA,48.22804,-91.35112,79.3,18,3011.8,545322038.8
2,5,15-5662-53769,Beaverhouse,2017-05-08,2017,4.2,7.599,2.16,0.2,15.8,24.199,2,5.5,0.515,0.792,0.785,6,102,217,6.78,5.099,0.84,2.35,NA,48.54596,-92.10223,64.7,22.3,1956.6,438880000.2
2,5,15-5662-53769,Beaverhouse,2016-05-17,2016,4.3,6.809,2.16,0.21,17.3,24.699,1.98,5.599,0.54,0.876,0.845,12,84,262,6.65,4.3,0.76,2.45,NA,48.54596,-92.10223,64.7,22.3,1956.6,438880000.2
2,5,15-4100-55022,Blindfold,2016-05-25,2016,NA,11.5,3.799,5.389,32.2,52.299,2.859,8.199,0.655,1.32,3.98,24,2,393,6.78,11.6,0.78,1.75,90,49.67003,-94.25758,16.8,3.3,504.4,16374600.17
2,5,15-4725-54467,Bluffpoint,2016-05-24,2016,3.7,15.699,5.9,0.67,21.3,43,3.66,7.2,0.59,0.908,1.04,8,2,353,6.91,6.5,0.64,1.95,NA,49.1767,-93.37447,38.1,10.4,503.7,54121600.55
2,5,15-6075-53504,Burt,2017-05-08,2017,5.3,3.69,1.36,0.21,14.699,18.199,1.28,3.899,0.38,0.572,0.78,6,84,177,6.48,3.7,0.96,2.649,NA,48.29252,-91.56278,75.1,22.4,736.9,164775025.2
2,5,15-6075-53504,Burt,2016-05-17,2016,7,3.509,1.34,0.21,12.6,18.5,1.24,3.899,0.38,0.608,0.715,6,60,205,6.309,2.7,0.86,2.7,NA,48.29252,-91.56278,75.1,22.4,736.9,164775025.2
2,5,15-4431-54685,Caviar,2016-05-25,2016,3,27,9.119,0.35,14.199,64.2,6.54,6.2,0.62,1.439,1.11,8,2,318,7.009,10.199,0.82,2.149,NA,49.37469,-93.77506,39.6,9.1,3170.3,289907816.6
2,5,15-5755-54281,Clearwater West,2015-05-22,2015,8.2,8.589,2.18,0.16,6.04,23.5,2.2,2.5,0.405,0.492,0.895,2,26,157,6.87,4.299,0.44,1.7,NA,49.00747,-91.98602,73.2,27.2,3598.8,983151001.5
2,5,15-6263-53964,Crystal,2015-05-19,2015,5.8,9.779,2.819,3.629,5.379,40.899,2.54,2.799,0.675,1.06,2.54,6,2,212,6.86,5.5,0.16,2.549,NA,48.7076,-91.27802,47,15.9,623.9,99948942.89
2,5,15-4399-55286,Daniels,2015-05-13,2015,6.8,7.08,2,0.45,1.05,23.699,2.299,3.5,0.485,0.668,0.65,6,36,176,6.79,3.899,0.28,1.95,NA,49.92424,-93.85166,78.6,23.1,1629.8,369461411.7
2,5,15-4395-54864,Dryberry,2016-05-25,2016,4.2,10.699,2.879,0.28,6.78,29.8,2.5,3.799,0.485,0.944,1.05,6,18,217,6.719,5.099,0.36,2.6,NA,49.54722,-93.85008,105.5,22.1,10238.6,2410005042
2,5,15-5688-53944,Factor,2015-05-22,2015,5.2,11.199,3.62,1.7,7.91,37.7,2.62,4.299,0.66,0.682,1.71,8,16,230,6.95,5,0.48,2.6,NA,48.70208,-92.0698,49.4,14.5,640,93358454.4
2,5,15-4490-55266,Gordon,2017-05-09,2017,8,12.3,3.819,0.24,3.49,34.299,3.48,2.1,0.565,1.05,0.785,4,26,134,7.009,3.299,0.04,3.1,NA,49.89387,-93.70945,91,36.6,889.5,325642632.2
2,5,15-4710-54335,Kaiashkons,2016-05-24,2016,4.5,27.3,10.6,0.52,10.199,79,6.719,4.2,1.08,1.82,1.1,6,26,242,7.08,5.4,0.36,7,NA,49.05496,-93.39573,58,24.5,2025.2,526039523.9
2,5,15-4390-54514,Kakagi,2016-05-25,2016,5.3,59.399,18,1.1,2.299,131,14.1,4.299,0.75,3.069,1.59,10,2,208,7.599,5.599,1.76,3.799,NA,49.24073,-93.83253,58,20.6,11061.7,2304254283
2,5,15-6183-53673,Keats,2017-05-08,2017,2.5,14.3,4.839,0.6,61.799,41.2,3.56,9.9,0.42,1.36,1.1,10,78,371,7.04,10,2.339,2.399,200,48.44918,-91.39669,NA,NA,NA,NA
2,5,15-5464-53494,Lilac,2017-05-08,2017,2.1,12.199,3.02,0.21,25.6,32.899,NA,6.299,0.565,1.31,0.965,22,4,313,7.089,11,0.56,1.75,70,48.29901,-92.37509,23,10.6,294.2,31630400.49
2,5,15-5477-54774,Long,2015-05-14,2015,5,35.5,11.3,0.37,8.759,76.099,8.8,4,0.64,1.11,0.995,8,2,228,7.459,7.799,1.36,2.6,NA,49.44607,-92.32731,32.9,14,1826.9,256857993.2
2,5,15-6250-53348,Louisa,2017-05-08,2017,8,9.949,3.459,0.22,9.72,30.199,2.64,3.6,0.37,0.728,0.745,8,50,215,6.87,6,0.6,3.299,NA,48.1557,-91.32066,76.3,21.1,719.3,152597885.4
2,5,15-6250-53348,Louisa,2016-05-17,2016,6.5,9.009,3.319,0.24,10.1,30.5,2.439,4.2,0.375,0.812,0.8,12,36,199,6.71,4.3,0.46,3.149,NA,48.1557,-91.32066,76.3,21.1,719.3,152597885.4
2,5,15-5023-54567,Lower Manitou,2015-05-13,2015,5,28.699,9.4,0.85,10.8,68.599,7.48,5.799,0.56,1.22,1.429,6,42,243,7.44,6.2,1,2.25,NA,49.27811,-92.94807,81,19.9,8871.7,1648675130
2,5,15-5842-54507,Nora,2017-05-08,2017,5.1,8.859,2.759,0.21,12.5,26.699,2.6,3.5,0.405,0.7,0.94,14,32,205,6.9,6.9,1.6,2.149,NA,49.19934,-91.85993,55.2,16.2,1612.7,258001208.2
