BsM_Cycle,FMZ,waterbodyID,lakeName,dateSample,yearSample,secchiDepth,alk,Ca,CLIDUR (mg/L),COLTR (TCU),cond,DIC,DOC,KKUT (mg/L),MGUT (mg/L),Na,NNHTUR (mg/L),NNOTUR (ug/L),TKN,pH,TDP,SIO3UR (mg/L),SSO4UR (mg/L),FEUT,lat,long,maxDepth,meanDepth.,surfaceArea,lakeVolume
1,8,17-5004-53007,Lloyd,2008-05-22,2008,3.3,18.4,5.7,0.44,15,54.6,4.66,5.9,0.21,2.47,0.78,18,12,279,7.29,6.4,0.84,5.35,52,47.85644,-81.0022,NA,NA,NA,NA
1,8,17-4372-52874,Makami,2008-05-27,2008,2.5,16.6,5.92,0.94,57.4,49.8,4.32,11.7,0.305,1.64,1.2,16,74,310,7.17,7.1,2.16,3.9,NA,47.73095,-81.84357,14,2.3,179.1,3900800.06
1,8,17-5196-53085,Mistinikon,2008-05-22,2008,2.2,20.3,8.38,NA,57,56.6,5.2,10.4,0.22,1.78,0.895,24,52,365,7.25,9.2,2.08,NA,79,47.96607,-80.73921,36.6,5.9,1282.3,80068899.85
1,8,17-5325-55608,Natogami,2008-05-29,2008,2.1,32.5,10.5,0.24,48.2,67.8,8.22,7.5,0.225,2.63,0.54,28,4,270,7.45,10.2,0.6,0.95,94,50.20248,-80.54211,NA,NA,NA,NA
1,8,17-5018-53686,Night Hawk,2008-06-04,2008,0.3,32.5,14.6,0.84,147,94.8,7.84,13.7,0.8,3.32,1.72,20,102,564,7.51,32.9,1.52,9.4,NA,48.45682,-80.98027,4.6,1.7,10848.5,167147408
1,8,17-5416-55645,Piyagoskogau,2008-05-29,2008,1.1,7.37,3.2,0.1,65.6,19.8,1.66,14.3,0.155,0.86,0.295,20,8,314,6.8,11.2,0.42,0.5,192,50.23921,-80.41161,NA,NA,NA,NA
1,8,17-5000-54254,Pool,2008-05-20,2008,2.5,77.7,21.2,0.92,18.2,158,18.7,6,1.04,4.06,1.22,24,4,394,8.04,11.9,0.56,1.8,299,48.98506,-80.9908,NA,NA,NA,NA
1,8,17-4239-52944,Resound,2008-05-27,2008,3.9,7.53,3.18,0.21,25.2,29.4,2.08,7.9,0.185,0.98,0.815,12,30,237,6.97,5.4,2.08,4.25,NA,47.789,-82.01482,NA,NA,NA,NA
1,8,17-3767-53044,Rollo,2009-05-22,2009,5.9,42,14.5,0.31,27.8,92,10.6,6.9,0.35,2.66,0.85,18,84,298,7.46,7.2,1.72,3.55,NA,47.88286,-82.64873,53,14.5,808,142650998.2
1,8,17-3846-54330,Saganash,2008-06-03,2008,2.5,83.2,25.3,0.27,43.4,164,19.7,11.9,0.565,5.25,1.09,16,22,470,7.93,15.5,1.04,2.6,311,49.05064,-82.58198,NA,NA,NA,NA
1,8,17-5265-52901,Shillington,2008-05-22,2008,2.8,25.6,8.58,0.57,41.2,68,6.96,6.9,0.29,2.14,1.28,24,68,293,7.43,8.3,3.36,4.95,NA,47.76767,-80.64678,34.7,11.2,118.6,15231999.74
