BsM_Cycle,FMZ,waterbodyID,lakeName,dateSample,yearSample,secchiDepth,maxDepth,meanDepth,lat,long,alk,Ca,CLIDUR (mg/L),COLTR (TCU),cond,DIC,DOC,KKUT (mg/L),MGUT (mg/L),Na,NNHTUR (mg/L),NNOTUR (ug/L),TKN,pH,TDP,SIO3UR (mg/L),SSO4UR (mg/L),FEUT,NtoPratio
1,5,15-4710-54335,Kaiashkons,2010-05-04,2010,5,58,24.5,49.05496,-93.39573,28,11.2,0.6,7.8,78.8,7.6,3.8,1,2,1.1,2,44,201,7.12,5.1,0.4,8.3,NA,3.217040941322207
1,5,15-4390-54514,Kakagi,2010-05-11,2010,6.5,58,20.6,49.24073,-93.83253,60.9,20.8,1.2,11,129,16.4,2.7,0.8,3.2,1.6,2,2,169,7.87,5.4,1.6,4.2,NA,3.009529841542704
1,5,15-4479-54411,Katimiagamak,2010-05-04,2010,5,76.3,23.1,49.12173,-93.7193,44.7,16.9,0.4,9,97.6,11.8,4.2,0.5,1.5,1,6,6,236,7.32,5.3,1.7,3.2,NA,3.240191434252994
1,5,15-6111-54547,Kay,2010-05-07,2010,2.8,29.9,6.9,49.23546,-91.47242,4.4,2,0.3,61,17.8,1.4,8.3,0.4,0.6,0.9,8,52,291,6.64,6.4,2.2,1.8,238,3.031125254989949
1,5,15-4729-54570,Lawrence,2010-05-04,2010,3,76.2,22.2,49.27504,-93.36566,8.3,3.1,0.5,27.8,28.8,2.4,8.6,0.6,0.9,1.1,2,94,305,6.55,4.7,1.1,2.2,NA,3.646934553189218
1,5,15-5464-53494,Lilac,2010-05-08,2010,3.8,23,10.6,48.29901,-92.37509,13.1,3.7,0.3,21,32.8,3.2,5.6,0.6,1.5,1.1,22,2,344,7.22,12.1,0.3,2.2,NA,2.335031727973016
1,5,15-4452-55268,Little Gordon,2010-05-07,2010,6.5,46.7,17.3,49.89284,-93.76337,13.2,4.4,0.3,12.4,36,3.8,3.6,0.7,1.1,0.8,6,10,184,7.24,4.2,0.2,3.3,NA,3.5756378530823976
1,5,15-4403-54276,Little Kishkutena,2010-05-04,2010,2.5,5.4,2.5,48.99737,-93.80884,26.5,10.1,0.5,38.8,61,7.1,9.2,0.5,1.1,1.1,18,2,490,6.99,13.6,0.9,1.9,163,2.3667071576285297
1,5,15-5221-54041,Little Turtle,2010-05-11,2010,2.4,9.2,3.6,48.78047,-92.68563,9,3.1,0.5,57.2,26.4,2.5,7.7,0.5,0.9,1,16,12,348,7.01,13,1.7,1.9,203,2.274921080642707
1,5,15-5477-54774,Long,2010-05-11,2010,5.5,32.9,14,49.44607,-92.32731,33.8,13,0.5,15,74.6,9.1,4.3,0.6,1.2,1,2,2,221,7.63,5.7,1.2,3.2,NA,3.0711327883543547
1,5,15-4058-55081,Longbow,2010-05-08,2010,3.1,22.9,6.6,49.71891,-94.29528,26.2,8,19.4,25.4,127,7,9,1.4,3.4,12.2,18,4,424,7.38,12.6,0.6,2.7,80,2.380376350049058
1,5,15-4632-54287,Loonhaunt,2010-05-04,2010,3.6,47.3,11.3,49.002,-93.50355,16.8,6.1,0.4,19,48.2,4.6,6.1,0.8,1.4,1,8,14,309,6.9,7.2,0.7,4.6,NA,2.8843195519181224
1,5,15-6250-53348,Louisa,2010-05-04,2010,7.8,76.3,21.1,48.1557,-91.32066,8.1,3.7,0.3,8.4,28.2,2.6,3.4,0.4,0.7,0.8,8,38,217,6.53,3.9,0.5,3.6,NA,3.881107957863891
1,5,15-5023-54567,Lower Manitou,2010-05-04,2010,5.9,81,19.9,49.27811,-92.94807,27.8,10.2,1.1,10.4,67.4,7.5,4.8,0.5,1.3,1.3,4,32,263,7.09,5.7,0.9,2.9,NA,3.170070875697051
1,5,15-3559-55281,Malachi,2010-05-07,2010,2.3,19.8,7.9,49.89658,-95.00767,11.4,3.2,0.3,24.2,31,3.2,8.4,0.7,1.3,1.2,20,4,423,7.06,15.4,0.6,1.8,NA,2.2064799495539855
1,5,15-5502-54176,Manion,2010-05-08,2010,3.3,12,5.6,48.90942,-92.31834,8.6,3.1,0.5,42.8,26,2.5,7.2,0.4,0.8,1.3,10,6,311,6.97,9.7,1.7,2.2,66,2.5149661336008564
1,5,15-6065-54144,Marmion,2010-05-08,2010,5.3,24.4,6.2,48.89674,-91.51896,33.8,11.2,0,8.2,85.6,9.4,4.8,0.6,2.1,3.3,22,4,276,7.51,9.4,1.2,0.1,NA,2.4966835140674566
1,5,15-5787-53500,McAree,2010-05-04,2010,4.4,37.2,12.7,48.28734,-91.92461,17.4,6.1,1.2,37.2,49,4.6,8.4,0.4,2,1.5,18,12,415,6.94,10.6,2,3.2,60,2.5434175184555543
1,5,15-6348-53492,McEwen,2010-05-04,2010,4.3,45,11.6,48.2938,-91.17707,9.1,3.6,0.3,25.2,30.2,2.6,6.6,0.4,1.1,1.1,4,64,327,6.65,5.9,1.9,3,NA,3.231608948626884
1,5,15-6383-54085,Mercutio,2010-05-07,2010,2.8,15.3,4.9,48.80983,-91.09871,10.3,4,0.2,50,29.8,2.8,9.6,0.4,1,0.8,28,4,533,7.02,12.1,2.5,2,166,2.5100418899245542
1,5,15-5600-54290,Mount,2010-05-08,2010,5,37.2,12.8,49.01314,-92.18708,8.3,3.2,0.8,31.4,26.8,2.5,5.3,0.4,0.7,1.4,6,86,276,7.01,7.3,2.3,2.3,NA,2.8083034146461707
1,5,15-5842-54507,Nora,2010-05-07,2010,5.2,55.2,16.2,49.19934,-91.85993,9.2,3.3,0.3,17.6,25.8,2.2,4.1,0.5,0.8,1.1,16,2,285,7.14,5.4,1.3,2.5,NA,3.3159385962392514
1,5,15-6136-53934,Nym,2010-05-07,2010,5.6,37.2,8.7,48.68333,-91.42721,5.7,2.2,2.9,14.2,30,1.7,5.1,0.5,0.9,1.9,10,2,255,6.87,6.6,0.3,2.6,NA,2.913429208518555
1,5,15-4396-54165,Off,2010-05-04,2010,2.6,12.2,4.9,48.90206,-93.83011,61.9,18.5,2.5,46.8,136,16.1,13.7,1,5.8,2.1,12,2,599,7.27,13.2,2.1,2.8,66,2.47141101044289
1,5,15-4124-55428,Old Man,2010-05-07,2010,2.8,23,6.1,50.03672,-94.22218,9.6,3.1,0.5,32,27.2,2.8,6.3,0.6,1,1,12,6,304,7.02,7.8,0.9,2.2,58,2.7662004012986205
1,5,15-6144-53765,Olifaunt,2010-05-06,2010,3.5,39.3,12.9,48.5358,-91.43887,7.1,2.8,2.4,25.8,29.2,2.1,6.7,0.5,1,1.7,16,60,260,6.85,6.2,1.2,3.1,60,3.021416033312497
1,5,15-6375-53394,Other Man,2010-05-04,2010,3,32.6,10.9,48.19347,-91.14873,48.8,18.4,0.3,8.8,104,12.9,4.5,0.3,1.3,0.7,2,2,358,7.45,15,1.8,3.4,NA,2.1662886003629493
1,5,15-5100-54230,Otukamamoan,2010-05-11,2010,4.7,53.7,16.9,48.96084,-92.89431,8,3.3,1.7,36,30.8,2.3,8.3,0.5,0.9,1.7,6,84,340,6.88,7,0.9,2.1,NA,2.973958065424132
1,5,15-3662-55240,Pelicanpouch,2010-05-07,2010,1.8,9.2,3.6,49.85536,-94.87014,11,3.4,1.6,61.6,35,2.9,10.8,0.7,1.3,1.8,36,80,520,7.06,26.9,1.4,1.4,514,1.8975517766936745
1,5,15-5849-53998,Perch,2010-05-08,2010,2.8,24.7,5.9,48.74848,-91.83244,17.7,6.3,1.9,58.6,49.4,4.7,9.9,0.5,1.5,1.7,26,44,374,7.28,12,2.2,2.2,230,2.3762675214629425
1,5,15-5537-54222,Pettit,2010-05-06,2010,4.2,25,9,48.94535,-92.26647,8.7,3.2,0.6,30.8,27,2.6,5.6,0.4,0.8,1.4,14,10,249,7,7.6,1.9,2.4,NA,2.703213535674895
1,5,15-6146-53867,Pickerel,2010-05-07,2010,3.7,74.7,17.7,48.63384,-91.37177,11.9,3.8,0.7,17.4,34.2,3.4,6.8,0.8,1.3,1.3,8,2,337,7.14,9.2,0.3,2,48,2.6100188509206372
1,5,15-3654-55172,Pickerel,2010-05-08,2010,4.2,27.5,7.4,49.79767,-94.8772,7.5,2.9,2.3,22.6,31.6,2.3,6.2,0.5,1,1.9,6,94,247,6.83,5.7,1.3,2.4,NA,3.134379097410986
1,5,15-4595-54375,Pipestone,2010-05-04,2010,3.5,53.4,18.6,49.09952,-93.54379,37.9,13.5,0.6,12.2,84,10.1,6,0.6,2.1,1.1,8,2,333,7.23,7.3,1.2,3.3,NA,2.9020738376550548
1,5,15-5975-53595,Poohbah,2010-05-04,2010,4.7,70,16.1,48.38032,-91.6971,7.9,3,0.3,18.6,27.2,2.3,5.2,0.7,0.9,1,12,44,277,6.62,6.3,0.4,3.3,NA,3.0298898566178623
1,5,15-4557-54838,Populus,2010-05-08,2010,4,39,8.2,49.50585,-93.59764,31.8,13.2,0.3,22.2,70,8.5,8.1,0.5,0.9,0.8,8,2,339,7.56,6.6,1.4,2.3,NA,3.063073442629235
1,5,15-4390-55083,Porcus,2010-05-08,2010,7,53.3,21.1,49.72464,-93.84386,7.5,2.5,0.2,16.8,23.6,2.3,4.2,0.4,0.8,0.9,2,40,238,6.95,3.5,0.5,2.8,NA,4.272422633597197
1,5,15-4745-54662,Priam,2010-05-04,2010,2.5,25,7,49.34673,-93.35655,9.4,3.5,0.3,41.6,28.4,2.5,9.9,0.6,0.9,1,10,2,389,6.69,8.2,1.4,1.8,155,2.818107897782342
1,5,15-6076-54043,Rawn Re.,2010-05-08,2010,3.6,16,4.2,48.78507,-91.53701,26.7,9.9,0.7,41.6,61,7.2,9.3,0.3,1.3,1.1,28,4,448,7.43,11.8,2,1.5,232,2.4651410297140894
1,5,15-4593-54629,Rowan,2010-05-04,2010,3,39.7,10.3,49.31937,-93.55764,19.2,6.8,0.5,16.2,48.6,5.2,7.2,0.7,1.2,1.1,6,2,304,6.95,7.2,0.8,2.5,NA,2.876115686080277
1,5,15-5026-55337,Rugby,2010-05-11,2010,1.1,7.6,3.4,49.95675,-92.95825,9.7,3.5,3.5,21.2,37.6,2.8,4.2,0.6,1,2.5,6,50,187,7.09,4,1.2,2.4,NA,3.70778988804069
1,5,15-6508-53496,Saganagons,2010-05-08,2010,4.6,31.3,6.9,48.29466,-90.97617,17.2,5.9,0,20,45.2,4.8,7.2,0.5,1.6,1.1,20,20,297,7.25,7.6,1.6,0.1,NA,2.789541482594213
1,5,15-5586-54227,Sandbeach,2010-05-08,2010,2.8,54.9,20.7,48.95915,-92.20128,8.8,3.8,0.5,50.2,30,2.5,7.2,0.4,0.8,1.4,2,168,249,6.92,4.6,3.3,2.7,62,3.5655131157488484
1,5,15-5955-54404,Sandford,2010-05-11,2010,7,114.7,36.8,49.10844,-91.68457,7.4,2.7,0.2,10.6,23,2.4,1.8,0.4,0.5,0.9,2,50,127,6.96,3.9,0.5,2.8,NA,3.4949101100587985
1,5,15-6052-53411,Sarah,2010-05-04,2010,4.8,50.9,16.8,48.20644,-91.58065,4.5,1.8,0.3,8,17.6,NA,3.6,0.4,0.7,0.8,4,2,207,6.46,4.2,0.8,2.6,NA,3.6563463870892887
1,5,15-6135-54228,Sawbill B.,2010-05-07,2010,2.4,30.5,6.3,48.96026,-91.44366,15.4,5.9,1.1,66,41.2,4.2,10.6,0.4,1.4,1.3,12,76,433,7.11,10.9,2.6,1.8,252,2.5317905736290527
1,5,15-4562-54445,Schistose,2010-05-04,2010,3.8,53,16.6,49.15469,-93.60163,56,19.6,0.5,14.4,122,14.6,6.1,0.6,3.2,1.1,8,2,318,7.55,5.5,2.2,4.6,NA,3.344832553818218
1,5,15-6345-54482,Scotch,2010-05-11,2010,2.8,27.8,9.2,49.15786,-91.17121,5.4,2.7,0.2,48.2,20,1.6,7.4,0.3,0.6,0.7,6,44,257,6.66,5.3,1.9,2.3,79,3.290719021452916
1,5,15-6253-53286,Sheridan,2010-05-04,2010,4.7,29.7,11.9,48.10453,-91.32542,38.8,15.2,0.3,10.6,85,10.2,5,0.3,1,0.7,24,2,308,7.35,7.3,1,3.5,NA,2.8630935133006665
1,5,15-4351-55357,Shrub,2010-05-07,2010,5,26,9,49.97099,-93.89782,6,2.2,0.2,23.4,20.2,1.7,5.9,0.5,0.7,0.6,10,24,257,6.82,4.7,0.6,2.3,NA,3.537810021494786
1,5,15-4153-55253,Silver,2010-05-07,2010,10,91.5,39,49.87618,-94.17702,11.5,3.8,0.6,14.4,34.4,3.5,3.6,0.7,1.2,1.1,2,116,169,7.01,3.2,0.4,3.2,NA,4.29717204540823
1,5,15-3795-55615,Snook,2010-05-07,2010,2.5,37.2,14.2,50.1919,-94.70272,9.3,3.1,2.1,42.2,28,2.6,9.7,0.6,1.2,1,12,56,326,6.89,11.4,1.4,3.6,164,2.369525705801442
1,5,15-3523-55336,South Scot,2010-05-07,2010,1.9,10,3.5,49.93666,-95.05632,13.1,3.9,0.3,75.8,35.8,3.5,12.4,0.7,1.6,1.2,36,62,488,7.03,17,1.7,1.7,350,2.1804681985585845
1,5,15-5503-54708,Stormy,2010-05-07,2010,6,36.6,12.6,49.39447,-92.34669,33.1,12.3,0.4,15.6,73.6,9.1,4.9,0.6,1.1,1,4,2,236,7.56,5.6,1.3,3,NA,3.139535558392687
1,5,15-4785-54790,Tadpole,2010-05-04,2010,3.2,36,9.6,49.47038,-93.29066,6.2,2.2,0.2,18.2,20,1.8,6.3,0.4,0.7,0.9,4,2,266,6.6,5.5,0.6,2,NA,3.2412238461700107
1,5,15-6332-53357,This Man,2010-05-04,2010,4.8,39.3,11.7,48.16447,-91.2036,37.9,14.9,0.3,12.2,84.4,10.1,4.9,0.3,1.1,0.7,18,2,285,7.28,7,1.1,3.6,NA,2.8839625725886844
1,5,15-5527-53591,Thompson,2010-05-06,2010,3.8,37,10.4,48.38777,-92.27777,12.2,3.5,0.3,19.4,33.8,3.4,5.1,0.8,1.5,1.1,14,2,347,7.26,8.9,0.3,2.8,NA,2.662273571488743
1,5,15-5241-55137,Thunder,2010-05-06,2010,4.5,23.5,11.1,49.77882,-92.66332,44.8,13.9,4.2,27.6,107,12,6.4,1,3.1,3.3,8,22,274,7.7,8.7,1.4,3.3,NA,2.581210971281728
1,5,15-5770-54220,Turtle,2010-05-08,2010,4.1,18.3,6.3,48.95315,-91.94003,4.6,2,0,26.6,17.8,1.5,5.8,0.4,0.6,0.8,12,64,211,6.73,4.8,1.8,0.1,76,3.3678664666012397
1,5,15-6493-54089,Union,2010-05-07,2010,2.2,14,3.8,48.82795,-90.97053,9.7,3.7,0.3,58.6,27.6,2.5,10.4,0.4,1,0.8,22,4,469,7.03,12.7,2.6,2,195,2.412609627961275
1,5,15-4356-54806,Unnamed (NL_Kenora),2010-05-08,2010,2.5,14.5,5.5,49.47489,-93.8864,14.7,5.6,0.3,64,39,3.9,12.4,0.8,1.3,1.2,14,18,520,7.07,12.9,1.4,2,238,2.4382629943885004
1,5,15-5149-54725,Upper Manitou,2010-05-04,2010,4.9,56,17.2,49.40161,-92.77724,35.1,12.2,0.8,8.4,80,9.4,4.3,0.7,1.7,1.2,2,2,226,7.26,7.1,1.1,3.1,NA,2.746076431425811
1,5,15-4943-54343,Vista,2010-05-04,2010,3.8,68.9,13.1,49.06245,-93.08016,24.5,10,0.6,14.4,60,6.5,5.9,0.5,1,0.8,10,10,316,7.07,6.4,0.9,3.2,NA,3.075142603343704
1,5,15-5472-54633,Wapageisi,2010-05-07,2010,4.2,46,11,49.32443,-92.35219,17,7.4,0.3,15.6,41.6,4.1,5.1,0.5,0.7,0.7,12,2,258,7.41,6.2,0.8,2.4,NA,3.0172221416673213
1,5,15-4579-53993,Wasaw,2010-05-04,2010,1.5,10.7,4.6,48.7446,-93.57514,30,9.2,1.6,113,74.6,7.4,19.2,1,4.1,1.2,30,24,729,6.96,26.3,2.3,2.4,172,2.013772643790309
1,5,15-4512-54200,West Jackfish,2010-05-04,2010,2,18.3,5.3,48.93632,-93.66605,11.6,3.7,0.4,33.6,33.8,3.3,10,0.7,1.3,1.1,24,4,535,6.66,17.9,0.4,2.3,126,2.1735797923413536
1,5,15-5816-54402,White Otter,2010-05-06,2010,6.5,56.4,22.1,49.09057,-91.86311,8.7,3,0.3,13.1,25.3,2.7,3.1,0.4,0.7,1,6,24,182,7.035,5.2,1.6,2.5,NA,3.120785933460371
1,5,15-3532-55170,Whitefish,2010-05-07,2010,3,20.1,7,49.78718,-95.03457,9.3,3,0.2,22.4,26.2,2.7,6.8,0.5,1,0.8,12,44,309,6.9,5.7,0.7,1.9,134,3.261733950103076
1,5,15-5275-54864,Whitewater,2010-05-06,2010,4,17,10,49.53029,-92.62148,52.9,18.5,0.3,6.6,105,13.9,3.4,0.4,1.6,0.9,14,2,314,7.84,8.4,0.6,1.8,NA,2.686697965053182
1,5,15-4417-55173,Windermere,2010-05-08,2010,5,49.1,11.6,49.80534,-93.80573,8.9,3.2,0,13.6,41.6,2.7,4.3,0.6,1,3.2,10,22,220,7.01,4.7,0.8,0.1,NA,3.4387525505326924
1,5,15-4495-55118,Winnange,2010-05-08,2010,6.9,115.2,27.2,49.75528,-93.70447,8.8,3.1,2.1,6.4,34,2.8,3.3,0.6,1,1.9,3,39,178,6.98,4.5,0.6,3.1,NA,3.3959069389686047
1,5,15-5813-53685,Your,2010-05-04,2010,3.2,20.8,5.1,48.47117,-91.88797,5.4,2.1,0.2,43.4,21.6,1.5,9.2,0.6,0.9,0.9,20,2,397,6.44,9.6,0.9,2.2,159,2.633739695631233
1,6,15-6910-53378,Addie,2008-05-21,2008,1.9,3.7,2.1,48.16665,-90.42954,23.3,8.32,1.74,51.4,60.6,5.86,7.6,0.415,2.18,1.16,26,14,447,7.45,11.7,3,2.75,NA,2.472664576700079
1,6,15-7025-53379,Arrow,2008-05-18,2008,7,54.9,17.8,48.15855,-90.26498,21.6,NA,0.59,6.2,62.8,5.52,2.9,NA,NA,NA,10,44,171,7.12,5.5,3.72,5.5,NA,2.9848780372458337
1,6,16-3431-54406,Arrowroot,2008-05-22,2008,1.5,13.7,3.3,49.10807,-89.15595,19.6,6.54,1.53,100,54.4,4.66,16,0.49,2.51,1.43,18,76,505,7.14,8.2,2.84,2.1,NA,2.941401161595924
1,6,15-7050-54058,Athelstane,2008-05-18,2008,4.5,32.9,9.4,48.77457,-90.20796,19.4,NA,0.51,21.6,51.8,5.18,6.6,NA,NA,NA,8,42,289,7.05,7.9,3.26,2.75,NA,2.725141599529896
1,6,16-2858-55459,Barbara,2008-05-23,2008,1.9,15,5,50.02724,-89.98958,9.93,3.52,0.16,69.8,27.6,2.46,8.1,0.775,0.87,0.72,24,80,366,6.81,12.5,2.72,1.1,447,2.3297604068524373
1,6,15-7091-53688,Batwing,2008-05-21,2008,2.5,14.9,6.6,48.44209,-90.17355,12.4,4.06,0.37,47.6,36.6,3.06,9.8,0.38,1.67,1.01,16,56,470,7,9,1.58,2.8,NA,2.786313784351849
1,6,16-4566-55070,Beatty,2008-05-23,2008,3.9,27.5,6.1,49.71792,-87.60467,97.4,29.5,0.1,7,189,23.3,3.1,0.325,5.17,0.6,30,40,310,7.96,11.1,1.46,1.25,212,2.374627305673458
1,6,15-6578-54141,Bedivere,2008-05-18,2008,1.5,12.5,5.2,48.86818,-90.84937,10.7,NA,0.3,75.4,33.8,2.4,11.5,NA,NA,NA,20,96,463,6.78,14.8,3.22,2.35,NA,2.2721667076801637
1,6,16-3706-53956,Bisect,2008-06-02,2008,2.6,13.1,5.9,48.70281,-88.75896,8.33,1.28,0.19,44,27.2,2.42,7.3,2.54,0.655,0.21,16,72,303,6.73,7.1,1.98,2.2,108,2.894543186800302
1,6,16-3634-54687,Black Sturgeon,2008-05-22,2008,2.3,52.4,18.5,49.35824,-88.87211,36.6,15.6,12,56.2,125,8.9,10.7,0.88,3.54,8.92,8,158,361,7.48,5.5,3.56,3.65,84,3.418428785422987
1,6,15-7020-53669,Blunder,2008-05-21,2008,1,6.7,2.6,48.42444,-90.26943,9.61,4.04,0.4,114,31.8,2.46,15,0.285,1.34,0.875,24,74,675,6.79,21,2.72,1.65,116,2.1365291797608172
1,6,15-6869-55111,Brightsand,2008-05-23,2008,1.5,15.3,4.1,49.72309,-90.40666,13.1,4.28,0.25,75.4,34.8,3.3,8.1,0.56,1.29,0.975,24,68,353,7.02,10.8,3.12,1.45,193,2.4559790236907215
1,6,16-3411-55531,Bukemiga,2008-05-29,2008,2,44.5,11.3,50.11444,-89.2204,6.84,2.78,0.26,94.4,23.6,1.84,11.3,0.515,0.94,0.855,14,74,338,6.23,8.8,2.92,1.25,69,2.663863273327747
1,6,15-6747-53842,Burchell,2008-05-18,2008,7,74.7,24.3,48.58834,-90.62706,23.8,NA,3.91,13.2,97.8,6.42,4.8,NA,NA,NA,8,124,216,7.1,3.1,2.72,12.8,495,4.621706160709226
1,6,16-3534-54692,Circle,2008-05-22,2008,2.1,15,5.2,49.35977,-89.01858,30.3,8.68,0.84,63.6,70.4,7.68,11.5,0.49,2.6,2.43,20,88,458,7.35,13.2,4.66,2.2,182,2.36771491429803
1,6,16-3700-54335,Cliff,2008-08-15,2008,6,12,5.4,49.04188,-88.77821,NA,6.96,0.17,9.6,50.6,NA,4.8,0.17,1.84,0.505,6,6,268,NA,2.2,0.52,1.45,NA,6.713049348695348
1,6,15-6758-53944,Crayfish,2008-05-18,2008,1.8,17.5,3.6,48.68673,-90.6148,8.16,NA,1.55,47.4,32,2.24,7.6,NA,NA,NA,12,84,327,6.69,8.6,2.18,2.2,233,2.6765609508438386
1,6,16-3297-55263,Crevasse,2008-05-29,2008,4.2,73,23.3,49.86587,-89.37235,35.4,10.3,0.26,30.8,81.8,9,5.5,0.625,3.09,2.41,8,86,266,7.07,6.9,3.36,3.15,165,2.869542656270364
1,6,16-3557-55322,Cry,2008-05-29,2008,6,47.6,22.2,49.92643,-89.01587,27.9,9.16,0.51,16.4,69,7.32,2.6,0.5,2.14,1.37,8,30,187,6.89,21.4,1.64,3.7,48,1.7051997941007495
1,6,16-3103-54530,"des Iles, La.",2008-05-22,2008,2,30,5.3,49.20226,-89.61011,22.2,5.96,1.43,51,59.6,5.68,9.9,0.245,3.02,0.715,18,54,396,7.19,12.2,1.88,3.7,129,2.3835146886993375
1,6,15-6827-54135,"des Mille Lacs, La.",2008-05-18,2008,2,24.4,6.8,48.87653,-90.51282,16.8,NA,2.16,102,51.8,3.92,16.1,NA,NA,NA,10,80,540,6.88,24,2.28,1.7,287,1.9771638793905584
1,6,16-3132-54041,Dog,2008-05-22,2008,2.1,117,29.6,48.77812,-89.51281,23.9,7.92,0.62,69.4,51.2,5.96,11.5,0.635,2.04,4.14,8,190,397,7.27,4.1,3.48,2.45,181,4.169920330602655
1,6,16-4433-55531,Elbow,2008-05-23,2008,1.5,38.4,8.8,50.1298,-87.7934,50.6,15.6,0.64,96.2,105,11.8,11.9,0.575,3.29,0.52,18,68,404,7.48,10.4,1.68,1.05,213,2.552405173865945
1,6,15-6979-55108,Empire,2008-05-23,2008,2,23.5,6,49.71999,-90.24726,11.3,3.64,0.38,48.2,31.2,3.02,6,0.56,1.08,0.96,24,64,342,6.95,10.8,1.92,1.55,225,2.442730236036542
1,6,16-4359-55570,Frank,2008-05-23,2008,1.6,4.6,2.9,50.16218,-87.90603,39.8,11,0.27,71.2,85,9.66,13.1,0.355,2.58,0.535,28,28,482,7.41,12.5,1.44,1.15,NA,2.4383941785685863
1,6,16-3884-54562,Frazer,2008-05-22,2008,2.5,12.2,5.3,49.24882,-88.52882,38.1,9.34,1.06,25.8,72.4,7.82,6.4,0.245,2.6,1.71,26,34,348,NA,11.4,3.2,2.7,189,2.396256432875308
1,6,16-3319-54724,Gennis,2008-05-22,2008,2.6,7.1,3.3,49.38988,-89.32933,29.3,8.1,0.46,25.4,65.6,7.4,8,0.4,2.77,0.94,20,112,437,7.36,8.1,1.04,1.4,328,2.889626590362579
1,6,15-6959-55251,Grassy,2008-05-23,2008,2,16.8,4.8,49.84691,-90.27474,10.4,3.62,0.25,72.4,29.6,2.62,9.6,0.525,1.11,0.905,18,72,355,6.95,9.8,2.62,1.4,176,2.5615312577740923
1,6,15-6904-53837,Greenwater,2008-05-29,2008,4.4,54.9,18.1,48.57454,-90.42999,26.3,9.78,0.28,21.4,66,6.82,4.2,0.535,1.81,0.88,8,4,240,6.91,8.2,2.1,3.6,441,2.5899781311325225
1,6,15-7088-54764,Grew,2008-05-21,2008,2,14,4,49.40645,-90.12211,10.6,3.42,0.25,42.4,27.8,2.66,8,0.355,1.13,0.795,16,36,366,7.05,9.1,1.7,1.65,322,2.6599212566754917
1,6,15-6985-55358,Harmon,2008-05-23,2008,2.2,47,12.8,49.94546,-90.21669,10.6,3.62,0.25,58.4,30.2,2.72,8.9,0.525,1.12,0.905,12,80,316,6.91,8.3,2.24,1.5,303,2.7046202739116816
1,6,16-3199-53954,Hawkeye,2008-05-22,2008,2.5,33.6,11.7,48.68599,-89.45228,16.1,5.08,1.18,46.6,46.2,4.48,8.6,0.525,2,1.24,18,94,359,6.98,6,3.48,2.85,181,3.2536843644696636
1,6,16-3069-55034,Holinshead,2008-05-22,2008,1.8,16.8,5.3,49.65403,-89.68153,11,4.08,0.26,109,31.4,2.76,12.5,0.58,1.27,0.775,18,68,418,6.85,14.3,3.04,1.65,439,2.262918719691135
1,6,15-7111-54802,Holly,2008-05-21,2008,2,10,2.9,49.43642,-90.08177,10.6,3.42,0.25,42.4,27.8,2.66,8,0.355,1.13,0.795,16,36,366,7.05,9.1,1.7,1.65,322,2.6599212566754917
1,6,15-6979-53586,Jacob,2008-05-21,2008,1.9,11,3.5,48.35246,-90.32642,15.4,5.54,0.55,52,42.6,4.18,9,0.37,1.57,1.08,26,60,460,7.13,15.8,3.46,1.95,884,2.21646296579159
1,6,16-3207-54488,Jolly,2008-05-22,2008,1.7,5,2.1,49.16785,-89.45932,24.8,8.28,0.27,60.2,57,6.4,10,0.4,1.9,0.865,30,50,455,7.24,12.2,3.6,1.9,189,2.438842434637203
1,6,15-6913-53983,Kashabowie,2008-05-29,2008,1.6,35,7.4,48.71886,-90.39423,12.7,4.5,0.29,67.4,38,3.12,10.4,0.59,1.57,0.945,14,54,424,6.58,9.5,2.62,2.45,277,2.674890787882687
1,6,15-7008-55644,Kawaweogama,2008-05-23,2008,2.5,15.5,3.2,50.19687,-90.18618,8.51,3.04,0.21,57.4,25.2,1.92,8.6,0.5,0.885,0.75,24,42,323,6.93,7.8,1.36,1.45,307,2.7955227536751215
1,6,15-7163-54881,Kearns,2008-05-21,2008,1.8,15.3,5.4,49.50753,-90.01676,17.5,5.92,0.28,62.8,44.4,4.7,8.9,0.7,1.59,0.935,18,66,389,7.1,15.3,2.92,2.4,197,2.181066136664429
1,6,15-7067-53777,Kekekuab,2008-05-21,2008,1.5,3,1.2,48.51593,-90.20803,15.8,5.84,0.3,79.2,42,3.8,12.3,0.425,1.52,0.91,24,24,579,7.14,14.6,2.88,2.6,368,2.3667545085581887
1,6,15-7307-50900,Lac du Milieu,2008-05-21,2008,1.8,5.3,1.6,48.92549,-90.00708,23.2,7.92,0.41,103,54,5.52,13.7,0.48,2.11,0.985,32,56,570,7.36,16.2,3.74,0.95,94,2.2735350790517734
1,6,15-6767-55061,Little Metionga,2008-05-23,2008,1.6,20.6,3.5,49.68166,-90.53998,11.9,4.06,0.24,99.6,33.2,3.08,10.8,0.585,1.25,0.95,22,92,396,6.91,12.7,3.4,1.35,179,2.3462621486604625
1,6,15-7085-54809,Loganberry,2008-05-21,2008,1.5,9,2.9,49.44536,-90.13101,17.7,5.32,0.21,69.8,42.2,5,9,0.64,1.59,0.96,22,46,378,6.99,15.1,3.4,1.5,244,2.1810049177869613
