BsM_Cycle,FMZ,waterbodyID,lakeName,dateSample,yearSample,secchiDepth,maxDepth,meanDepth,lat,long,alk,Ca,CLIDUR (mg/L),COLTR (TCU),cond,DIC,DOC,KKUT (mg/L),MGUT (mg/L),Na,NNHTUR (mg/L),NNOTUR (ug/L),TKN,pH,TDP,SIO3UR (mg/L),SSO4UR (mg/L),FEUT,NtoPratio
1,10,17-4620-52125,Onaping,2010-04-29,2010,3.7,52,8.1,47.13886,-81.52075,4.74,2.92,3.12,25.2,34.8,1.7,6,0.265,0.87,2.51,2,66,229,6.66,4.1,1.92,4.45,70,3.786647053673642
1,10,17-4728-52266,Oshawong,2010-04-23,2010,3.5,25.9,12.2,47.19487,-81.36096,38.5,13.3,0.27,26.2,88.6,10.3,4.7,0.425,2.62,1.01,12,62,266,7.55,6.4,2.76,4.6,54,2.9831529458025687
1,10,17-4743-51217,"Panache,",2010-04-29,2010,5.2,58.5,14.8,46.23782,-81.35711,10.2,5.52,6.3,8.8,66.6,3.04,3.3,0.64,1.76,4.39,4,50,202,7.08,4.4,1.24,9.4,NA,3.5295807488284687
1,10,17-3091-51898,Penelope,2010-04-27,2010,4.5,36.6,11.6,46.83672,-83.50296,26.8,8.4,0.31,4.4,63.4,7.26,2.6,0.375,2.37,1.14,12,8,303,7.44,9.4,2.8,5,NA,2.53812623827824
1,10,17-4364-52017,Pogamasing,2010-04-29,2010,3.5,34,8.8,46.96784,-81.83568,6,3,0.01,5.8,27,1.88,3.2,0.25,0.82,0.965,2,6,172,6.9,4.9,1.56,0.05,NA,3.198679280166569
1,10,17-2857-52221,Point,2009-05-12,2009,2.9,28.7,5.7,47.11663,-83.82459,11.3,3.16,0.17,61.8,24.4,1.56,8.6,0.2,0.765,0.675,20,96,347,6.57,7.2,2.12,3.2,133,2.9426472192766364
1,10,17-3813-51443,Popeye,2011-05-24,2011,4,15.2,7.1,46.44422,-82.54487,6.1,2.9,1.1,19,28.8,1.5,4.6,0.2,0.5,0.9,32,10,210,6.9,4.4,1,3.4,50,3.555391244700945
1,10,16-6806-52259,Queminico,2009-05-11,2009,6,7.3,4.3,47.16395,-84.61718,20.9,6.84,0.21,9.2,52,5.36,4.1,0.46,1.61,1.03,78,66,335,7.4,6.7,1.08,3.15,NA,3.0332100825523756
1,10,17-2800-52265,Quinn,2009-05-11,2009,2.3,19.8,4.9,47.16053,-83.89663,4.09,2.6,0.22,50.2,22.4,1.64,8.3,0.2,0.565,0.67,40,72,372,6.25,6.3,2.06,3.5,169,3.1886920451746588
1,10,16-7098-52235,Quintets,2009-05-11,2009,8,19.4,4.9,47.12774,-84.22743,3.76,2.44,0.21,11.4,19.8,1.48,3.4,0.27,0.365,0.505,12,150,184,6.38,3,1,3.25,53,4.609748413289979
1,10,17-3810-51468,Quirke,2009-05-15,2009,8.5,104.9,32.9,46.48519,-82.55613,4.06,19.3,3.29,5,142,1.5,2.1,1.89,1.47,2.44,8,760,170,6.54,3,1.04,48.4,NA,4.539841712538839
