BsM_lakeName,latBsM,longBsM,bsmWaterbodyID,ARU_lakeName,latARU_conv,longARU_conv,ARU_LID,Notes,commonID
Bee,50.69288,-95.06074,15-3553-56171,Bee,50.68972222,-95.04888889,15-3553-56171,NA,Bee_1
Bell,49.80966,-90.93897,15-6500-55194,Bell,49.81055556,-90.915,15-6500-55194,NA,Bell_1
Bella,45.44431,-79.03118,17-6539-50341,Bella,45.44555556,-79.03194444,17-6539-50341,NA,Bella_1
Belmont,44.49514,-77.82654,18-2756-49309,Belmont,44.49833333,-77.82305556,18-2756-49309,NA,Belmont_1
Belwood,43.7585,-80.33953,17-5535-48461,Belwood,43.76805556,-80.33583333,17-5535-48461,NA,Belwood_1
Bending,49.32637,-92.15291,15-5627-54632,Bending,49.32027778,-92.1375,15-5627-54632,NA,Bending_1
Benson,45.41326,-79.06773,17-6512-50304,Benson,45.41277778,-79.06833333,17-6511-50304,NA,Benson_1
Berens,51.75814,-93.71456,15-4525-57350,Berens,51.76611111,-93.68777778,15-4525-57350,NA,Berens_1
Bernard,45.73885,-79.38526,17-6257-50660,Bernard,45.73805556,-79.38416667,17-6257-50660,NA,Bernard_1
Berry,49.47183,-93.96128,15-4302-54803,Berry,49.47361111,-93.96361111,15-4302-54803,NA,Berry_1
Bethune,48.95168,-91.57173,15-6049-54231,Bethune,48.95388889,-91.56666667,15-6049-54231,NA,Bethune_1
Big Bald,44.57664,-78.3863,17-7074-49389,Big Bald,44.57555556,-78.3875,17-7074-49389,NA,Big Bald_1
Big Canon,50.06847,-93.75888,15-4455-55462,Big Canon,50.06777778,-93.76111111,15-4455-55462,NA,Big Canon_1
Big Caribou,45.93283,-80.07311,17-5718-50868,Big Caribou,45.93277778,-80.07333333,17-5718-50868,NA,Big Caribou_1
Big Clear,44.72582,-76.90691,18-3490-49540,Big Clear,44.72583333,-76.90722222,18-3490-49541,NA,Big Clear_1
Big Deer,45.7668,-79.7507,17-5971-50688,Big Deer,45.7675,-79.75083333,17-5971-50688,NA,Big Deer_1
Big Gull,44.82693,-76.96878,18-3453-49652,Big Gull,44.82583333,-76.95666667,18-3453-49652,NA,Big Gull_1
