lakeName,latARU,latBsM,longARU,longBsM,latD_aru,latM1_aru,latM2_aru,latD_BsM,latM1_BsM,latM2_BsM,longD_aru,longM1_aru,longM2_aru,longD_BsM,longM1_BsM,longM2_BsM,ARU_LID,bsmWaterbodyID
Ingall,465446,46.91053,794632,-79.77762,46,5,4,46,9,1,79,4,6,79,7,7,17-5932-51960,17-5932-51960
Ingall,493547,46.91053,925232,-79.77762,49,3,5,46,9,1,92,5,2,79,7,7,15-5090-54935,17-5932-51960
Innes,484938,48.82849,884212,-88.70686,48,4,9,48,8,2,88,4,2,88,7,0,16-3750-54094,16-3750-54094
Irene,455912,49.1255,773240,-91.60496,45,5,9,49,1,2,77,3,2,91,6,0,18-3029-50955,15-6015-54420
Irene,473051,49.1255,814342,-91.60496,47,3,0,49,1,2,81,4,3,91,6,0,17-4452-52623,15-6015-54420
Irene,471958,49.1255,842038,-91.60496,47,1,9,49,1,2,84,2,0,91,6,0,16-7007-52453,15-6015-54420
Irene,490728,49.1255,913630,-91.60496,49,0,7,49,1,2,91,3,6,91,6,0,15-6015-54420,15-6015-54420
Irene,491858,49.1255,840342,-91.60496,49,1,8,49,1,2,84,0,3,91,6,0,16-7135-54665,15-6015-54420
Iron,465729,46.50559,802116,-83.93295,46,5,7,46,5,0,80,2,1,83,9,3,17-5491-52005,17-2748-51543
Iron,463025,46.50559,835606,-83.93295,46,3,0,46,5,0,83,5,6,83,9,3,17-2748-51543,17-2748-51543
Iron,481336,46.50559,851613,-83.93295,48,1,3,46,5,0,85,1,6,83,9,3,16-6285-53427,17-2748-51543
Isabella,452420,45.40315,794842,-79.81337,45,2,4,45,4,0,79,4,8,79,8,1,17-5930-50285,17-5930-50285
Island,445204,47.51388,780603,-80.5893,44,5,2,47,5,1,78,0,6,80,5,8,17-7290-49721,17-5310-52621
Island,440245,47.51388,791511,-80.5893,44,0,2,47,5,1,79,1,5,80,5,8,17-6399-48782,17-5310-52621
Island,454601,47.51388,790715,-80.5893,45,4,6,47,5,1,79,0,7,80,5,8,17-6461-50697,17-5310-52621
Island,454112,47.51388,791418,-80.5893,45,4,1,47,5,1,79,1,4,80,5,8,17-6372-50605,17-5310-52621
Island,454756,47.51388,800348,-80.5893,45,4,7,47,5,1,80,0,3,80,5,8,17-5728-50719,17-5310-52621
Island,453954,47.51388,774947,-80.5893,45,3,9,47,5,1,77,4,9,80,5,8,18-2796-50605,17-5310-52621
Island,473048,47.51388,803520,-80.5893,47,3,0,47,5,1,80,3,5,80,5,8,17-5310-52621,17-5310-52621
Island,470229,47.51388,833118,-80.5893,47,0,2,47,5,1,83,3,1,80,5,8,17-3084-52126,17-5310-52621
Island,471551,47.51388,794813,-80.5893,47,1,5,47,5,1,79,4,8,80,5,8,17-5905-52350,17-5310-52621
Island,484030,47.51388,892229,-80.5893,48,4,0,47,5,1,89,2,2,80,5,8,16-3252-53938,17-5310-52621
Island,482258,47.51388,905652,-80.5893,48,2,2,47,5,1,90,5,6,80,5,8,15-6520-53607,17-5310-52621
Island,484742,47.51388,803329,-80.5893,48,4,7,47,5,1,80,3,3,80,5,8,17-5325-54046,17-5310-52621
Island,483324,47.51388,805156,-80.5893,48,3,3,47,5,1,80,5,1,80,5,8,17-5099-53780,17-5310-52621
Island,494728,47.51388,942001,-80.5893,49,4,7,47,5,1,94,2,0,80,5,8,15-4040-55161,17-5310-52621
Island,495004,47.51388,935547,-80.5893,49,5,0,47,5,1,93,5,5,80,5,8,15-4331-55204,17-5310-52621
Ivanhoe,480458,48.08286,823737,-82.62678,48,0,4,48,0,8,82,3,7,82,6,2,17-3788-53266,17-3788-53266
Jack,444138,44.69486,780129,-78.03569,44,4,1,44,6,9,78,0,1,78,0,3,17-7358-49530,17-7358-49530
Jack,482841,44.69486,914814,-78.03569,48,2,8,44,6,9,91,4,8,78,0,3,15-5884-53699,17-7358-49530
Jack,484745,44.69486,812337,-78.03569,48,4,7,44,6,9,81,2,3,78,0,3,17-4711-54046,17-7358-49530
Jack,503153,44.69486,942044,-78.03569,50,3,1,44,6,9,94,2,0,78,0,3,15-4046-55984,17-7358-49530
Jackfish,485626,47.99953,933546,-85.58941,48,5,6,47,9,9,93,3,5,85,5,8,15-4564-54208,16-6052-53171
Jackfish,485626,49.11265,933546,-91.83538,48,5,6,49,1,1,93,3,5,91,8,3,15-4564-54208,15-5849-54406
Jackfish,484955,47.99953,865651,-85.58941,48,4,9,47,9,9,86,5,6,85,5,8,16-5038-54085,16-6052-53171
Jackfish,484955,49.11265,865651,-91.83538,48,4,9,49,1,1,86,5,6,91,8,3,16-5038-54085,15-5849-54406
Jackfish,480002,47.99953,853522,-85.58941,48,0,0,47,9,9,85,3,5,85,5,8,16-6052-53171,16-6052-53171
Jackfish,480002,49.11265,853522,-91.83538,48,0,0,49,1,1,85,3,5,91,8,3,16-6052-53171,15-5849-54406
Jackfish,493718,47.99953,922620,-85.58941,49,3,7,47,9,9,92,2,6,85,5,8,15-5405-54965,16-6052-53171
Jackfish,493718,49.11265,922620,-91.83538,49,3,7,49,1,1,92,2,6,91,8,3,15-5405-54965,15-5849-54406
Jackfish,500356,47.99953,921505,-85.58941,50,0,3,47,9,9,92,1,5,85,5,8,15-5536-55460,16-6052-53171
Jackfish,500356,49.11265,921505,-91.83538,50,0,3,49,1,1,92,1,5,91,8,3,15-5536-55460,15-5849-54406
Jacks,442912,44.48677,795941,-79.9956,44,2,9,44,4,8,79,5,9,79,9,9,17-5799-49262,17-5799-49262
Jacks,442912,45.6908,795941,-77.48759,44,2,9,45,6,9,79,5,9,77,4,8,17-5799-49262,18-3066-50616
Jacks,453926,44.48677,792013,-79.9956,45,3,9,44,4,8,79,2,0,79,9,9,17-6296-50571,17-5799-49262
Jacks,453926,45.6908,792013,-77.48759,45,3,9,45,6,9,79,2,0,77,4,8,17-6296-50571,18-3066-50616
Jacob,482107,48.35246,901944,-90.32642,48,2,1,48,3,5,90,1,9,90,3,2,15-6979-53586,15-6979-53586
James,445727,49.15209,765510,-93.06429,44,5,7,49,1,5,76,5,5,93,0,6,18-3486-49798,15-4953-54441
James,452126,49.15209,774336,-93.06429,45,2,1,49,1,5,77,4,3,93,0,6,18-2864-50260,15-4953-54441
James,475238,49.15209,804108,-93.06429,47,5,2,49,1,5,80,4,1,93,0,6,17-5235-53025,15-4953-54441
James,471043,49.15209,794413,-93.06429,47,1,0,49,1,5,79,4,4,93,0,6,17-5957-52256,15-4953-54441
James,490906,49.15209,930353,-93.06429,49,0,9,49,1,5,93,0,3,93,0,6,15-4953-54441,15-4953-54441
Jean,451419,48.53435,784544,-91.7363,45,1,4,48,5,3,78,4,5,91,7,3,17-6756-50117,15-5958-53772
Jean,472239,48.53435,810804,-91.7363,47,2,2,48,5,3,81,0,8,91,7,3,17-4898-52469,15-5958-53772
Jean,492311,48.53435,875343,-91.7363,49,2,3,48,5,3,87,5,3,91,7,3,16-4350-54706,15-5958-53772
Jean,NA,48.53435,NA,-91.7363,NA,NA,NA,48,5,3,NA,NA,NA,91,7,3,15-5931-53761,15-5958-53772
Jeanette,510523,51.0898,920810,-92.13638,51,0,5,51,0,8,92,0,8,92,1,3,15-5605-56599,15-5605-56599
Joe,453517,46.73708,784259,-81.01196,45,3,5,46,7,3,78,4,2,81,0,1,17-6781-50506,17-4991-51755
Joe,464405,46.73708,810041,-81.01196,46,4,4,46,7,3,81,0,0,81,0,1,17-4991-51755,17-4991-51755
Joe,490514,46.73708,793302,-81.01196,49,0,5,46,7,3,79,3,3,81,0,1,17-6058-54379,17-4991-51755
Joe,500629,46.73708,942311,-81.01196,50,0,6,46,7,3,94,2,3,81,0,1,15-4009-55514,17-4991-51755
Jolly,491004,49.16785,892733,-89.45932,49,1,0,49,1,6,89,2,7,89,4,5,16-3207-54488,16-3207-54488
Joseph,451035,45.17434,794349,-79.7239,45,1,0,45,1,7,79,4,3,79,7,2,17-5998-50031,17-5998-50031
Joseph,485206,45.17434,851951,-79.7239,48,5,2,45,1,7,85,1,9,79,7,2,16-6224-54139,17-5998-50031
Joseph,490723,45.17434,902036,-79.7239,49,0,7,45,1,7,90,2,0,79,7,2,15-6938-54443,17-5998-50031
Jowsey,482229,48.3748,814326,-81.72373,48,2,2,48,3,7,81,4,3,81,7,2,17-4464-53580,17-4464-53580
Joyce,481357,51.1321,795951,-93.01422,48,1,3,51,1,3,79,5,9,93,0,1,17-5744-53424,15-4977-56626
Joyce,494512,51.1321,940817,-93.01422,49,4,5,51,1,3,94,0,8,93,0,1,15-4180-55116,15-4977-56626
Jubilee,475848,51.01066,844453,-92.39986,47,5,8,51,0,1,84,4,4,92,3,9,16-6681-53163,15-5433-56498
Jumping Cariboo,465257,46.88285,794633,-79.78186,46,5,2,46,8,8,79,4,6,79,7,8,17-5933-51926,17-5933-51926
Kabinakagami,485411,48.90799,842501,-84.40651,48,5,4,48,9,0,84,2,5,84,4,0,16-6893-54197,16-6893-54197
Kabinakagamisis,490139,49.02999,842704,-84.45079,49,0,1,49,0,2,84,2,7,84,4,5,16-6863-54334,16-6863-54334
Kagawong,454945,45.82922,821820,-82.30542,45,4,9,45,8,2,82,1,8,82,3,0,17-3986-50757,17-3986-50757
Kaiashkons,490319,49.05496,932348,-93.39573,49,0,3,49,0,5,93,2,3,93,3,9,15-4710-54335,15-4710-54335
Kakagi,491253,49.24073,935014,-93.83253,49,1,2,49,2,4,93,5,0,93,8,3,15-4390-54514,15-4390-54514
Kalaco,471030,47.17792,812334,-81.39287,47,1,0,47,1,7,81,2,3,81,3,9,17-4702-52245,17-4702-52245
Kamaniskeg,452527,45.41755,774147,-77.68981,45,2,5,45,4,1,77,4,1,77,6,8,18-2891-50334,18-2891-50334
Kamikau,481837,48.30997,901919,-90.3213,48,1,8,48,3,0,90,1,9,90,3,2,15-6986-53540,15-6986-53540
Kapiskong,475831,47.97534,812258,-81.3826,47,5,8,47,9,7,81,2,2,81,3,8,17-4714-53134,17-4714-53134
Kapuskasing,482901,48.4837,825641,-82.94457,48,2,9,48,4,8,82,5,6,82,9,4,17-3563-53716,17-3563-53717
Kashabowie,484237,48.71886,902359,-90.39423,48,4,2,48,7,1,90,2,3,90,3,9,15-6913-53983,15-6913-53983
Kashaweogama,502515,50.42091,904439,-90.74437,50,2,5,50,4,2,90,4,4,90,7,4,15-6603-55876,15-6603-55876
Kashishibog,494826,49.80782,895812,-89.97097,49,4,8,49,8,0,89,5,8,89,9,7,16-2863-55212,16-2863-55212
Kashwakamak,445132,44.8566,770222,-77.0385,44,5,1,44,8,5,77,0,2,77,0,3,18-3389-49691,18-3389-49691
Katagi,475433,47.90867,815833,-81.96916,47,5,4,47,9,0,81,5,8,81,9,6,17-4271-53065,17-4271-53064
Katchewanooka,442733,44.45749,781524,-78.2587,44,2,7,44,4,5,78,1,5,78,2,5,17-7182-49263,17-7182-49263
Katimiagamak,490720,49.12173,934252,-93.7193,49,0,7,49,1,2,93,4,2,93,7,1,15-4479-54411,15-4479-54411
Katzenbach,480349,48.06369,852012,-85.33663,48,0,3,48,0,6,85,2,0,85,3,3,16-6239-53245,16-6239-53245
Kawagama,451748,45.29874,784449,-78.75251,45,1,7,45,2,9,78,4,4,78,7,5,17-6767-50182,17-6767-50182
Kawaweogama,501158,50.19687,901109,-90.18618,50,1,1,50,1,9,90,1,1,90,1,8,15-7008-55644,15-7008-55644
Kawene,484535,48.7611,911240,-91.20623,48,4,5,48,7,6,91,1,2,91,2,0,15-6315-54021,15-6315-54021
Kay,491413,49.23546,912824,-91.47242,49,1,4,49,2,3,91,2,8,91,4,7,15-6111-54547,15-6111-54547
Kearns,465042,49.50753,802707,-90.01676,46,5,0,49,5,0,80,2,7,90,0,1,17-5418-51879,15-7163-54881
Kearns,475002,49.50753,844242,-90.01676,47,5,0,49,5,0,84,4,2,90,0,1,16-6712-53001,15-7163-54881
Kearns,493031,49.50753,900043,-90.01676,49,3,0,49,5,0,90,0,0,90,0,1,15-7163-54881,15-7163-54881
Keg,505932,50.99542,934101,-93.68541,50,5,9,50,9,9,93,4,1,93,6,8,15-4520-56490,15-4520-56490
Kekekuab,NA,48.51593,NA,-90.20803,NA,NA,NA,48,5,1,NA,NA,NA,90,2,0,15-7067-53777,15-7067-53777
Kelly,435655,45.7037,793659,-77.32428,43,5,6,45,7,0,79,3,6,77,3,2,17-6110-48669,18-3191-50636
Kelly,451502,45.7037,783712,-77.32428,45,1,5,45,7,0,78,3,7,77,3,2,17-6868-50133,18-3191-50636
Kelly,454216,45.7037,771928,-77.32428,45,4,2,45,7,0,77,1,9,77,3,2,18-3190-50636,18-3191-50636
Kennebec,444424,44.74021,765756,-76.96521,44,4,4,44,7,4,76,5,7,76,9,6,18-3444-49557,18-3444-49557
Kenogamisis,494128,49.70602,865245,-86.85844,49,4,1,49,7,0,86,5,2,86,8,5,16-5087-55041,16-5087-55041
Kenogamissi,481102,48.24057,813300,-81.52985,48,1,1,48,2,4,81,3,3,81,5,2,17-4591-53367,17-4591-53367
Kesagami,502222,50.32589,801349,-80.24009,50,2,2,50,3,2,80,1,3,80,2,4,17-5547-55801,17-5547-55801
Ketchini,475112,47.85039,815424,-81.90726,47,5,1,47,8,5,81,5,4,81,9,0,17-4322-53002,17-4322-53002
Kilbarry,510649,51.11995,884939,-88.82077,51,0,6,51,1,1,88,4,9,88,8,2,16-3721-56638,16-3721-56638
Kilgour,491435,49.24343,875347,-87.89394,49,1,4,49,2,4,87,5,3,87,8,9,16-4348-54546,16-4348-54546
Kimball,452027,45.34172,784045,-78.67605,45,2,0,45,3,4,78,4,0,78,6,7,17-6818-50232,17-6818-50232
Kirkness,513158,51.5321,935544,-93.92675,51,3,1,51,5,3,93,5,5,93,9,2,15-4356-57093,15-4356-57093
Kirkpatrick,463932,46.65714,830529,-83.09401,46,3,9,46,6,5,83,0,5,83,0,9,17-3400-51692,17-3400-51692
Kittson,472026,47.33973,795729,-79.95931,47,2,0,47,3,3,79,5,7,79,9,5,17-5787-52433,17-5787-52433
Klondyke Lakes,465938,46.59388,820952,-82.09527,46,5,9,46,5,9,82,0,9,82,0,9,NA,17-4157-51611
Klotz,494807,49.80202,855146,-85.86278,49,4,8,49,8,0,85,5,1,85,8,6,16-5818-55170,16-5818-55170
Kokoko,470513,47.08895,800204,-80.03639,47,0,5,47,0,8,80,0,2,80,0,3,17-5733-52151,17-5733-52151
Kukukus,494619,49.7724,914110,-91.68396,49,4,6,49,7,7,91,4,1,91,6,8,15-5946-55139,15-5946-55139
