lakeName,ARU_LID,LATITUDE,LONGITUDE,latD,latM1,latM2,longD,longM1,longM2,lakeName_a,lakeName_b,waterbodyAndLake,waterbodyAndLake_ok,waterbodyAndLake_pieces,waterbodyAndLake_remainder
Little Abitibi,17-5331-54730,492439,803236,49,2,4,80,3,2,Little,Abitibi,Little Abitibi,TRUE,2,
Eighty Acre,17-6402-51487,462845,791027,46,2,8,79,1,0,Eighty,Acre,Eighty Acre,TRUE,2,
Little Addie,15-6920-53364,480915,902508,48,0,9,90,2,5,Little,Addie,Little Addie,TRUE,2,
West Adobe,17-5409-51909,465221,802750,46,5,2,80,2,7,West,Adobe,West Adobe,TRUE,2,
Little Agawa,16-6981-52469,472051,842236,47,2,0,84,2,2,Little,Agawa,Little Agawa,TRUE,2,
East Ahmabel,16-6541-54939,493449,845205,49,3,4,84,5,2,East,Ahmabel,East Ahmabel,TRUE,2,
Lower Aitken,17-4323-54022,484615,815519,48,4,6,81,5,5,Lower,Aitken,Lower Aitken,TRUE,2,
South Allely,15-6885-54938,493410,902332,49,3,4,90,2,3,South,Allely,South Allely,TRUE,2,
St. Amand,17-3726-55078,494240,824603,49,4,2,82,4,6,St.,Amand,St. Amand,TRUE,2,
Little Amesdale,15-5034-55416,500144,925709,50,0,1,92,5,7,Little,Amesdale,Little Amesdale,TRUE,2,
Little Amy,17-5124-51727,464235,805016,46,4,2,80,5,0,Little,Amy,Little Amy,TRUE,2,
West Andre,16-6733-53342,480822,844014,48,0,8,84,4,0,West,Andre,West Andre,TRUE,2,
Lower Andrew,17-4640-50059,451226,812728,45,1,2,81,2,7,Lower,Andrew,Lower Andrew,TRUE,2,
Upper Andrew,17-4658-50062,451237,812607,45,1,2,81,2,6,Upper,Andrew,Upper Andrew,TRUE,2,
St. Andrews,18-2913-50800,455037,774117,45,5,0,77,4,1,St.,Andrews,St. Andrews,TRUE,2,
St. Andrews,18-3675-49403,NA,NA,NA,NA,NA,NA,NA,NA,St.,Andrews,St. Andrews,TRUE,2,
St. Andrews,17-5863-49600,444725,795433,44,4,7,79,5,4,St.,Andrews,St. Andrews,TRUE,2,
Betty Ann,15-4223-55133,494608,940442,49,4,6,94,0,4,Betty,Ann,Betty Ann,TRUE,2,
Little Anstruther,17-7247-49674,444935,780927,44,4,9,78,0,9,Little,Anstruther,Little Anstruther,TRUE,2,
St. Anthony,17-5962-53128,475747,794239,47,5,7,79,4,2,St.,Anthony,St. Anthony,TRUE,2,
St. Anthony,17-7092-50510,453500,781906,45,3,5,78,1,9,St.,"Anthony,","St. Anthony,",TRUE,2,
North Arabi,15-6566-54931,493420,905003,49,3,4,90,5,0,North,Arabi,North Arabi,TRUE,2,
Little Arrowhead,17-6415-50297,452430,791132,45,2,4,79,1,1,Little,Arrowhead,Little Arrowhead,TRUE,2,
Mountain Ash,17-3325-52134,470317,831218,47,0,3,83,1,2,Mountain,Ash,Mountain Ash,TRUE,2,
Little Athelstane,15-7023-54023,484436,901452,48,4,4,90,1,4,Little,Athelstane,Little Athelstane,TRUE,2,
West Aumond,17-6874-51179,461128,783418,46,1,1,78,3,4,West,Aumond,West Aumond,TRUE,2,
Little Aurora,17-5294-52464,472220,803638,47,2,2,80,3,6,Little,Aurora,Little Aurora,TRUE,2,
Little Avery,17-4822-52252,NA,NA,NA,NA,NA,NA,NA,NA,Little,Avery,Little Avery,TRUE,2,
Little Avery,17-6725-50059,451114,784816,45,1,1,78,4,8,Little,Avery,Little Avery,TRUE,2,
Lost Axe,15-4975-54673,492136,930203,49,2,1,93,0,2,Lost,Axe,Lost Axe,TRUE,2,
Lost Axe,15-4965-54658,492048,930252,49,2,0,93,0,2,Lost,Axe,Lost Axe,TRUE,2,
Big Bald,17-7074-49389,443432,782315,44,3,4,78,2,3,Big,Bald,Big Bald,TRUE,2,
Little Bald,17-7050-49386,443426,782505,44,3,4,78,2,5,Little,Bald,Little Bald,TRUE,2,
North Baril,15-6677-54074,484755,904300,48,4,7,90,4,3,North,Baril,North Baril,TRUE,2,
Red Bark,17-3319-52712,473429,831406,47,3,4,83,1,4,Red,Bark,Red Bark,TRUE,2,
Upper Bark,17-3855-52054,465938,823020,46,5,9,82,3,0,Upper,Bark,Upper Bark,TRUE,2,
White Bark,17-3324-52714,473435,831344,47,3,4,83,1,3,White,Bark,White Bark,TRUE,2,
Green Bass,17-5606-50260,452312,801332,45,2,3,80,1,3,Green,Bass,Green Bass,TRUE,2,
Lower Bass,17-5601-52034,465902,801235,46,5,9,80,1,2,Lower,Bass,Lower Bass,TRUE,2,
Lower Bass,18-3128-51017,460244,772512,46,0,2,77,2,5,Lower,Bass,Lower Bass,TRUE,2,
Upper Bass,17-5579-52068,470050,801417,47,0,0,80,1,4,Upper,Bass,Upper Bass,TRUE,2,
Upper Bass,18-3121-51026,460312,772543,46,0,3,77,2,5,Upper,Bass,Upper Bass,TRUE,2,
Little Basswood,17-3145-51305,461818,832432,46,1,8,83,2,4,Little,Basswood,Little Basswood,TRUE,2,
Devils Bay,17-4493-50891,455720,813914,45,5,7,81,3,9,Devils,Bay,Devils Bay,TRUE,2,
Farm Bay,17-7094-50386,452818,781916,45,2,8,78,1,9,Farm,Bay,Farm Bay,TRUE,2,
South Bayfield,16-6497-54325,490145,845709,49,0,1,84,5,7,South,Bayfield,South Bayfield,TRUE,2,
Lake of Bays,15-6207-55385,495920,911859,49,5,9,91,1,8,of,"Bays,","of Bays,",TRUE,2,
Lake of Bays,17-6567-50131,451521,790009,45,1,5,79,0,0,of,"Bays,","of Bays,",TRUE,2,
Brown Bear,15-4072-55665,501443,941808,50,1,4,94,1,8,Brown,Bear,Brown Bear,TRUE,2,
Little Bear,15-5035-56548,510247,925700,51,0,2,92,5,7,Little,Bear,Little Bear,TRUE,2,
Little Bear,17-4603-51135,461032,813051,46,1,0,81,3,0,Little,Bear,Little Bear,TRUE,2,
Little Bear,17-6492-50410,453032,790525,45,3,0,79,0,5,Little,Bear,Little Bear,TRUE,2,
Thieving Bear,17-5890-52256,471046,794934,47,1,0,79,4,9,Thieving,Bear,Thieving Bear,TRUE,2,
White Bear,17-3393-51732,464142,830605,46,4,1,83,0,6,White,Bear,White Bear,TRUE,2,
Black Beaver,16-6882-52534,472431,843021,47,2,4,84,3,0,Black,Beaver,Black Beaver,TRUE,2,
Little Beaver,17-4805-52160,470557,811523,47,0,5,81,1,5,Little,Beaver,Little Beaver,TRUE,2,
Little Beaver,17-6385-50881,455603,791251,45,5,6,79,1,2,Little,Beaver,Little Beaver,TRUE,2,
Little Beaver,18-2746-50441,453058,775309,45,3,0,77,5,3,Little,Beaver,Little Beaver,TRUE,2,
South Beaver,17-6756-49611,444702,784649,44,4,7,78,4,6,South,Beaver,South Beaver,TRUE,2,
Prairie Bee,17-2830-53096,475417,835412,47,5,4,83,5,4,Prairie,Bee,Prairie Bee,TRUE,2,
South Berube,17-5521-53389,481210,801754,48,1,2,80,1,7,South,Berube,South Berube,TRUE,2,
Lower Beverley,18-4097-49387,443552,760814,44,3,5,76,0,8,Lower,Beverley,Lower Beverley,TRUE,2,
Upper Beverley,18-4138-49408,443701,760510,44,3,7,76,0,5,Upper,Beverley,Upper Beverley,TRUE,2,
Cranberry Bg.,17-4706-50965,NA,NA,NA,NA,NA,NA,NA,NA,Cranberry,Bg.,Cranberry Bg.,TRUE,2,
Little Bicknell,16-5961-55191,494908,853949,49,4,9,85,3,9,Little,Bicknell,Little Bicknell,TRUE,2,
Kling Biels,17-6177-50117,451504,793002,45,1,5,79,3,0,Kling,Biels,Kling Biels,TRUE,2,
Little Billings,17-7167-50171,451633,781413,45,1,6,78,1,4,Little,Billings,Little Billings,TRUE,2,
Big Bilsky,17-5489-52591,472909,802102,47,2,9,80,2,1,Big,Bilsky,Big Bilsky,TRUE,2,
Upper Bingle,17-5453-54222,NA,NA,NA,NA,NA,NA,NA,NA,Upper,Bingle,Upper Bingle,TRUE,2,
Big Birch,18-3172-49986,450708,771925,45,0,7,77,1,9,Big,Birch,Big Birch,TRUE,2,
Black Birch,15-3717-58177,522947,945322,52,2,9,94,5,3,Black,Birch,Black Birch,TRUE,2,
Little Birch,18-2988-49861,450008,773309,45,0,0,77,3,3,Little,Birch,Little Birch,TRUE,2,
Little Birch,18-3165-49989,450719,772000,45,0,7,77,2,0,Little,Birch,Little Birch,TRUE,2,
Twin Birch,16-2887-53680,NA,NA,NA,NA,NA,NA,NA,NA,Twin,Birch,Twin Birch,TRUE,2,
White Birch,16-7196-51746,464127,840742,46,4,1,84,0,7,White,Birch,White Birch,TRUE,2,
Little Birchy,17-6978-50048,451014,782858,45,1,0,78,2,8,Little,Birchy,Little Birchy,TRUE,2,
Big Bissett,17-7222-51132,460816,780726,46,0,8,78,0,7,Big,Bissett,Big Bissett,TRUE,2,
Little Black,17-6952-50140,451514,783044,45,1,5,78,3,0,Little,Black,Little Black,TRUE,2,
Little Black,18-3564-50127,451520,764950,45,1,5,76,4,9,Little,Black,Little Black,TRUE,2,
Le Blanc,17-3357-53062,475323,831151,47,5,3,83,1,1,Le,Blanc,Le Blanc,TRUE,2,
Rabbit Blanket,16-6624-52904,474456,845002,47,4,4,84,5,0,Rabbit,Blanket,Rabbit Blanket,TRUE,2,
Little Bob,17-6749-49712,445229,784708,44,5,2,78,4,7,Little,Bob,Little Bob,TRUE,2,
Little Bob,17-7066-49773,445517,782256,44,5,5,78,2,2,Little,Bob,Little Bob,TRUE,2,
Lower Boleau,17-6136-49729,445408,793338,44,5,4,79,3,3,Lower,Boleau,Lower Boleau,TRUE,2,
Upper Boleau,17-6150-49714,445319,793236,44,5,3,79,3,2,Upper,Boleau,Upper Boleau,TRUE,2,
Log Boom,17-4818-51073,460714,811410,46,0,7,81,1,4,Log,Boom,Log Boom,TRUE,2,
Little Boshkung,17-6795-49895,450217,784315,45,0,2,78,4,3,Little,Boshkung,Little Boshkung,TRUE,2,
South Boundary,18-2767-49980,450609,775016,45,0,6,77,5,0,South,Boundary,South Boundary,TRUE,2,
Below Bow,15-5985-54298,490053,913908,49,0,0,91,3,9,Below,Bow,Below Bow,TRUE,2,
Opechee Boys,17-5891-51829,464744,794958,46,4,7,79,4,9,Opechee,Boys,Opechee Boys,TRUE,2,
North Branch,17-7281-50791,454948,780346,45,4,9,78,0,3,North,Branch,North Branch,TRUE,2,
South Branch,17-2976-52164,470419,833957,47,0,4,83,3,9,South,Branch,South Branch,TRUE,2,
South Branch,17-6512-50588,454006,790334,45,4,0,79,0,3,South,Branch,South Branch,TRUE,2,
La Brash,17-5860-50636,454321,795342,45,4,3,79,5,3,La,Brash,La Brash,TRUE,2,
Big Brother,17-6754-50006,450821,784608,45,0,8,78,4,6,Big,Brother,Big Brother,TRUE,2,
Little Brother,17-6762-50000,450801,784533,45,0,8,78,4,5,Little,Brother,Little Brother,TRUE,2,
East Buck,17-6510-49883,450201,790500,45,0,2,79,0,5,East,Buck,East Buck,TRUE,2,
North Buck,16-6190-53892,483848,852306,48,3,8,85,2,3,North,Buck,North Buck,TRUE,2,
Silver Buck,17-6736-50031,450944,784730,45,0,9,78,4,7,Silver,Buck,Silver Buck,TRUE,2,
West Buck,17-6502-49878,450147,790535,45,0,1,79,0,5,West,Buck,West Buck,TRUE,2,
Little Buckhorn,17-6827-50139,451523,784020,45,1,5,78,4,0,Little,Buckhorn,Little Buckhorn,TRUE,2,
Lower Buckhorn,17-7170-49371,443323,781605,44,3,3,78,1,6,Lower,Buckhorn,Lower Buckhorn,TRUE,2,
Robbie Burns,15-4455-55326,495644,934533,49,5,6,93,4,5,Robbie,Burns,Robbie Burns,TRUE,2,
Big Burnt,18-2822-49547,444252,774500,44,4,2,77,4,5,Big,Burnt,Big Burnt,TRUE,2,
Little Burwash,17-4930-52197,470757,810532,47,0,7,81,0,5,Little,Burwash,Little Burwash,TRUE,2,
Sugar Bush,17-6469-50681,454512,790642,45,4,5,79,0,6,Sugar,Bush,Sugar Bush,TRUE,2,
Little Butler,15-5840-54809,492836,915026,49,2,8,91,5,0,Little,Butler,Little Butler,TRUE,2,
Little Butt,17-6527-50558,453828,790224,45,3,8,79,0,2,Little,Butt,Little Butt,TRUE,2,
Lone Cabin,16-6462-54617,491735,845920,49,1,7,84,5,9,Lone,Cabin,Lone Cabin,TRUE,2,
Lower Cachege,17-3357-52961,474759,831137,47,4,7,83,1,1,Lower,Cachege,Lower Cachege,TRUE,2,
Loon Call,17-7256-49580,444431,780902,44,4,4,78,0,9,Loon,Call,Loon Call,TRUE,2,
Little Cameron,17-6845-49990,450721,783914,45,0,7,78,3,9,Little,Cameron,Little Cameron,TRUE,2,
Little Camp,18-3475-50040,451030,765628,45,1,0,76,5,6,Little,Camp,Little Camp,TRUE,2,
Wolf Camp,16-5415-54050,484755,862605,48,4,7,86,2,6,Wolf,Camp,Wolf Camp,TRUE,2,
Southeast Campcot,16-5274-54315,490217,863729,49,0,2,86,3,7,Southeast,Campcot,Southeast Campcot,TRUE,2,
Pack Can,17-5745-53683,482755,795931,48,2,7,79,5,9,Pack,Can,Pack Can,TRUE,2,
Green Canoe,17-6990-50057,451043,782801,45,1,0,78,2,8,Green,Canoe,Green Canoe,TRUE,2,
Red Canoe,17-5914-51869,464952,794805,46,4,9,79,4,8,Red,Canoe,Red Canoe,TRUE,2,
Big Canon,15-4455-55462,500404,934540,50,0,4,93,4,5,Big,Canon,Big Canon,TRUE,2,
Lower Cardiff,17-7209-49937,450352,781138,45,0,3,78,1,1,Lower,Cardiff,Lower Cardiff,TRUE,2,
Jumping Cariboo,17-5933-51926,465257,794633,46,5,2,79,4,6,Jumping,Cariboo,Jumping Cariboo,TRUE,2,
Big Caribou,17-5718-50868,455558,800424,45,5,5,80,0,4,Big,Caribou,Big Caribou,TRUE,2,
East Caribou,17-3320-51621,463535,831134,46,3,5,83,1,1,East,Caribou,East Caribou,TRUE,2,
Little Caribou,16-3530-55837,502319,890404,50,2,3,89,0,4,Little,Caribou,Little Caribou,TRUE,2,
Little Castle,15-7175-53413,481122,900426,48,1,1,90,0,4,Little,Castle,Little Castle,TRUE,2,
Little Cauchon,17-6812-51026,460317,783928,46,0,3,78,3,9,Little,Cauchon,Little Cauchon,TRUE,2,
Little Cauliflower,17-7121-50295,452321,781727,45,2,3,78,1,7,Little,Cauliflower,Little Cauliflower L,FALSE,3,
Big Cedar,17-7246-49429,443624,781012,44,3,6,78,1,0,Big,Cedar,Big Cedar,TRUE,2,
Blue Cedar,16-6237-53862,483706,851919,48,3,7,85,1,9,Blue,Cedar,Blue Cedar,TRUE,2,
Little Cedar,16-5857-53938,484135,855005,48,4,1,85,5,0,Little,Cedar,Little Cedar,TRUE,2,
Little Cedar,17-3549-51768,464352,825357,46,4,3,82,5,3,Little,Cedar,Little Cedar,TRUE,2,
Little Cedar,18-3197-49982,450657,771732,45,0,6,77,1,7,Little,Cedar,Little Cedar,TRUE,2,
Red Cedar,17-5812-51736,464245,795614,46,4,2,79,5,6,Red,Cedar,Red Cedar,TRUE,2,
North Chainy,17-7296-50100,451229,780434,45,1,2,78,0,4,North,Chainy,North Chainy,TRUE,2,
West Chainy,17-7290-50095,451215,780501,45,1,2,78,0,5,West,Chainy,West Chainy,TRUE,2,
Blue Chalk,17-6619-50068,451153,785617,45,1,1,78,5,6,Blue,Chalk,Blue Chalk,TRUE,2,
Red Chalk,17-6612-50058,451122,785655,45,1,1,78,5,6,Red,Chalk,Red Chalk,TRUE,2,
Sans Chamber,17-4901-51740,464316,810748,46,4,3,81,0,7,Sans,Chamber,Sans Chamber,TRUE,2,
La Chapelle,17-6453-51269,461655,790648,46,1,6,79,0,6,La,Chapelle,La Chapelle,TRUE,2,
St. Charles,18-2638-49496,443945,775844,44,3,9,77,5,8,St.,Charles,St. Charles,TRUE,2,
Little Chelsea,16-6570-54443,490759,845053,49,0,7,84,5,0,Little,Chelsea,Little Chelsea,TRUE,2,
Ice Chest,17-4981-53915,484041,810134,48,4,0,81,0,1,Ice,Chest,Ice Chest,TRUE,2,
Lower Chesterfield,17-4645-53378,481140,812840,48,1,1,81,2,8,Lower,Chesterfield,Lower Chesterfield L,FALSE,3,
Upper Chesterfield,17-4646-53351,481013,812834,48,1,0,81,2,8,Upper,Chesterfield,Upper Chesterfield L,FALSE,3,
West Chesterfield,17-4640-53384,481158,812906,48,1,1,81,2,9,West,Chesterfield,West Chesterfield,TRUE,2,
Little Chiblow,17-3360-51357,462125,830754,46,2,1,83,0,7,Little,Chiblow,Little Chiblow,TRUE,2,
Big Chief,17-5681-52589,472855,800547,47,2,8,80,0,5,Big,Chief,Big Chief,TRUE,2,
Ice Chisel,17-5991-52404,471843,794119,47,1,8,79,4,1,Ice,Chisel,Ice Chisel,TRUE,2,
Jim Christ,17-3675-51601,463501,824347,46,3,5,82,4,3,Jim,Christ,Jim Christ,TRUE,2,
North Chubb,17-2881-52306,471147,834752,47,1,1,83,4,7,North,Chubb,North Chubb,TRUE,2,
Bingham Chute,17-6240-51027,460408,792347,46,0,4,79,2,3,Bingham,Chute,Bingham Chute,TRUE,2,
Crooked Chute,17-6611-51270,461647,785432,46,1,6,78,5,4,Crooked,Chute,Crooked Chute,TRUE,2,
Hound Chute,17-5965-52392,471803,794326,47,1,8,79,4,3,Hound,Chute,Hound Chute,TRUE,2,
Golden City,17-6241-50189,451851,792459,45,1,8,79,2,4,Golden,City,Golden City,TRUE,2,
Little Clam,17-6433-50432,453148,790954,45,3,1,79,0,9,Little,Clam,Little Clam,TRUE,2,
Little Clanricarde,17-7255-49684,445006,780850,44,5,0,78,0,8,Little,Clanricarde,Little Clanricarde L,FALSE,3,
Big Clear,18-3843-49346,443328,762723,44,3,3,76,2,7,Big,Clear,Big Clear,TRUE,2,
Big Clear,18-3490-49541,444333,765426,44,4,3,76,5,4,Big,Clear,Big Clear,TRUE,2,
Little Clear,17-6502-51114,460830,790321,46,0,8,79,0,3,Little,Clear,Little Clear,TRUE,2,
Little Clear,17-6559-50293,452408,790030,45,2,4,79,0,0,Little,Clear,Little Clear,TRUE,2,
Little Clear,17-7060-49617,444650,782349,44,4,6,78,2,3,Little,Clear,Little Clear,TRUE,2,
Little Clear,-    -,4504,7651,45,0,4,76,5,1,Little,Clear,Little Clear,TRUE,2,
Little Clear,18-3804-49340,443304,763019,44,3,3,76,3,0,Little,Clear,Little Clear,TRUE,2,
Small Clear,18-3474-49461,NA,NA,NA,NA,NA,NA,NA,NA,Small,Clear,Small Clear,TRUE,2,
La Cloche,17-4169-51104,460840,820434,46,0,8,82,0,4,La,Cloche,La Cloche,TRUE,2,
Lake Of Clouds,17-5536-49228,442732,801933,44,2,7,80,1,9,Of,"Clouds,","Of Clouds,",TRUE,2,
Big Club,17-5140-53675,482744,804839,48,2,7,80,4,8,Big,Club,Big Club,TRUE,2,
Little Club,17-5138-53673,482737,804850,48,2,7,80,4,8,Little,Club,Little Club,TRUE,2,
South Club,17-5142-53670,482729,804827,48,2,7,80,4,8,South,Club,South Club,TRUE,2,
South Coleman,17-5870-52374,471712,795057,47,1,7,79,5,0,South,Coleman,South Coleman,TRUE,2,
West Commando,17-4464-53801,483425,814336,48,3,4,81,4,3,West,Commando,West Commando,TRUE,2,
Little Coon,17-6883-50339,452607,783534,45,2,6,78,3,5,Little,Coon,Little Coon,TRUE,2,
Little Copper,17-7222-49612,444616,781131,44,4,6,78,1,1,Little,Copper,Little Copper,TRUE,2,
Mining Corporation,17-6533-50630,454220,790149,45,4,2,79,0,1,Mining,Corporation,Mining Corporation L,FALSE,3,
Big Cranberry,18-3032-50671,454352,773146,45,4,3,77,3,1,Big,Cranberry,Big Cranberry,TRUE,2,
Upper Cranberry,17-3509-51259,461622,825606,46,1,6,82,5,6,Upper,Cranberry,Upper Cranberry,TRUE,2,
Lower Crane,17-6641-49899,450244,785500,45,0,2,78,5,5,Lower,Crane,Lower Crane,TRUE,2,
Upper Crane,17-6639-49903,450257,785506,45,0,2,78,5,5,Upper,Crane,Upper Crane,TRUE,2,
Little Crispin,15-4733-54713,492346,932206,49,2,3,93,2,2,Little,Crispin,Little Crispin,TRUE,2,
Little Crooked,17-7183-50785,454940,781120,45,4,9,78,1,1,Little,Crooked,Little Crooked,TRUE,2,
Little Crosby,18-3892-49566,NA,NA,NA,NA,NA,NA,NA,NA,Little,Crosby,Little Crosby,TRUE,2,
Big Crow,17-6991-50783,454952,782611,45,4,9,78,2,6,Big,Crow,Big Crow,TRUE,2,
Little Crow,17-6980-50762,454847,782707,45,4,8,78,2,7,Little,Crow,Little Crow,TRUE,2,
Little Cup,17-7284-49879,450035,780605,45,0,0,78,0,6,Little,Cup,Little Cup,TRUE,2,
Lower Cup,17-7287-49883,450048,780553,45,0,0,78,0,5,Lower,Cup,Lower Cup,TRUE,2,
Bluevale Dam,17-4802-48553,435108,811447,43,5,1,81,1,4,Bluevale,Dam,Bluevale Dam,TRUE,2,
Burnt Dam,15-6122-55493,500515,912555,50,0,5,91,2,5,Burnt,Dam,Burnt Dam,TRUE,2,
Island Dam,16-5281-54554,491510,863652,49,1,5,86,3,6,Island,Dam,Island Dam,TRUE,2,
Shaw Dam,17-3041-51368,462129,833248,46,2,1,83,3,2,Shaw,Dam,Shaw Dam,TRUE,2,
Little Dayohessarah,16-6466-54051,484700,850016,48,4,7,85,0,0,Little,Dayohessarah,Little Dayohessarah,TRUE,2,
Lower Deception,17-4827-54445,490917,811412,49,0,9,81,1,4,Lower,Deception,Lower Deception,TRUE,2,
Big Deer,17-5971-50688,454603,794503,45,4,6,79,4,5,Big,Deer,Big Deer,TRUE,2,
Red Deer,15-4168-55418,500129,940941,50,0,1,94,0,9,Red,Deer,Red Deer,TRUE,2,
Red Deer,17-5215-51389,462420,804312,46,2,4,80,4,3,Red,Deer,Red Deer,TRUE,2,
Red Deer,17-6381-50828,455311,791313,45,5,3,79,1,3,Red,Deer,Red Deer,TRUE,2,
Little Dennie,17-4303-51975,465544,815456,46,5,5,81,5,4,Little,Dennie,Little Dennie,TRUE,2,
Fifth Depot,18-3522-49407,443624,765147,44,3,6,76,5,1,Fifth,Depot,Fifth Depot,TRUE,2,
First Depot,18-3612-49290,443011,764446,44,3,0,76,4,4,First,Depot,First Depot,TRUE,2,
Fourth Depot,18-3580-49390,443532,764720,44,3,5,76,4,7,Fourth,Depot,Fourth Depot,TRUE,2,
North Depot,17-7101-51050,460407,781658,46,0,4,78,1,6,North,Depot,North Depot,TRUE,2,
Second Depot,18-3600-49341,443255,764546,44,3,2,76,4,5,Second,Depot,Second Depot,TRUE,2,
Sixth Depot,18-3484-49382,NA,NA,NA,NA,NA,NA,NA,NA,Sixth,Depot,Sixth Depot,TRUE,2,
Third Depot,18-3582-49362,NA,NA,NA,NA,NA,NA,NA,NA,Third,Depot,Third Depot,TRUE,2,
Little Detour,17-5791-55222,495056,795359,49,5,0,79,5,3,Little,Detour,Little Detour,TRUE,2,
Lower Detour,17-5989-55328,495628,793718,49,5,6,79,3,7,Lower,Detour,Lower Detour,TRUE,2,
Little Devil,18-3760-49249,442809,763333,44,2,8,76,3,3,Little,Devil,Little Devil,TRUE,2,
Little Dickson,17-7196-50760,454817,781026,45,4,8,78,1,0,Little,Dickson,Little Dickson,TRUE,2,
Upper Doan,15-6090-54482,491044,913017,49,1,0,91,3,0,Upper,Doan,Upper Doan,TRUE,2,
Silver Doe,17-6734-50035,450958,784739,45,0,9,78,4,7,Silver,Doe,Silver Doe,TRUE,2,
Little Dog,16-3089-53916,483859,893542,48,3,8,89,3,5,Little,Dog,Little Dog,TRUE,2,
Long Dog,16-3540-59257,532743,891155,53,2,7,89,1,1,Long,Dog,Long Dog,TRUE,2,
Lost Dog,17-6478-50906,455718,790533,45,5,7,79,0,5,Lost,Dog,Lost Dog,TRUE,2,
Little Donald,17-5683-51861,464937,800618,46,4,9,80,0,6,Little,Donald,Little Donald,TRUE,2,
Little Dossier,16-6714-52922,474543,844246,47,4,5,84,4,2,Little,Dossier,Little Dossier,TRUE,2,
North Dotty,17-6558-50381,452852,790025,45,2,8,79,0,0,North,Dotty,North Dotty,TRUE,2,
Little Dougherty,17-5183-53492,481750,804510,48,1,7,80,4,5,Little,Dougherty,Little Dougherty,TRUE,2,
Big Duck,16-4802-54273,490002,871613,49,0,0,87,1,6,Big,Duck,Big Duck,TRUE,2,
Black Duck,17-3893-53352,480945,822918,48,0,9,82,2,9,Black,Duck,Black Duck,TRUE,2,
Black Duck,17-5914-52234,470935,794738,47,0,9,79,4,7,Black,Duck,Black Duck,TRUE,2,
Grey Duck,17-2752-51443,462459,835531,46,2,4,83,5,5,Grey,Duck,Grey Duck,TRUE,2,
Inner Duck,18-3191-49979,450647,771758,45,0,6,77,1,7,Inner,Duck,Inner Duck,TRUE,2,
Little Duck,17-3530-51288,461757,825430,46,1,7,82,5,4,Little,Duck,Little Duck,TRUE,2,
Outer Duck,18-3196-49975,450636,771737,45,0,6,77,1,7,Outer,Duck,Outer Duck,TRUE,2,
Three Ducks,17-4319-52661,473249,815419,47,3,2,81,5,4,Three,Ducks,Three Ducks,TRUE,2,
Little Dudmon,17-7088-49899,450200,782058,45,0,2,78,2,0,Little,Dudmon,Little Dudmon,TRUE,2,
Lady Dufferin,17-5221-52553,472701,804224,47,2,7,80,4,2,Lady,Dufferin,Lady Dufferin,TRUE,2,
Upper Duffy,16-6489-53801,483329,845857,48,3,3,84,5,8,Upper,Duffy,Upper Duffy,TRUE,2,
Upper Dunrankin,17-3357-53638,482428,831313,48,2,4,83,1,3,Upper,Dunrankin,Upper Dunrankin,TRUE,2,
Little Eagle,15-4849-55150,494722,931237,49,4,7,93,1,2,Little,Eagle,Little Eagle,TRUE,2,
Little Eagle,17-5715-52317,471411,800320,47,1,4,80,0,3,Little,Eagle,Little Eagle,TRUE,2,
War Eagle,15-3793-55114,494443,944032,49,4,4,94,4,0,War,Eagle,War Eagle,TRUE,2,
Upper Eaglenest,17-5379-51960,465505,803009,46,5,5,80,3,0,Upper,Eaglenest,Upper Eaglenest,TRUE,2,
Big East,17-6622-49880,450144,785628,45,0,1,78,5,6,Big,East,Big East,TRUE,2,
Little East,17-6629-49866,450057,785559,45,0,0,78,5,5,Little,East,Little East,TRUE,2,
Bon Echo,18-3239-49738,445353,771349,44,5,3,77,1,3,Bon,Echo,Bon Echo,TRUE,2,
Little Echo,17-7235-49771,445450,781007,44,5,4,78,1,0,Little,Echo,Little Echo,TRUE,2,
Jim Edwards,17-5431-52386,471806,802549,47,1,8,80,2,5,Jim,Edwards,Jim Edwards,TRUE,2,
North Eels,17-7263-49823,445735,780750,44,5,7,78,0,7,North,Eels,North Eels,TRUE,2,
Goose Egg,17-6313-50862,455506,791824,45,5,5,79,1,8,Goose,Egg,Goose Egg,TRUE,2,
Thirty Eight,18-3179-50074,451153,771907,45,1,1,77,1,9,Thirty,Eight,Thirty Eight,TRUE,2,
Red Elk,17-3957-52001,465655,822212,46,5,6,82,2,2,Red,Elk,Red Elk,TRUE,2,
East Emerson,15-4145-55134,494609,941114,49,4,6,94,1,1,East,Emerson,East Emerson,TRUE,2,
Big Eneas,18-3153-50242,452058,772128,45,2,0,77,2,1,Big,Eneas,Big Eneas,TRUE,2,
Little Eneas,18-3159-50247,452113,772102,45,2,1,77,2,1,Little,Eneas,Little Eneas,TRUE,2,
Little Enid,17-4314-53759,483204,815546,48,3,2,81,5,5,Little,Enid,Little Enid,TRUE,2,
Little Entwine,15-5218-54481,491113,924204,49,1,1,92,4,2,Little,Entwine,Little Entwine,TRUE,2,
West Ermine,17-6650-50339,452627,785326,45,2,6,78,5,3,West,Ermine,West Ermine,TRUE,2,
Little Esson,17-7158-49904,450211,781537,45,0,2,78,1,5,Little,Esson,Little Esson,TRUE,2,
Lady Evelyn,17-5608-52397,471834,801146,47,1,8,80,1,1,Lady,Evelyn,Lady Evelyn,TRUE,2,
