lakeName,ARU_LID,LATITUDE,LONGITUDE,latD,latM1,latM2,longD,longM1,longM2,lakeName_a,lakeName_b,waterbodyAndLake,waterbodyAndLake_ok,waterbodyAndLake_pieces,waterbodyAndLake_remainder
Rupert,15-4505-54743,492516,934056,49,2,5,93,4,0,Rupert,NA,Rupert,FALSE,1,
Rush,17-4104-52936,474730,821146,47,4,7,82,1,1,Rush,NA,Rush,FALSE,1,
Rush,16-7155-54642,491742,840212,49,1,7,84,0,2,Rush,NA,Rush,FALSE,1,
Rushbay,16-3324-55671,501402,892059,50,1,4,89,2,0,Rushbay,NA,Rushbay,FALSE,1,
Rushbrook,17-4302-51759,464405,815447,46,4,4,81,5,4,Rushbrook,NA,Rushbrook,FALSE,1,
Russett,15-4349-56475,505839,935537,50,5,8,93,5,5,Russett,NA,Russett,FALSE,1,
Russian,17-4067-51796,464556,821317,46,4,5,82,1,3,Russian,NA,Russian,FALSE,1,
Ruth,17-3206-52874,474300,832330,47,4,3,83,2,3,Ruth,NA,Ruth,FALSE,1,
Ruth,17-6148-50960,460036,793100,46,0,0,79,3,1,Ruth,NA,Ruth,FALSE,1,
Ruth-Roy,17-4806-51039,460525,811503,46,0,5,81,1,5,Ruth-Roy,NA,Ruth-Roy,FALSE,1,
Ruthelda,16-6577-53567,482046,845218,48,2,0,84,5,2,Ruthelda,NA,Ruthelda,FALSE,1,
Ruthie,16-6295-53954,484202,851424,48,4,2,85,1,4,Ruthie,NA,Ruthie,FALSE,1,
Rutter,15-5581-54358,490429,921215,49,0,4,92,1,2,Rutter,NA,Rutter,FALSE,1,
Rutter,17-6163-50113,451451,793106,45,1,4,79,3,1,Rutter,NA,Rutter,FALSE,1,
Ryan,17-5228-53125,NA,NA,NA,NA,NA,NA,NA,NA,Ryan,NA,Ryan,FALSE,1,
Ryan,17-7266-50629,454105,780524,45,4,1,78,0,5,Ryan,NA,Ryan,FALSE,1,
Ryckman,15-5012-54230,485743,925859,48,5,7,92,5,8,Ryckman,NA,Ryckman,FALSE,1,
Rye,17-3747-51457,462717,823752,46,2,7,82,3,7,Rye,NA,Rye,FALSE,1,
Ryegrass,17-7175-50589,453906,781232,45,3,9,78,1,2,Ryegrass,NA,Ryegrass,FALSE,1,
S,17-4329-51689,464021,815238,46,4,0,81,5,2,S,NA,S,FALSE,1,
S,17-5713-48104,432643,800709,43,2,6,80,0,7,"S,",NA,"S,",FALSE,1,
Saari,17-3216-52908,474451,832247,47,4,4,83,2,2,Saari,NA,Saari,FALSE,1,
Sabourin,15-3740-56882,511958,944831,51,1,9,94,4,8,Sabourin,NA,Sabourin,FALSE,1,
Saddle,17-2880-52035,465711,834709,46,5,7,83,4,7,Saddle,NA,Saddle,FALSE,1,
Saganash,17-3846-54330,490228,823446,49,0,2,82,3,4,Saganash,NA,Saganash,FALSE,1,
Sagimeo,17-5937-55382,495927,794132,49,5,9,79,4,1,Sagimeo,NA,Sagimeo,FALSE,1,
Sakwite,15-5073-54306,490149,925400,49,0,1,92,5,4,Sakwite,NA,Sakwite,FALSE,1,
Salerno,17-6985-49705,445145,782915,44,5,1,78,2,9,Salerno,NA,Salerno,FALSE,1,
Sally,15-5924-54840,493013,914325,49,3,0,91,4,3,Sally,NA,Sally,FALSE,1,
Salmon,17-7019-49656,444902,782646,44,4,9,78,2,6,Salmon,NA,Salmon,FALSE,1,
Salmon,17-5811-50115,451516,795759,45,1,5,79,5,7,Salmon,NA,Salmon,FALSE,1,
Salmond,18-3433-50002,450824,765936,45,0,8,76,5,9,Salmond,NA,Salmond,FALSE,1,
Salt,18-2984-50063,451058,773358,45,1,0,77,3,3,Salt,NA,Salt,FALSE,1,
Salter,16-6575-52970,474831,845348,47,4,8,84,5,3,Salter,NA,Salter,FALSE,1,
Salvage,17-3637-51801,464544,824708,46,4,5,82,4,7,Salvage,NA,Salvage,FALSE,1,
Salvation,17-6106-51989,465612,793247,46,5,6,79,3,2,Salvation,NA,Salvation,FALSE,1,
Salvesen,15-4000-55790,502124,942419,50,2,1,94,2,4,Salvesen,NA,Salvesen,FALSE,1,
Sam,17-3664-51728,464151,824452,46,4,1,82,4,4,Sam,NA,Sam,FALSE,1,
Sam,17-6773-50444,453158,784347,45,3,1,78,4,3,Sam,NA,Sam,FALSE,1,
Samally,18-3544-50336,452635,765143,45,2,6,76,5,1,Samally,NA,Samally,FALSE,1,
Samlet,17-6644-50317,452517,785357,45,2,5,78,5,3,Samlet,NA,Samlet,FALSE,1,
Sammies,17-6432-50591,454021,790939,45,4,0,79,0,9,Sammies,NA,Sammies,FALSE,1,
Sample,17-3099-52765,473657,833147,47,3,6,83,3,1,Sample,NA,Sample,FALSE,1,
Sampson,15-4804-57680,520350,931711,52,0,3,93,1,7,Sampson,NA,Sampson,FALSE,1,
Samreid,17-3658-51570,463317,824501,46,3,3,82,4,5,Samreid,NA,Samreid,FALSE,1,
Sams,18-2693-49457,443748,775432,44,3,7,77,5,4,Sams,NA,Sams,FALSE,1,
Samuel,16-7020-55149,494516,841144,49,4,5,84,1,1,Samuel,NA,Samuel,FALSE,1,
Samuel,18-3875-49993,450826,762550,45,0,8,76,2,5,Samuel,NA,Samuel,FALSE,1,
Samuelson,16-5293-55862,502546,863513,50,2,5,86,3,5,Samuelson,NA,Samuelson,FALSE,1,
