BsM_Cycle,FMZ,lakeName,waterbodyID,secchiDepth,surfaceArea,lakeVolume,maxDepth,meanDepth,lat,long,yearSample,COLTR (TCU),pH,cond,alk,Ca,MGUT (mg/L),Na,KKUT (mg/L),CLIDUR (mg/L),SSO4UR (mg/L),SIO3UR (mg/L),FEUT,DIC,DOC,NNHTUR (mg/L),NNOTUR (ug/L),TKN,TDP,dateSample,NtoPratio
3,4,Gullrock L.,15-4567-56470,1.7,6867.3,522948998.1,16,7.6,50.96114,-93.64489,2019,41.299,7.4,75.299,25.8,9.019,2.169,2.089,0.835,2.259,5.25,1.8,60,5.679,9.8,56,2,370,20.6,NA,NA
3,4,Hartman L.,15-5396-55107,3.5,517.6,21239399.55,8.2,4.2,49.74941,-92.45084,2019,9.189,7.61,133,36.899,12,2.79,9,0.935,15.1,2.049,0.36,20,8.419,4.9,30,2,354,10.6,NA,NA
3,4,Indian L.,15-5965-54891,2.1,4000.1,372503189.5,36,9.4,49.54834,-91.66632,2019,24.6,7.339,63.299,22.6,7.059,1.53,2.74,0.595,3.14,1.7,2.919,60,4.82,6,36,4,243,9.599,NA,NA
3,4,Kukukus L.,15-5946-55139,3,4167.7,206439990.2,19.5,5,49.7724,-91.68396,2021,36.2,7.12,46.899,19.3,5.799,1.54,1.26,0.582,0.203,1.24,1.26,93,5.12,7.139,20.699,51.1,390,14.85,NA,NA
3,4,Little Sandbar L.,15-6059-54782,1.5,218.5,5850900.02,7,2.7,49.45098,-91.54113,2019,25.6,7.299,60.899,19.399,6.48,1.35,2.839,0.565,4.179,1.2,3.2,100,4.32,6.2,36,4,260,11.8,NA,NA
3,4,Longlegged L.,15-4172-56262,2.3,6760.3,615479473.6,35.4,8.9,50.78395,-94.17453,2021,25.899,7.379,55.799,23.699,6.259,2.149,1.169,0.8,0.26,1.5,0.3,70,5.599,8.5,32,2,349,15.5,NA,NA
3,4,Mameigwess L.,15-5853-54894,4,5242,854861751.7,50,16.1,49.55072,-91.82545,2019,9.33,7.24,58.899,25.899,7.58,1.639,1.35,0.623,0.272,1.98,1.31,30,6.45,2.25,10,5,200,7.15,NA,NA
3,4,Miniss L.,15-6523-56318,1.7,6693.6,378857988.3,39,6,50.82132,-90.87326,2019,59.1,7.32,46.6,20.199,6.36,1.649,0.58,0.455,0.16,0.9,1.7,80,4.259,9.699,36,28,292,7.4,NA,NA
3,4,Minnitaki L.,15-5735-55360,2.5,17508.9,2128401752,44,12.2,49.97183,-91.95802,2022,74.4,7.16,52,20,6.629,1.62,1.379,0.622,0.897,1.49,2.73,202,5.019,10,10,111,380,13.199,NA,NA
3,4,Minnitaki L.,15-5735-55360,2.5,17508.9,2128401752,44,12.2,49.97183,-91.95802,NA,74.4,7.16,52,20,6.629,1.62,1.379,0.622,0.897,1.49,2.73,202,5.019,10,10,111,380,13.199,NA,NA
3,4,Mold L.,15-5282-55495,3,48,3542187.36,17,7.3,50.09953,-92.6059,2022,59.5,6.759,21.8,7.86,2.12,0.79,0.678,0.524,0.127,0.958,1.99,239,2.419,8.49,10,37.2,270,9.494,NA,NA
3,4,Mud L.,15-5802-54916,3,128,5710499.77,10.3,4.7,49.57403,-91.89103,2019,14.5,7.07,35.7,14.9,4.179,1.01,1.09,0.43,0.182,1.409,0.78,51,3.79,3.839,18.5,5.9,320,8.859,NA,NA
3,4,Nungesser L.,15-4613-57020,2.2,7417.5,366004176.3,15.2,4.9,51.47248,-93.53952,2019,72.4,7.07,32.899,12.9,4.219,1.01,0.88,0.495,0.17,0.8,2.6,340,3.06,10.4,32,20,324,15.699,NA,NA
3,4,Pakwash L.,15-4660-56220,1.5,8637.9,668100018.7,17.4,6.8,50.74727,-93.50609,2019,62.399,7.429,80.7,33.1,10.6,2.48,1.59,1.02,1.159,3.2,1.96,130,7.58,11.3,42,30,427,22.399,NA,NA
3,4,Pashkokogan L.,15-6895-56512,1.8,5508.4,198191997.1,14.9,3,50.98287,-90.30102,2019,38.399,7.469,58.6,26.3,8.96,1.879,0.625,0.45,0.37,0.65,1.12,80,5.5,8,34,12,279,8.199,NA,NA
3,4,Pelican L.,15-5737-55520,4,2296.9,238439369.3,36,10.4,50.1115,-91.96123,2022,58.899,7.219,67.599,27.3,8.859,1.96,1.5,0.646,1.159,2.359,2.12,128,6.53,9.25,10,84.5,360,11.949,NA,NA
3,4,Penassi L.,15-6300-55346,3,1446.1,95125801.85,27.1,6.6,49.95125,-91.19549,2021,56.6,7.129,47.799,19.699,6.719,1.409,0.823,0.479,0.233,1.07,1.149,79,4.95,9.869,10,42.1,370,11.1,NA,NA
3,4,Pikangikum L.,15-4304-57399,0.5,5429.6,268000598.9,21,4.6,51.80217,-93.99622,2022,151,7.08,47.6,20.399,6.87,1.76,0.708,0.685,0.124,0.451,2.1,692,4.83,14.6,14.8,45.7,440,41.549,NA,NA
3,4,Premier L.,15-5213-56724,5.5,152.2,12845044.35,24,8.4,51.20424,-92.69474,2021,40.2,7.019,50.1,16.3,7.12,1.04,0.636,0.577,0.146,4.75,0.7,54,4.16,7.469,12.6,46,320,9.185,NA,NA
3,4,Press L.,15-6090-55164,1.8,3645.8,202602391.1,22,5.6,49.79986,-91.50461,2019,97.2,6.969,38,14.1,4.86,1.23,1.379,0.616,0.934,1.07,3.23,324,3.45,11.3,10,87.799,370,14.199,NA,NA
3,4,Red L.,15-4335-56548,2.8,16392.8,1998053907,42,12.2,51.06421,-93.95704,2019,44.5,7.29,57.299,23.399,7.639,1.95,1.429,0.725,1.03,1.899,1.76,70,5.179,9.5,42,56,337,20.199,NA,NA
3,4,Savant L.,15-6825-55952,3,12524,951262696.1,53,7.9,50.4823,-90.42741,2019,20.699,7.259,43.799,19.399,6.44,1.05,0.46,0.41,0.15,1.1,0.66,20,4.099,6.299,24,8,229,6.5,NA,NA
3,4,Selwyn L.,15-6531-54804,1.7,1003.3,18203899.31,9.8,1.9,49.45958,-90.89168,2019,76.299,7.07,30.699,12,3.48,0.958,1.03,0.575,0.35,0.9,4.08,390,2.62,9,36,20,269,9.4,NA,NA
3,4,Seseganaga L.,15-6890-55500,2.1,10651.1,601266411.6,42.3,5.6,50.06571,-90.35308,2019,41.2,7.049,27.5,10.699,3.18,0.966,0.745,0.405,0.17,0.95,2.439,80,2.359,7.2,22,22,262,6.5,NA,NA
3,4,Shabu L.,15-5045-56849,3,709.1,31587601.76,13.2,4.4,51.31424,-92.93967,2022,52.799,6.969,34.6,13.3,4.58,0.992,0.661,0.474,0.179,0.894,0.98,126,3.5,9.009,10,34.1,340,10.949,NA,NA
3,4,Silcox L.,15-4741-57335,1.5,873.9,28328635.25,6.1,3.2,51.75362,-93.37461,2022,75.9,7.12,56,24.6,7.49,1.96,0.981,0.733,0.152,0.663,2.14,403,6.19,10.3,16.699,113,390,34.25,NA,NA
3,4,Silver L.,15-6881-55875,1.8,152.8,4139207.6,10,2.7,50.41174,-90.35324,2019,69.4,7.219,41.5,17.199,7.2,0.76,0.395,0.27,0.12,0.9,1.34,70,3.62,11.9,26,1,361,6.699,NA,NA
3,4,Singapore L.,15-6244-55581,4,592,41265001.25,18.8,6.3,50.16413,-91.26503,2019,73.299,7.07,47.2,16.899,6.58,1.35,0.788,0.443,0.28,3.009,1.429,130,4.099,10.3,10,58.7,340,10.15,NA,NA
3,4,Smye L.,15-6889-55829,1.6,283.6,8163500.27,21.1,2.9,50.3698,-90.34435,2019,83.799,6.809,20.699,6.33,2.459,0.714,0.5,0.35,0.13,0.55,1.94,180,1.48,11.9,22,26,293,6.099,NA,NA
3,4,Sowden L.,15-6304-54898,1.7,3739.1,234271813.3,18.3,6.3,49.54735,-91.20672,2019,85.099,7.099,35.899,14.199,4.28,1.08,1.159,0.545,0.62,1.05,3.779,400,2.859,10.1,30,68,302,9.9,NA,NA
3,4,Sturgeon L.,15-6600-55380,4.7,24047.8,2912127175,93,13.6,49.92729,-90.89686,2019,17.3,7.36,83.9,25.6,11.5,1.84,0.86,0.5,0.34,12,1.139,10,5.2,5.7,18,30,218,6,NA,NA
3,4,Sup L.,15-4602-55724,2,675.8,55007100.61,19.2,8.1,50.30519,-93.55796,2021,31.699,7.419,88.9,41.299,11.199,3.299,1.23,0.852,0.222,1.07,0.87,77,9.96,8.38,29.199,6.5,430,19.899,NA,NA
3,4,Thaddeus L.,15-5085-55575,3.5,1566.4,132600000,16.2,8.5,50.17463,-92.89251,2019,11.3,7.91,163.5,81.9,24.199,5.379,1.53,1.08,0.31,1.3,0.76,90,19.199,5.599,34,6,297,12.1,NA,NA
3,4,Thaddeus L.,15-5085-55575,3.5,1566.4,132600000,16.2,8.5,50.17463,-92.89251,NA,11.3,7.91,163.5,81.9,24.199,5.379,1.53,1.08,0.31,1.3,0.76,90,19.199,5.599,34,6,297,12.1,NA,NA
3,4,Tide L.,15-4305-55763,1.5,1373.8,143121200,30.5,10.6,50.33775,-93.98355,2022,71.799,7.32,78.5,31.5,10.4,2.56,1.35,0.862,0.877,2.2,1.52,194,7.639,12,10,77.099,430,19.449,NA,NA
3,4,Tom L.,15-4238-55430,3,57.1,6800200.31,36,12.1,50.03637,-94.06278,2022,19.399,6.75,21.8,6.23,2.25,0.624,0.678,0.27,0.234,1.639,1.389,58,1.81,7.559,10,21.3,270,6.719,NA,NA
3,4,Towers L.,15-6233-55269,2,102,10210285.28,32,10,49.88748,-91.2871,2022,68.799,7.259,70.799,31.8,10.4,1.879,1,0.675,0.229,1.29,2.89,75,7.83,11.199,10,51.5,410,14.05,NA,NA
3,4,Umfreville L.,15-3754-55732,1.8,14044.9,2222671943,46.3,15.7,50.32297,-94.83832,2019,42.2,7.62,83.7,34.899,11,2.52,2.459,0.725,1.429,2.549,0.46,110,7.9,8.8,24,4,309,16,NA,NA
3,4,Unnamed L. (FMZ04_01),15-5752-55022,2,64.3,1816290.24,5.5,2.8,49.66803,-91.95766,2021,48.7,6.769,21.1,6.36,2.27,0.629,0.941,0.298,0.151,1.179,1.83,150,1.96,7.799,15.8,50.5,350,11.8,NA,NA
3,4,Victoria L.,15-6048-54975,4,926.2,82543383.6,28.1,8.9,49.62381,-91.54686,2019,25.1,7.19,45.799,19.8,6.059,1.35,1.03,0.505,0.235,1.79,1.3,32,4.78,6.03,10,37.899,260,8.529,NA,NA
3,4,Wabaskang L.,15-4880-55820,2.8,6150.2,470645208.9,28.7,7.6,50.38864,-93.22539,2019,18.699,7.669,117,55.2,15.4,3.94,2.14,0.895,1.72,1.25,0.84,60,12.8,7.4,46,2,366,18.699,NA,NA
3,4,Wabaskang L.,15-4880-55820,2.8,6150.2,470645208.9,28.7,7.6,50.38864,-93.22539,NA,18.699,7.669,117,55.2,15.4,3.94,2.14,0.895,1.72,1.25,0.84,60,12.8,7.4,46,2,366,18.699,NA,NA
3,4,Wapesi L.,15-5464-56006,1.1,2350.9,47328000,9.2,2,50.54216,-92.33631,2019,120,7.37,63.5,27.899,9.539,2.169,0.785,0.655,0.17,0.9,2.439,260,6.36,15.4,66,14,467,23.2,NA,NA
3,4,Wavell L.,15-5209-57140,2,805.8,78755000,23,9.5,51.5779,-92.69876,2022,134,6.32,18.6,5.179,2.22,0.642,0.569,0.466,0.091,0.454,1.98,690,1.47,14.4,10,70.7,390,16.199,NA,NA
3,4,Whitemud L.,15-5192-56320,1,1241.4,57701895.36,15.6,4.7,50.8448,-92.73259,2021,174,6.66,26.899,924,3.94,1.03,0.516,0.511,0.101,0.449,2.04,381,2.14,18.899,14.3,63,500,16.899,NA,NA
3,4,Wintering L.,15-6217-55096,1.5,1654.2,90534600.67,15.9,5.3,49.72761,-91.31415,2021,67.2,7.219,60.5,24.3,8.369,2.009,1.29,0.516,1.159,0.825,1.649,160,6.16,11.6,39.7,26.1,530,20.949,NA,NA
3,4,Woman L.,15-5179-56721,4,1929.4,197457762,34,10.2,51.20095,-92.75446,2022,33,7.259,77.9,33.899,11.8,1.8,0.722,0.586,0.23,2.94,1.389,47,8.33,7.7,10,59.2,310,10.9,NA,NA
3,5,Cross L.,15-4115-55351,3.5,108.2,8656900.45,26.2,8.3,49.96489,-94.23609,2022,33.5,6.73,20.3,6.129,1.98,0.69,0.695,0.411,0.164,1.189,1.07,127,1.679,7.419,10,5,320,7.714,NA,NA
3,5,Daniels L.,15-4399-55286,6.5,1629.8,369461411.7,78.6,23.1,49.92424,-93.85166,2022,7.98,6.799,22.6,7.089,2.18,0.651,0.536,0.414,0.255,2.35,0.29,30,2,3.859,10,44.1,200,4.344,NA,NA
3,5,Dinorwic L.,15-5320-54970,2,5007.5,192124519.7,10,3.8,49.62051,-92.56305,2021,104,7.23,66.4,24.8,9.109,1.679,2.379,0.675,2.52,1.25,2.31,402,6.139,11.699,11.1,57.899,420,18.05,NA,NA
3,5,Dore L.,15-5124-54968,3,965.2,86808597.03,24.4,8.7,49.61582,-92.83074,2021,37.799,7.23,63.2,22.3,7.61,1.659,2.43,0.867,2.649,1.25,0.88,75,5.669,9.75,13.6,5,470,15.65,NA,NA
3,5,Eagle L.,15-4950-55030,3,31706.4,2279936305,32.8,7.2,49.66881,-93.27879,2022,19.899,7.129,53.5,19.5,5.889,1.77,2.009,0.717,1.47,1.47,0.63,59,5.21,7,11.4,41.799,380,13.85,NA,NA
3,5,Edward L.,15-4606-55329,2,534.3,18230800.93,7.9,3.4,49.9464,-93.55602,2022,40,7.21,45.1,18.699,5.549,1.5,1.01,0.593,0.372,1.11,1.08,274,4.66,8.5,35.7,23.699,460,26.05,NA,NA
3,5,Godson L.,15-5172-54948,1.5,259.5,7848000.18,6.1,3,49.60903,-92.76425,2021,82.599,7.139,67,19.699,8.019,1.179,3.669,0.778,5.269,1.12,2.589,251,4.87,12.9,29.3,61.899,550,20,NA,NA
3,5,Lawrence L.,15-4729-54570,4,1877.3,415295403.4,76.2,22.2,49.27504,-93.36566,2023,31,6.919,29.6,9.429,3.21,0.929,1.11,0.596,0.344,1.53,1.27,67,2.48,8.24,10,98.599,340,6.695,NA,NA
3,5,Lower Manitou L.,15-5023-54567,7,8871.7,1648675130,81,19.9,49.27811,-92.94807,2023,12.4,7.28,67.599,27.1,10.3,1.169,1.389,0.489,1.11,2.169,1.139,30,6.86,5.059,10,47.2,250,6.644,NA,NA
3,5,Old Man L.,15-4124-55428,3.5,160.8,9607499.85,23,6.1,50.03672,-94.22218,2023,18.899,6.879,26,8.109,2.62,0.797,0.821,0.45,0.347,1.55,0.62,68,2.29,6.37,10,41.799,280,8.394,NA,NA
3,5,Plum L.,15-4127-55299,2,73.6,3482010.22,12,4.7,49.90988,-94.21523,2023,73.299,6.5,17.3,4.349,1.72,0.562,0.58,0.418,0.154,0.984,1.55,255,1.169,11,10,33.399,370,10.8,NA,NA
3,5,Rugby L.,15-5026-55337,1,1020.5,33469601.77,7.6,3.4,49.95675,-92.95825,2023,111,7.21,60.799,27.199,8.019,2.24,1.04,0.759,0.22,0.958,2.5,375,6.62,11.3,26.1,62.899,430,26.75,NA,NA
3,5,Rugby L.,15-5026-55337,1,1020.5,33469601.77,7.6,3.4,49.95675,-92.95825,2019,111,7.21,60.799,27.199,8.019,2.24,1.04,0.759,0.22,0.958,2.5,375,6.62,11.3,26.1,62.899,430,26.75,NA,NA
3,5,Shrub L.,15-4351-55357,3,550.3,50283001.1,26,9,49.97099,-93.89782,2023,33.399,6.73,19.8,5.53,1.95,0.615,0.526,0.403,0.162,1.47,0.93,84,1.74,6.929,10,45.5,280,7.86,NA,NA
3,5,Stormy L.,15-5503-54708,5,3432.5,434985452.6,36.6,12.6,49.39447,-92.34669,2021,12,7.349,74.799,31.3,12.3,1.04,0.98,0.57,0.488,2.37,1.61,30,8.05,4.599,10,11.9,270,8.615,NA,NA
3,5,Thunder L.,15-5241-55137,4,1118.3,124653004.3,23.5,11.1,49.77882,-92.66332,2023,29.199,7.469,110,42.2,13.9,2.91,3.5,0.981,4.54,2.359,1.87,72,10.6,6.4,10,36.7,310,12.699,NA,NA
3,5,Upper Manitou L.,15-5149-54725,6,5310.4,892869256.4,56,17.2,49.40161,-92.77724,2023,6.919,7.389,81.299,33.5,12.6,1.62,1.35,0.617,0.735,2.529,1.159,30,8.71,3.91,10,15.9,240,6.7,NA,NA
3,5,Vista L.,15-4943-54343,4.5,556.6,73687502.15,68.9,13.1,49.06245,-93.08016,2023,16.899,7.28,60.1,24.199,9.769,0.901,0.795,0.458,0.415,2.48,1.09,30,6.089,5.219,10,44,290,7.98,NA,NA
3,5,Wabigoon L.,15-5203-55093,1,10365.8,674349995,15,6.5,49.73222,-92.72928,2021,80.4,7.36,95.099,34.799,12.5,2.49,3.72,0.867,4.44,1.58,2.009,476,8.919,9.47,11.199,86.599,410,24.199,NA,NA
3,5,Wabigoon L.,15-5203-55093,1,10365.8,674349995,15,6.5,49.73222,-92.72928,NA,80.4,7.36,95.099,34.799,12.5,2.49,3.72,0.867,4.44,1.58,2.009,476,8.919,9.47,11.199,86.599,410,24.199,NA,NA
3,5,Wapageisi L.,15-5472-54633,5.5,1838.4,202921114.4,46,11,49.32443,-92.35219,2022,13.4,7.11,41.5,17.199,6.54,0.623,0.641,0.406,0.168,1.86,1.09,31,4.36,4.9,10,34.6,260,7.86,NA,NA
3,6,Arrow L.,15-7025-53379,6.6,3234.4,589963157.3,54.9,17.8,48.15855,-90.26498,2018,6.28,6.919,60.7,22.5,7.019,2.23,1.3,0.51,0.58,4.599,3.919,10,5.679,3,24,42,182,4.9,NA,NA
3,6,Arrow L.,15-7025-53379,6.6,3234.4,589963157.3,54.9,17.8,48.15855,-90.26498,NA,6.28,6.919,60.7,22.5,7.019,2.23,1.3,0.51,0.58,4.599,3.919,10,5.679,3,24,42,182,4.9,NA,NA
3,6,Athelstane L.,15-7050-54058,4,1764.9,169801595.4,32.9,9.4,48.77457,-90.20796,2018,24.8,6.98,48.2,20,5.639,1.98,0.98,0.7,0.25,1.95,3.58,60,4.82,6.799,20,32,288,9.5,NA,NA
3,6,Athelstane L.,15-7050-54058,4,1764.9,169801595.4,32.9,9.4,48.77457,-90.20796,NA,24.8,6.98,48.2,20,5.639,1.98,0.98,0.7,0.25,1.95,3.58,60,4.82,6.799,20,32,288,9.5,NA,NA
3,6,Batwing L.,15-7091-53688,2.5,614.6,41197200.21,14.9,6.6,48.44209,-90.17355,2018,65.299,6.79,33.5,12.6,3.68,1.429,0.875,0.4,0.38,1.5,2.2,180,3,11.3,22,40,394,8.9,NA,NA
3,6,Beatty L.,16-4566-55070,3.7,651.5,42657298.59,27.5,6.1,49.71792,-87.60467,2018,8.47,7.769,189,98.099,31.5,4.4,0.58,0.3,0.17,0.7,2.2,40,23.6,4.299,20,80,289,13.4,NA,NA
3,6,Bedivere L.,15-6578-54141,1.7,2225.6,117114393.2,12.5,5.2,48.86818,-90.84937,2018,65.5,6.759,30.6,11.3,3.7,1.03,0.85,0.365,0.21,1.25,3.6,310,2.74,10.3,20,50,399,16.399,NA,NA
3,6,Black Sturgeon L.,16-3634-54687,4.5,4874.4,944498981.9,52.4,18.5,49.35824,-88.87211,2018,43.2,7.24,133,39.6,11.199,3.58,10.1,0.58,13.199,2.299,3.72,60,9.38,9.099,6,180,300,4.9,NA,NA
3,6,Blunder L.,15-7020-53669,1.6,125.6,3343314.65,6.7,2.6,48.42444,-90.26943,2018,119,6.769,32.7,12.199,4.059,1.29,0.845,0.29,0.45,0.8,3.299,690,2.799,13.4,16,4,501,20.6,NA,NA
3,6,Blunder L.,15-7020-53669,1.6,125.6,3343314.65,6.7,2.6,48.42444,-90.26943,NA,119,6.769,32.7,12.199,4.059,1.29,0.845,0.29,0.45,0.8,3.299,690,2.799,13.4,16,4,501,20.6,NA,NA
